f,ph
1.000000e-01,1.010222e-01
1.074510e-01,2.366233e-02
1.149020e-01,-6.375469e-02
1.223529e-01,-1.603308e-01
1.298039e-01,-2.651707e-01
1.372549e-01,-3.774044e-01
1.447059e-01,-4.962031e-01
1.521569e-01,-6.207902e-01
1.596078e-01,-7.504473e-01
1.670588e-01,-8.845174e-01
1.745098e-01,-1.022406e+00
1.819608e-01,-1.163576e+00
1.894118e-01,-1.307553e+00
1.968627e-01,-1.453910e+00
2.043137e-01,-1.602276e+00
2.117647e-01,-1.752320e+00
2.192157e-01,-1.903755e+00
2.266667e-01,-2.056331e+00
2.341176e-01,-2.209831e+00
2.415686e-01,-2.364067e+00
2.490196e-01,-2.518876e+00
2.564706e-01,-2.674120e+00
2.639216e-01,-2.829680e+00
2.713725e-01,-2.985456e+00
2.788235e-01,-3.141360e+00
2.862745e-01,-3.297323e+00
2.937255e-01,-3.453282e+00
3.011765e-01,-3.609189e+00
3.086275e-01,-3.765002e+00
3.160784e-01,-3.920687e+00
3.235294e-01,-4.076218e+00
3.309804e-01,-4.231575e+00
3.384314e-01,-4.386740e+00
3.458824e-01,-4.541703e+00
3.533333e-01,-4.696455e+00
3.607843e-01,-4.850992e+00
3.682353e-01,-5.005311e+00
3.756863e-01,-5.159413e+00
3.831373e-01,-5.313299e+00
3.905882e-01,-5.466974e+00
3.980392e-01,-5.620443e+00
4.054902e-01,-5.773713e+00
4.129412e-01,-5.926790e+00
4.203922e-01,-6.079684e+00
4.278431e-01,-6.232403e+00
4.352941e-01,-6.384957e+00
4.427451e-01,-6.537356e+00
4.501961e-01,-6.689610e+00
4.576471e-01,-6.841730e+00
4.650980e-01,-6.993727e+00
4.725490e-01,-7.145612e+00
4.800000e-01,-7.297396e+00
4.874510e-01,-7.449091e+00
4.949020e-01,-7.600707e+00
5.023529e-01,-7.752255e+00
5.098039e-01,-7.903748e+00
5.172549e-01,-8.055196e+00
5.247059e-01,-8.206611e+00
5.321569e-01,-8.358003e+00
5.396078e-01,-8.509383e+00
5.470588e-01,-8.660762e+00
5.545098e-01,-8.812151e+00
5.619608e-01,-8.963560e+00
5.694118e-01,-9.115000e+00
5.768627e-01,-9.266482e+00
5.843137e-01,-9.418014e+00
5.917647e-01,-9.569608e+00
5.992157e-01,-9.721274e+00
6.066667e-01,-9.873020e+00
6.141176e-01,-1.002486e+01
6.215686e-01,-1.017679e+01
6.290196e-01,-1.032884e+01
6.364706e-01,-1.048101e+01
6.439216e-01,-1.063330e+01
6.513725e-01,-1.078573e+01
6.588235e-01,-1.093831e+01
6.662745e-01,-1.109105e+01
6.737255e-01,-1.124394e+01
6.811765e-01,-1.139701e+01
6.886275e-01,-1.155026e+01
6.960784e-01,-1.170370e+01
7.035294e-01,-1.185734e+01
7.109804e-01,-1.201118e+01
7.184314e-01,-1.216524e+01
7.258824e-01,-1.231952e+01
7.333333e-01,-1.247402e+01
7.407843e-01,-1.262877e+01
7.482353e-01,-1.278376e+01
7.556863e-01,-1.293901e+01
7.631373e-01,-1.309451e+01
7.705882e-01,-1.325029e+01
7.780392e-01,-1.340634e+01
7.854902e-01,-1.356267e+01
7.929412e-01,-1.371930e+01
8.003922e-01,-1.387622e+01
8.078431e-01,-1.403345e+01
8.152941e-01,-1.419099e+01
8.227451e-01,-1.434885e+01
8.301961e-01,-1.450704e+01
8.376471e-01,-1.466556e+01
8.450980e-01,-1.482443e+01
8.525490e-01,-1.498364e+01
8.600000e-01,-1.514321e+01
8.674510e-01,-1.530314e+01
8.749020e-01,-1.546344e+01
8.823529e-01,-1.562411e+01
8.898039e-01,-1.578517e+01
8.972549e-01,-1.594662e+01
9.047059e-01,-1.610846e+01
9.121569e-01,-1.627071e+01
9.196078e-01,-1.643337e+01
9.270588e-01,-1.659644e+01
9.345098e-01,-1.675994e+01
9.419608e-01,-1.692387e+01
9.494118e-01,-1.708823e+01
9.568627e-01,-1.725304e+01
9.643137e-01,-1.741830e+01
9.717647e-01,-1.758401e+01
9.792157e-01,-1.775019e+01
9.866667e-01,-1.791684e+01
9.941176e-01,-1.808397e+01
1.001569e+00,-1.825157e+01
1.009020e+00,-1.841967e+01
1.016471e+00,-1.858826e+01
1.023922e+00,-1.875736e+01
1.031373e+00,-1.892697e+01
1.038824e+00,-1.909709e+01
1.046275e+00,-1.926773e+01
1.053725e+00,-1.943891e+01
1.061176e+00,-1.961062e+01
1.068627e+00,-1.978287e+01
1.076078e+00,-1.995567e+01
1.083529e+00,-2.012902e+01
1.090980e+00,-2.030294e+01
1.098431e+00,-2.047743e+01
1.105882e+00,-2.065249e+01
1.113333e+00,-2.082813e+01
1.120784e+00,-2.100436e+01
1.128235e+00,-2.118118e+01
1.135686e+00,-2.135861e+01
1.143137e+00,-2.153664e+01
1.150588e+00,-2.171529e+01
1.158039e+00,-2.189455e+01
1.165490e+00,-2.207445e+01
1.172941e+00,-2.225498e+01
1.180392e+00,-2.243615e+01
1.187843e+00,-2.261796e+01
1.195294e+00,-2.280043e+01
1.202745e+00,-2.298356e+01
1.210196e+00,-2.316736e+01
1.217647e+00,-2.335183e+01
1.225098e+00,-2.353698e+01
1.232549e+00,-2.372282e+01
1.240000e+00,-2.390935e+01
1.247451e+00,-2.409658e+01
1.254902e+00,-2.428451e+01
1.262353e+00,-2.447316e+01
1.269804e+00,-2.466253e+01
1.277255e+00,-2.485262e+01
1.284706e+00,-2.504345e+01
1.292157e+00,-2.523502e+01
1.299608e+00,-2.542733e+01
1.307059e+00,-2.562040e+01
1.314510e+00,-2.581422e+01
1.321961e+00,-2.600881e+01
1.329412e+00,-2.620418e+01
1.336863e+00,-2.640032e+01
1.344314e+00,-2.659725e+01
1.351765e+00,-2.679497e+01
1.359216e+00,-2.699349e+01
1.366667e+00,-2.719282e+01
1.374118e+00,-2.739296e+01
1.381569e+00,-2.759392e+01
1.389020e+00,-2.779570e+01
1.396471e+00,-2.799831e+01
1.403922e+00,-2.820177e+01
1.411373e+00,-2.840607e+01
1.418824e+00,-2.861122e+01
1.426275e+00,-2.881723e+01
1.433725e+00,-2.902410e+01
1.441176e+00,-2.923185e+01
1.448627e+00,-2.944048e+01
1.456078e+00,-2.964999e+01
1.463529e+00,-2.986039e+01
1.470980e+00,-3.007168e+01
1.478431e+00,-3.028389e+01
1.485882e+00,-3.049700e+01
1.493333e+00,-3.071103e+01
1.500784e+00,-3.092598e+01
1.508235e+00,-3.114186e+01
1.515686e+00,-3.135868e+01
1.523137e+00,-3.157644e+01
1.530588e+00,-3.179515e+01
1.538039e+00,-3.201482e+01
1.545490e+00,-3.223544e+01
1.552941e+00,-3.245704e+01
1.560392e+00,-3.267960e+01
1.567843e+00,-3.290315e+01
1.575294e+00,-3.312768e+01
1.582745e+00,-3.335320e+01
1.590196e+00,-3.357972e+01
1.597647e+00,-3.380725e+01
1.605098e+00,-3.403578e+01
1.612549e+00,-3.426533e+01
1.620000e+00,-3.449590e+01
1.627451e+00,-3.472750e+01
1.634902e+00,-3.496013e+01
1.642353e+00,-3.519380e+01
1.649804e+00,-3.542851e+01
1.657255e+00,-3.566427e+01
1.664706e+00,-3.590108e+01
1.672157e+00,-3.613896e+01
1.679608e+00,-3.637790e+01
1.687059e+00,-3.661791e+01
1.694510e+00,-3.685900e+01
1.701961e+00,-3.710117e+01
1.709412e+00,-3.734442e+01
1.716863e+00,-3.758877e+01
1.724314e+00,-3.783421e+01
1.731765e+00,-3.808075e+01
1.739216e+00,-3.832839e+01
1.746667e+00,-3.857714e+01
1.754118e+00,-3.882701e+01
1.761569e+00,-3.907800e+01
