f,phi,phw
1.083529e+00,2.012902e+01,8.415324e-01
1.090980e+00,2.030294e+01,8.357858e-01
1.098431e+00,2.047743e+01,8.301173e-01
1.105882e+00,2.065249e+01,8.245251e-01
1.113333e+00,2.082813e+01,8.190077e-01
1.120784e+00,2.100436e+01,8.135636e-01
1.128235e+00,2.118118e+01,8.081915e-01
1.135686e+00,2.135861e+01,8.028898e-01
1.143137e+00,2.153664e+01,7.976573e-01
1.150588e+00,2.171529e+01,7.924925e-01
1.158039e+00,2.189455e+01,7.873941e-01
1.165490e+00,2.207445e+01,7.823609e-01
1.172941e+00,2.225498e+01,7.773917e-01
1.180392e+00,2.243615e+01,7.724851e-01
1.187843e+00,2.261796e+01,7.676402e-01
1.195294e+00,2.280043e+01,7.628556e-01
1.202745e+00,2.298356e+01,7.581302e-01
1.210196e+00,2.316736e+01,7.534631e-01
1.217647e+00,2.335183e+01,7.488531e-01
1.225098e+00,2.353698e+01,7.442991e-01
1.232549e+00,2.372282e+01,7.398002e-01
1.240000e+00,2.390935e+01,7.353553e-01
1.247451e+00,2.409658e+01,7.309635e-01
1.254902e+00,2.428451e+01,7.266239e-01
1.262353e+00,2.447316e+01,7.223355e-01
1.269804e+00,2.466253e+01,7.180974e-01
1.277255e+00,2.485262e+01,7.139088e-01
1.284706e+00,2.504345e+01,7.097687e-01
1.292157e+00,2.523502e+01,7.056764e-01
1.299608e+00,2.542733e+01,7.016309e-01
1.307059e+00,2.562040e+01,6.976316e-01
1.314510e+00,2.581422e+01,6.936777e-01
1.321961e+00,2.600881e+01,6.897683e-01
1.329412e+00,2.620418e+01,6.859027e-01
1.336863e+00,2.640032e+01,6.820802e-01
1.344314e+00,2.659725e+01,6.783000e-01
1.351765e+00,2.679497e+01,6.745616e-01
1.359216e+00,2.699349e+01,6.708641e-01
1.366667e+00,2.719282e+01,6.672069e-01
1.374118e+00,2.739296e+01,6.635894e-01
1.381569e+00,2.759392e+01,6.600109e-01
1.389020e+00,2.779570e+01,6.564708e-01
1.396471e+00,2.799831e+01,6.529684e-01
1.403922e+00,2.820177e+01,6.495032e-01
1.411373e+00,2.840607e+01,6.460746e-01
1.418824e+00,2.861122e+01,6.426820e-01
1.426275e+00,2.881723e+01,6.393249e-01
1.433725e+00,2.902410e+01,6.360026e-01
1.441176e+00,2.923185e+01,6.327147e-01
1.448627e+00,2.944048e+01,6.294606e-01
1.456078e+00,2.964999e+01,6.262399e-01
1.463529e+00,2.986039e+01,6.230519e-01
1.470980e+00,3.007168e+01,6.198961e-01
1.478431e+00,3.028389e+01,6.167722e-01
1.485882e+00,3.049700e+01,6.136797e-01
1.493333e+00,3.071103e+01,6.106179e-01
1.500784e+00,3.092598e+01,6.075866e-01
1.508235e+00,3.114186e+01,6.045852e-01
1.515686e+00,3.135868e+01,6.016134e-01
1.523137e+00,3.157644e+01,5.986706e-01
1.530588e+00,3.179515e+01,5.957564e-01
1.538039e+00,3.201482e+01,5.928705e-01
1.545490e+00,3.223544e+01,5.900124e-01
1.552941e+00,3.245704e+01,5.871818e-01
1.560392e+00,3.267960e+01,5.843781e-01
1.567843e+00,3.290315e+01,5.816011e-01
1.575294e+00,3.312768e+01,5.788504e-01
1.582745e+00,3.335320e+01,5.761256e-01
1.590196e+00,3.357972e+01,5.734263e-01
1.597647e+00,3.380725e+01,5.707521e-01
1.605098e+00,3.403578e+01,5.681028e-01
1.612549e+00,3.426533e+01,5.654780e-01
1.620000e+00,3.449590e+01,5.628774e-01
1.627451e+00,3.472750e+01,5.603005e-01
1.634902e+00,3.496013e+01,5.577471e-01
1.642353e+00,3.519380e+01,5.552169e-01
1.649804e+00,3.542851e+01,5.527095e-01
1.657255e+00,3.566427e+01,5.502247e-01
1.664706e+00,3.590108e+01,5.477621e-01
1.672157e+00,3.613896e+01,5.453215e-01
1.679608e+00,3.637790e+01,5.429025e-01
1.687059e+00,3.661791e+01,5.405049e-01
1.694510e+00,3.685900e+01,5.381284e-01
1.701961e+00,3.710117e+01,5.357727e-01
1.709412e+00,3.734442e+01,5.334375e-01
1.716863e+00,3.758877e+01,5.311226e-01
1.724314e+00,3.783421e+01,5.288276e-01
1.731765e+00,3.808075e+01,5.265525e-01
1.739216e+00,3.832839e+01,5.242968e-01
1.746667e+00,3.857714e+01,5.220604e-01
1.754118e+00,3.882701e+01,5.198429e-01
1.761569e+00,3.907800e+01,5.176442e-01
1.769020e+00,3.933011e+01,5.154641e-01
1.776471e+00,3.958334e+01,5.133022e-01
1.783922e+00,3.983771e+01,5.111584e-01
1.791373e+00,4.009321e+01,5.090324e-01
1.798824e+00,4.034984e+01,5.069240e-01
1.806275e+00,4.060762e+01,5.048330e-01
1.813725e+00,4.086654e+01,5.027592e-01
1.821176e+00,4.112662e+01,5.007024e-01
1.828627e+00,4.138784e+01,4.986623e-01
1.836078e+00,4.165022e+01,4.966388e-01
1.843529e+00,4.191375e+01,4.946317e-01
1.850980e+00,4.217845e+01,4.926406e-01
1.858431e+00,4.244431e+01,4.906656e-01
1.865882e+00,4.271134e+01,4.887063e-01
1.873333e+00,4.297953e+01,4.867627e-01
1.880784e+00,4.324889e+01,4.848344e-01
1.888235e+00,4.351943e+01,4.829213e-01
1.895686e+00,4.379114e+01,4.810233e-01
1.903137e+00,4.406402e+01,4.791401e-01
1.910588e+00,4.433809e+01,4.772716e-01
1.918039e+00,4.461333e+01,4.754177e-01
1.925490e+00,4.488975e+01,4.735780e-01
1.932941e+00,4.516735e+01,4.717526e-01
1.940392e+00,4.544614e+01,4.699412e-01
1.947843e+00,4.572610e+01,4.681436e-01
1.955294e+00,4.600725e+01,4.663598e-01
1.962745e+00,4.628958e+01,4.645895e-01
1.970196e+00,4.657309e+01,4.628325e-01
1.977647e+00,4.685779e+01,4.610888e-01
1.985098e+00,4.714366e+01,4.593582e-01
1.992549e+00,4.743072e+01,4.576406e-01
2.000000e+00,4.771896e+01,4.559357e-01
