k,pf
1.000000e+00,1.034193e-01
2.000000e+00,0.000000e+00
3.000000e+00,1.765655e-01
4.000000e+00,0.000000e+00
5.000000e+00,0.000000e+00
6.000000e+00,6.925748e-02
7.000000e+00,0.000000e+00
8.000000e+00,0.000000e+00
9.000000e+00,7.726323e-01
1.000000e+01,0.000000e+00
1.100000e+01,4.669293e-01
1.200000e+01,0.000000e+00
1.300000e+01,0.000000e+00
1.400000e+01,5.777937e-01
1.500000e+01,0.000000e+00
