k,mag,ang,re,im
1.000000e+00,3.296823e+00,9.030133e+01,-1.733883e-02,3.296777e+00
2.000000e+00,3.296823e+00,-9.030133e+01,-1.733883e-02,-3.296777e+00
3.000000e+00,1.000000e-01,1.800000e+02,-1.000000e-01,0.000000e+00
4.000000e+00,1.892140e-01,1.800000e+02,-1.892140e-01,0.000000e+00
5.000000e+00,9.117794e-01,1.800000e+02,-9.117794e-01,0.000000e+00
6.000000e+00,1.860933e+00,1.800000e+02,-1.860933e+00,0.000000e+00
7.000000e+00,1.861683e+01,1.155525e+02,-8.030140e+00,1.679593e+01
8.000000e+00,1.861683e+01,-1.155525e+02,-8.030140e+00,-1.679593e+01
9.000000e+00,1.014505e+01,1.800000e+02,-1.014505e+01,0.000000e+00
1.000000e+01,2.453153e+01,1.800000e+02,-2.453153e+01,0.000000e+00
1.100000e+01,3.303518e+00,9.096021e+01,-5.536047e-02,3.303054e+00
1.200000e+01,3.303518e+00,-9.096021e+01,-5.536047e-02,-3.303054e+00
1.300000e+01,1.000864e-01,1.800000e+02,-1.000864e-01,0.000000e+00
1.400000e+01,1.891802e-01,1.800000e+02,-1.891802e-01,0.000000e+00
1.500000e+01,9.114818e-01,1.800000e+02,-9.114818e-01,0.000000e+00
1.600000e+01,1.859460e+00,1.800000e+02,-1.859460e+00,0.000000e+00
1.700000e+01,1.858294e+01,1.154776e+02,-7.993596e+00,1.677582e+01
1.800000e+01,1.858294e+01,-1.154776e+02,-7.993596e+00,-1.677582e+01
1.900000e+01,1.014626e+01,1.800000e+02,-1.014626e+01,0.000000e+00
2.000000e+01,2.452908e+01,1.800000e+02,-2.452908e+01,0.000000e+00
2.100000e+01,3.310272e+00,9.162173e+01,-9.368327e-02,3.308947e+00
2.200000e+01,3.310272e+00,-9.162173e+01,-9.368327e-02,-3.308947e+00
2.300000e+01,1.001731e-01,1.800000e+02,-1.001731e-01,0.000000e+00
2.400000e+01,1.891461e-01,1.800000e+02,-1.891461e-01,0.000000e+00
2.500000e+01,9.111799e-01,1.800000e+02,-9.111799e-01,0.000000e+00
2.600000e+01,1.857957e+00,1.800000e+02,-1.857957e+00,0.000000e+00
2.700000e+01,1.854903e+01,1.154015e+02,-7.956763e+00,1.675579e+01
2.800000e+01,1.854903e+01,-1.154015e+02,-7.956763e+00,-1.675579e+01
2.900000e+01,1.014750e+01,1.800000e+02,-1.014750e+01,0.000000e+00
3.000000e+01,2.452661e+01,1.800000e+02,-2.452661e+01,0.000000e+00
3.100000e+01,1.002602e-01,1.800000e+02,-1.002602e-01,0.000000e+00
