f,phi,phv,pha
2.738431e+00,1.123968e+02,1.147759e+02,7.958491e+01
2.749804e+00,1.126875e+02,1.149996e+02,7.969627e+01
2.761176e+00,1.129765e+02,1.152239e+02,7.980650e+01
2.772549e+00,1.132637e+02,1.154488e+02,7.991560e+01
2.783922e+00,1.135493e+02,1.156742e+02,8.002358e+01
2.795294e+00,1.138331e+02,1.159000e+02,8.013044e+01
2.806667e+00,1.141153e+02,1.161263e+02,8.023621e+01
2.818039e+00,1.143958e+02,1.163529e+02,8.034087e+01
2.829412e+00,1.146747e+02,1.165799e+02,8.044445e+01
2.840784e+00,1.149519e+02,1.168072e+02,8.054695e+01
2.852157e+00,1.152274e+02,1.170347e+02,8.064838e+01
2.863529e+00,1.155014e+02,1.172624e+02,8.074874e+01
2.874902e+00,1.157736e+02,1.174904e+02,8.084805e+01
2.886275e+00,1.160443e+02,1.177184e+02,8.094631e+01
2.897647e+00,1.163134e+02,1.179466e+02,8.104352e+01
2.909020e+00,1.165808e+02,1.181748e+02,8.113971e+01
2.920392e+00,1.168467e+02,1.184031e+02,8.123486e+01
2.931765e+00,1.171110e+02,1.186314e+02,8.132900e+01
2.943137e+00,1.173737e+02,1.188596e+02,8.142213e+01
2.954510e+00,1.176349e+02,1.190878e+02,8.151426e+01
2.965882e+00,1.178944e+02,1.193158e+02,8.160539e+01
2.977255e+00,1.181525e+02,1.195437e+02,8.169553e+01
2.988627e+00,1.184089e+02,1.197715e+02,8.178468e+01
3.000000e+00,1.186639e+02,1.199991e+02,8.187287e+01
