f_sv,SV_m,SV_f
4.848237e-01,6.337720e-02,2.034995e-01
5.062910e-01,6.178742e-02,2.424425e-01
5.287089e-01,7.541783e-02,3.030547e-01
5.521194e-01,1.019910e-01,3.352459e-01
5.765665e-01,9.979605e-02,2.570348e-01
6.020961e-01,8.557893e-02,1.707337e-01
6.287561e-01,7.576899e-02,1.181642e-01
6.565965e-01,6.969338e-02,8.656906e-02
6.856697e-01,6.566245e-02,6.609376e-02
7.160302e-01,6.278268e-02,5.177745e-02
7.477351e-01,6.061326e-02,4.112272e-02
7.808437e-01,5.892465e-02,3.284274e-02
8.154184e-01,5.758752e-02,2.633056e-02
8.515241e-01,5.651927e-02,2.147561e-02
8.892284e-01,5.564867e-02,1.855991e-02
9.286022e-01,5.486768e-02,1.787044e-02
9.697194e-01,5.391310e-02,1.930592e-02
1.012657e+00,5.204022e-02,2.248961e-02
1.057496e+00,4.752838e-02,2.637103e-02
1.104321e+00,4.006310e-02,2.759382e-02
1.153219e+00,3.614841e-02,2.366454e-02
1.204282e+00,3.653969e-02,1.906441e-02
1.257606e+00,3.773490e-02,1.720822e-02
1.313291e+00,3.869406e-02,1.898731e-02
1.371441e+00,3.932886e-02,2.268167e-02
1.432167e+00,3.971199e-02,2.683173e-02
1.495581e+00,3.991620e-02,3.101333e-02
1.561804e+00,3.999304e-02,3.513616e-02
1.630958e+00,3.997632e-02,3.918921e-02
1.703175e+00,3.988765e-02,4.317886e-02
1.778589e+00,3.974068e-02,4.711348e-02
1.857342e+00,3.954385e-02,5.099949e-02
1.939583e+00,3.930222e-02,5.484065e-02
2.025465e+00,3.901858e-02,5.863815e-02
2.115150e+00,3.869433e-02,6.239086e-02
2.208806e+00,3.832993e-02,6.609571e-02
2.306609e+00,3.792536e-02,6.974793e-02
2.408742e+00,3.748039e-02,7.334140e-02
2.515398e+00,3.699478e-02,7.686881e-02
2.626776e+00,3.646847e-02,8.032201e-02
2.743086e+00,3.590169e-02,8.369222e-02
2.864547e+00,3.529507e-02,8.697024e-02
2.991385e+00,3.464968e-02,9.014678e-02
3.123839e+00,3.396710e-02,9.321263e-02
3.262159e+00,3.324937e-02,9.615890e-02
3.406602e+00,3.249903e-02,9.897724e-02
3.557442e+00,3.171903e-02,1.016600e-01
3.714961e+00,3.091273e-02,1.042004e-01
3.879454e+00,3.008377e-02,1.065927e-01
4.051231e+00,2.923604e-02,1.088320e-01
4.230614e+00,2.837355e-02,1.109147e-01
4.417940e+00,2.750038e-02,1.128381e-01
4.613560e+00,2.662058e-02,1.146007e-01
4.817842e+00,2.573810e-02,1.162017e-01
5.031170e+00,2.485672e-02,1.176416e-01
5.253943e+00,2.397997e-02,1.189212e-01
5.486581e+00,2.311115e-02,1.200424e-01
5.729519e+00,2.225321e-02,1.210072e-01
5.983214e+00,2.140882e-02,1.218183e-01
6.248143e+00,2.058027e-02,1.224786e-01
6.524802e+00,1.976957e-02,1.229911e-01
6.813711e+00,1.897836e-02,1.233591e-01
7.115413e+00,1.820798e-02,1.235857e-01
7.430474e+00,1.745950e-02,1.236741e-01
7.759485e+00,1.673369e-02,1.236272e-01
8.103064e+00,1.603110e-02,1.234481e-01
8.461857e+00,1.535206e-02,1.231394e-01
8.836536e+00,1.469670e-02,1.227038e-01
9.227806e+00,1.406499e-02,1.221438e-01
9.636401e+00,1.345676e-02,1.214619e-01
1.006309e+01,1.287172e-02,1.206606e-01
1.050867e+01,1.230949e-02,1.197421e-01
1.097398e+01,1.176961e-02,1.187090e-01
1.145989e+01,1.125156e-02,1.175640e-01
1.196732e+01,1.075475e-02,1.163097e-01
1.249721e+01,1.027859e-02,1.149493e-01
1.305057e+01,9.822446e-03,1.134861e-01
1.362843e+01,9.385675e-03,1.119237e-01
1.423188e+01,8.967624e-03,1.102662e-01
1.486205e+01,8.567639e-03,1.085180e-01
1.552012e+01,8.185067e-03,1.066841e-01
1.620733e+01,7.819264e-03,1.047698e-01
1.692497e+01,7.469594e-03,1.027807e-01
1.767439e+01,7.135432e-03,1.007229e-01
1.845698e+01,6.816168e-03,9.860289e-02
1.927423e+01,6.511203e-03,9.642742e-02
2.012767e+01,6.219955e-03,9.420346e-02
2.101890e+01,5.941857e-03,9.193814e-02
2.194958e+01,5.676358e-03,8.963872e-02
2.292148e+01,5.422923e-03,8.731247e-02
2.393641e+01,5.181032e-03,8.496663e-02
2.499628e+01,4.950183e-03,8.260829e-02
2.610309e+01,4.729888e-03,8.024437e-02
2.725890e+01,4.519679e-03,7.788156e-02
2.846588e+01,4.319100e-03,7.552620e-02
2.972631e+01,4.127714e-03,7.318432e-02
3.104255e+01,3.945101e-03,7.086154e-02
3.241707e+01,3.770854e-03,6.856305e-02
3.385246e+01,3.604584e-03,6.629363e-02
3.535140e+01,3.445919e-03,6.405758e-02
3.691671e+01,3.294500e-03,6.185876e-02
3.855133e+01,3.149985e-03,5.970058e-02
4.025833e+01,3.012047e-03,5.758599e-02
4.204092e+01,2.880374e-03,5.551753e-02
4.390243e+01,2.754667e-03,5.349732e-02
4.584637e+01,2.634643e-03,5.152709e-02
4.787638e+01,2.520031e-03,4.960819e-02
4.999628e+01,2.410573e-03,4.774166e-02
5.221005e+01,2.306026e-03,4.592821e-02
5.452184e+01,2.206156e-03,4.416827e-02
5.693599e+01,2.110741e-03,4.246200e-02
5.945704e+01,2.019572e-03,4.080934e-02
6.208972e+01,1.932450e-03,3.921002e-02
6.483897e+01,1.849184e-03,3.766358e-02
6.770995e+01,1.769595e-03,3.616941e-02
7.070805e+01,1.693512e-03,3.472676e-02
7.383891e+01,1.620772e-03,3.333476e-02
7.710839e+01,1.551221e-03,3.199243e-02
8.052265e+01,1.484713e-03,3.069873e-02
8.408808e+01,1.421109e-03,2.945253e-02
8.781138e+01,1.360276e-03,2.825266e-02
9.169955e+01,1.302089e-03,2.709790e-02
9.575988e+01,1.246429e-03,2.598701e-02
1.000000e+02,1.193180e-03,2.491870e-02
