f,gc1,pc1,gc2,pc2
1.169528e+00,-2.781149e+01,6.665307e+01,-4.208832e+01,1.225205e+02
1.185197e+00,-2.801720e+01,6.674109e+01,-4.255039e+01,1.223377e+02
1.200866e+00,-2.821682e+01,6.696907e+01,-4.300122e+01,1.223147e+02
1.216535e+00,-2.840529e+01,6.733280e+01,-4.343596e+01,1.224458e+02
1.232205e+00,-2.857743e+01,6.781766e+01,-4.384959e+01,1.227153e+02
1.247874e+00,-2.872856e+01,6.839766e+01,-4.423763e+01,1.230961e+02
1.263543e+00,-2.885529e+01,6.903666e+01,-4.459683e+01,1.235511e+02
1.279213e+00,-2.895607e+01,6.969209e+01,-4.492582e+01,1.240368e+02
1.294882e+00,-2.903157e+01,7.032042e+01,-4.522539e+01,1.245089e+02
1.310551e+00,-2.908447e+01,7.088293e+01,-4.549838e+01,1.249278e+02
1.326220e+00,-2.911895e+01,7.135030e+01,-4.574909e+01,1.252634e+02
1.341890e+00,-2.913998e+01,7.170475e+01,-4.598263e+01,1.254974e+02
1.357559e+00,-2.915258e+01,7.193992e+01,-4.620412e+01,1.256228e+02
1.373228e+00,-2.916127e+01,7.205881e+01,-4.641821e+01,1.256419e+02
1.388898e+00,-2.916974e+01,7.207104e+01,-4.662868e+01,1.255639e+02
1.404567e+00,-2.918076e+01,7.198998e+01,-4.683841e+01,1.254016e+02
1.420236e+00,-2.919621e+01,7.183050e+01,-4.704939e+01,1.251694e+02
1.435906e+00,-2.921725e+01,7.160728e+01,-4.726286e+01,1.248816e+02
1.451575e+00,-2.924446e+01,7.133383e+01,-4.747949e+01,1.245512e+02
1.467244e+00,-2.927797e+01,7.102203e+01,-4.769951e+01,1.241898e+02
1.482913e+00,-2.931765e+01,7.068189e+01,-4.792285e+01,1.238070e+02
1.498583e+00,-2.936317e+01,7.032167e+01,-4.814927e+01,1.234106e+02
1.514252e+00,-2.941410e+01,6.994804e+01,-4.837841e+01,1.230071e+02
1.529921e+00,-2.946997e+01,6.956629e+01,-4.860987e+01,1.226015e+02
1.545591e+00,-2.953026e+01,6.918053e+01,-4.884321e+01,1.221975e+02
1.561260e+00,-2.959452e+01,6.879395e+01,-4.907803e+01,1.217980e+02
1.576929e+00,-2.966226e+01,6.840895e+01,-4.931392e+01,1.214053e+02
1.592598e+00,-2.973308e+01,6.802734e+01,-4.955052e+01,1.210208e+02
1.608268e+00,-2.980658e+01,6.765041e+01,-4.978751e+01,1.206458e+02
1.623937e+00,-2.988241e+01,6.727913e+01,-5.002459e+01,1.202807e+02
1.639606e+00,-2.996027e+01,6.691412e+01,-5.026151e+01,1.199262e+02
1.655276e+00,-3.003986e+01,6.655581e+01,-5.049802e+01,1.195825e+02
1.670945e+00,-3.012095e+01,6.620445e+01,-5.073394e+01,1.192495e+02
1.686614e+00,-3.020331e+01,6.586015e+01,-5.096910e+01,1.189273e+02
1.702283e+00,-3.028674e+01,6.552292e+01,-5.120334e+01,1.186157e+02
1.717953e+00,-3.037108e+01,6.519270e+01,-5.143654e+01,1.183144e+02
1.733622e+00,-3.045618e+01,6.486939e+01,-5.166859e+01,1.180232e+02
1.749291e+00,-3.054189e+01,6.455282e+01,-5.189941e+01,1.177418e+02
1.764961e+00,-3.062810e+01,6.424282e+01,-5.212890e+01,1.174699e+02
1.780630e+00,-3.071471e+01,6.393919e+01,-5.235702e+01,1.172071e+02
1.796299e+00,-3.080163e+01,6.364173e+01,-5.258370e+01,1.169532e+02
1.811969e+00,-3.088877e+01,6.335022e+01,-5.280890e+01,1.167077e+02
1.827638e+00,-3.097607e+01,6.306443e+01,-5.303258e+01,1.164704e+02
1.843307e+00,-3.106345e+01,6.278417e+01,-5.325472e+01,1.162409e+02
1.858976e+00,-3.115088e+01,6.250921e+01,-5.347530e+01,1.160189e+02
1.874646e+00,-3.123828e+01,6.223935e+01,-5.369430e+01,1.158041e+02
1.890315e+00,-3.132563e+01,6.197439e+01,-5.391170e+01,1.155962e+02
1.905984e+00,-3.141289e+01,6.171413e+01,-5.412750e+01,1.153949e+02
1.921654e+00,-3.150001e+01,6.145839e+01,-5.434170e+01,1.152000e+02
1.937323e+00,-3.158698e+01,6.120699e+01,-5.455430e+01,1.150112e+02
1.952992e+00,-3.167376e+01,6.095976e+01,-5.476529e+01,1.148281e+02
1.968661e+00,-3.176034e+01,6.071653e+01,-5.497469e+01,1.146507e+02
1.984331e+00,-3.184669e+01,6.047715e+01,-5.518249e+01,1.144786e+02
2.000000e+00,-3.193279e+01,6.024146e+01,-5.538871e+01,1.143117e+02
2.100000e+00,-3.247564e+01,5.881573e+01,-5.666821e+01,1.133542e+02
2.870866e+00,-3.621717e+01,5.051084e+01,-6.480131e+01,1.093611e+02
3.641732e+00,-3.932288e+01,4.465585e+01,-7.089794e+01,1.076346e+02
4.412598e+00,-4.199160e+01,4.024562e+01,-7.579205e+01,1.066620e+02
5.183465e+00,-4.433505e+01,3.688473e+01,-7.989255e+01,1.060872e+02
5.954331e+00,-4.642199e+01,3.431353e+01,-8.342622e+01,1.057766e+02
6.725197e+00,-4.829999e+01,3.234368e+01,-8.653251e+01,1.056590e+02
7.496063e+00,-5.000432e+01,3.083669e+01,-8.930393e+01,1.056881e+02
8.266929e+00,-5.156212e+01,2.969022e+01,-9.180531e+01,1.058314e+02
9.037795e+00,-5.299480e+01,2.882800e+01,-9.408404e+01,1.060645e+02
9.808661e+00,-5.431950e+01,2.819258e+01,-9.617587e+01,1.063694e+02
1.057953e+01,-5.555019e+01,2.774014e+01,-9.810849e+01,1.067319e+02
1.135039e+01,-5.669833e+01,2.743684e+01,-9.990380e+01,1.071410e+02
1.212126e+01,-5.777346e+01,2.725622e+01,-1.015794e+02,1.075881e+02
1.289213e+01,-5.878358e+01,2.717734e+01,-1.031498e+02,1.080661e+02
1.366299e+01,-5.973546e+01,2.718345e+01,-1.046269e+02,1.085694e+02
1.443386e+01,-6.063489e+01,2.726098e+01,-1.060207e+02,1.090935e+02
1.520472e+01,-6.148684e+01,2.739885e+01,-1.073396e+02,1.096345e+02
1.597559e+01,-6.229560e+01,2.758795e+01,-1.085909e+02,1.101893e+02
1.674646e+01,-6.306492e+01,2.782068e+01,-1.097807e+02,1.107551e+02
1.751732e+01,-6.379807e+01,2.809068e+01,-1.109146e+02,1.113298e+02
1.828819e+01,-6.449795e+01,2.839257e+01,-1.119971e+02,1.119115e+02
1.905906e+01,-6.516712e+01,2.872179e+01,-1.130325e+02,1.124984e+02
1.982992e+01,-6.580784e+01,2.907444e+01,-1.140243e+02,1.130892e+02
2.060079e+01,-6.642215e+01,2.944717e+01,-1.149759e+02,1.136827e+02
2.137165e+01,-6.701187e+01,2.983707e+01,-1.158901e+02,1.142777e+02
2.214252e+01,-6.757864e+01,3.024162e+01,-1.167695e+02,1.148734e+02
2.291339e+01,-6.812395e+01,3.065862e+01,-1.176164e+02,1.154689e+02
2.368425e+01,-6.864914e+01,3.108616e+01,-1.184329e+02,1.160635e+02
