f,gc1,pc1,gc2,pc2
1.000000e-02,-2.549858e+01,5.426282e+01,-7.002506e+01,1.735218e+02
1.036779e-02,-2.527726e+01,5.319153e+01,-6.939866e+01,1.732837e+02
1.074911e-02,-2.506077e+01,5.210162e+01,-6.877234e+01,1.730368e+02
1.114445e-02,-2.484926e+01,5.099380e+01,-6.814610e+01,1.727809e+02
1.155434e-02,-2.464286e+01,4.986880e+01,-6.751996e+01,1.725155e+02
1.197930e-02,-2.444170e+01,4.872747e+01,-6.689391e+01,1.722405e+02
1.241989e-02,-2.424589e+01,4.757067e+01,-6.626797e+01,1.719553e+02
1.287668e-02,-2.405556e+01,4.639934e+01,-6.564214e+01,1.716597e+02
1.335027e-02,-2.387079e+01,4.521445e+01,-6.501644e+01,1.713533e+02
1.384129e-02,-2.369166e+01,4.401702e+01,-6.439086e+01,1.710356e+02
1.435036e-02,-2.351827e+01,4.280810e+01,-6.376542e+01,1.707063e+02
1.487815e-02,-2.335066e+01,4.158877e+01,-6.314014e+01,1.703648e+02
1.542536e-02,-2.318888e+01,4.036013e+01,-6.251501e+01,1.700109e+02
1.599269e-02,-2.303297e+01,3.912327e+01,-6.189006e+01,1.696441e+02
1.658089e-02,-2.288295e+01,3.787931e+01,-6.126530e+01,1.692637e+02
1.719072e-02,-2.273882e+01,3.662934e+01,-6.064074e+01,1.688695e+02
1.782298e-02,-2.260059e+01,3.537443e+01,-6.001639e+01,1.684608e+02
1.847850e-02,-2.246822e+01,3.411565e+01,-5.939227e+01,1.680372e+02
1.915812e-02,-2.234169e+01,3.285400e+01,-5.876841e+01,1.675981e+02
1.986274e-02,-2.222096e+01,3.159047e+01,-5.814481e+01,1.671429e+02
2.059328e-02,-2.210596e+01,3.032599e+01,-5.752150e+01,1.666712e+02
2.135068e-02,-2.199664e+01,2.906142e+01,-5.689850e+01,1.661821e+02
2.213594e-02,-2.189291e+01,2.779757e+01,-5.627583e+01,1.656753e+02
2.295009e-02,-2.179469e+01,2.653518e+01,-5.565352e+01,1.651499e+02
2.379417e-02,-2.170190e+01,2.527493e+01,-5.503159e+01,1.646054e+02
2.466930e-02,-2.161443e+01,2.401741e+01,-5.441007e+01,1.640411e+02
2.557662e-02,-2.153218e+01,2.276313e+01,-5.378900e+01,1.634562e+02
2.651731e-02,-2.145504e+01,2.151254e+01,-5.316839e+01,1.628501e+02
2.749259e-02,-2.138292e+01,2.026599e+01,-5.254830e+01,1.622219e+02
2.850375e-02,-2.131569e+01,1.902376e+01,-5.192876e+01,1.615709e+02
2.955209e-02,-2.125326e+01,1.778605e+01,-5.130981e+01,1.608963e+02
3.063899e-02,-2.119550e+01,1.655299e+01,-5.069148e+01,1.601972e+02
3.176587e-02,-2.114231e+01,1.532462e+01,-5.007384e+01,1.594728e+02
3.293420e-02,-2.109360e+01,1.410092e+01,-4.945692e+01,1.587223e+02
3.414549e-02,-2.104926e+01,1.288180e+01,-4.884078e+01,1.579446e+02
3.540133e-02,-2.100919e+01,1.166709e+01,-4.822549e+01,1.571389e+02
3.670336e-02,-2.097331e+01,1.045658e+01,-4.761109e+01,1.563041e+02
3.805329e-02,-2.094154e+01,9.250005e+00,-4.699766e+01,1.554394e+02
3.945285e-02,-2.091380e+01,8.047031e+00,-4.638527e+01,1.545436e+02
4.090390e-02,-2.089003e+01,6.847293e+00,-4.577399e+01,1.536158e+02
4.240831e-02,-2.087016e+01,5.650382e+00,-4.516391e+01,1.526547e+02
4.396806e-02,-2.085415e+01,4.455854e+00,-4.455510e+01,1.516594e+02
4.558516e-02,-2.084195e+01,3.263240e+00,-4.394767e+01,1.506286e+02
4.726175e-02,-2.083353e+01,2.072046e+00,-4.334171e+01,1.495613e+02
4.900000e-02,-2.082888e+01,8.817608e-01,-4.273733e+01,1.484561e+02
5.080218e-02,-2.082798e+01,-3.081352e-01,-4.213464e+01,1.473119e+02
5.267064e-02,-2.083082e+01,-1.498167e+00,-4.153377e+01,1.461274e+02
5.460783e-02,-2.083742e+01,-2.688859e+00,-4.093484e+01,1.449013e+02
5.661626e-02,-2.084779e+01,-3.880726e+00,-4.033800e+01,1.436323e+02
5.869856e-02,-2.086196e+01,-5.074271e+00,-3.974338e+01,1.423192e+02
6.085745e-02,-2.087997e+01,-6.269976e+00,-3.915115e+01,1.409604e+02
6.309573e-02,-2.090185e+01,-7.468298e+00,-3.856147e+01,1.395547e+02
6.541634e-02,-2.092767e+01,-8.669663e+00,-3.797453e+01,1.381006e+02
6.782231e-02,-2.095749e+01,-9.874460e+00,-3.739052e+01,1.365968e+02
7.031676e-02,-2.099138e+01,-1.108304e+01,-3.680963e+01,1.350418e+02
7.290295e-02,-2.102941e+01,-1.229569e+01,-3.623209e+01,1.334342e+02
7.558426e-02,-2.107168e+01,-1.351266e+01,-3.565811e+01,1.317725e+02
7.836419e-02,-2.111828e+01,-1.473414e+01,-3.508796e+01,1.300553e+02
8.124636e-02,-2.116930e+01,-1.596025e+01,-3.452187e+01,1.282811e+02
8.423454e-02,-2.122483e+01,-1.719105e+01,-3.396013e+01,1.264485e+02
8.733262e-02,-2.128500e+01,-1.842653e+01,-3.340303e+01,1.245561e+02
9.054464e-02,-2.134991e+01,-1.966660e+01,-3.285086e+01,1.226025e+02
9.387480e-02,-2.141966e+01,-2.091109e+01,-3.230396e+01,1.205863e+02
9.732744e-02,-2.149436e+01,-2.215978e+01,-3.176266e+01,1.185061e+02
1.009071e-01,-2.157413e+01,-2.341233e+01,-3.122732e+01,1.163607e+02
1.046183e-01,-2.165907e+01,-2.466834e+01,-3.069831e+01,1.141487e+02
1.084661e-01,-2.174929e+01,-2.592735e+01,-3.017604e+01,1.118691e+02
1.124554e-01,-2.184488e+01,-2.718879e+01,-2.966091e+01,1.095206e+02
1.165914e-01,-2.194594e+01,-2.845202e+01,-2.915336e+01,1.071022e+02
1.208796e-01,-2.205256e+01,-2.971634e+01,-2.865384e+01,1.046131e+02
1.253254e-01,-2.216481e+01,-3.098097e+01,-2.816282e+01,1.020523e+02
1.299348e-01,-2.228277e+01,-3.224508e+01,-2.768079e+01,9.941910e+01
1.347137e-01,-2.240650e+01,-3.350775e+01,-2.720826e+01,9.671295e+01
1.396684e-01,-2.253605e+01,-3.476804e+01,-2.674575e+01,9.393340e+01
1.448053e-01,-2.267145e+01,-3.602494e+01,-2.629380e+01,9.108014e+01
1.501311e-01,-2.281273e+01,-3.727742e+01,-2.585298e+01,8.815308e+01
1.556528e-01,-2.295991e+01,-3.852442e+01,-2.542385e+01,8.515227e+01
1.613776e-01,-2.311298e+01,-3.976484e+01,-2.500699e+01,8.207800e+01
1.673129e-01,-2.327194e+01,-4.099758e+01,-2.460301e+01,7.893075e+01
1.734665e-01,-2.343674e+01,-4.222153e+01,-2.421250e+01,7.571125e+01
1.798465e-01,-2.360736e+01,-4.343561e+01,-2.383608e+01,7.242045e+01
1.864611e-01,-2.378373e+01,-4.463871e+01,-2.347436e+01,6.905956e+01
