f_sv,SV_m,SV_f
1.591549e-03,3.666429e-02,1.693555e-01
1.662021e-03,3.666408e-02,1.693768e-01
1.735613e-03,3.666386e-02,1.694001e-01
1.812464e-03,3.666364e-02,1.694255e-01
1.892717e-03,3.666340e-02,1.694532e-01
1.976524e-03,3.666314e-02,1.694833e-01
2.064042e-03,3.666287e-02,1.695163e-01
2.155435e-03,3.666258e-02,1.695521e-01
2.250874e-03,3.666227e-02,1.695913e-01
2.350540e-03,3.666194e-02,1.696339e-01
2.454619e-03,3.666158e-02,1.696804e-01
2.563306e-03,3.666119e-02,1.697311e-01
2.676806e-03,3.666078e-02,1.697864e-01
2.795331e-03,3.666032e-02,1.698467e-01
2.919104e-03,3.665984e-02,1.699124e-01
3.048358e-03,3.665931e-02,1.699841e-01
3.183335e-03,3.665873e-02,1.700622e-01
3.324289e-03,3.665811e-02,1.701473e-01
3.471484e-03,3.665744e-02,1.702402e-01
3.625197e-03,3.665671e-02,1.703414e-01
3.785715e-03,3.665591e-02,1.704517e-01
3.953342e-03,3.665505e-02,1.705719e-01
4.128390e-03,3.665411e-02,1.707030e-01
4.311190e-03,3.665309e-02,1.708459e-01
4.502083e-03,3.665199e-02,1.710016e-01
4.701429e-03,3.665079e-02,1.711713e-01
4.909602e-03,3.664948e-02,1.713563e-01
5.126993e-03,3.664807e-02,1.715578e-01
5.354009e-03,3.664653e-02,1.717775e-01
5.591077e-03,3.664486e-02,1.720168e-01
5.838642e-03,3.664306e-02,1.722775e-01
6.097170e-03,3.664109e-02,1.725616e-01
6.367144e-03,3.663897e-02,1.728711e-01
6.649072e-03,3.663667e-02,1.732081e-01
6.943484e-03,3.663417e-02,1.735753e-01
7.250932e-03,3.663147e-02,1.739751e-01
7.571993e-03,3.662855e-02,1.744104e-01
7.907271e-03,3.662540e-02,1.748844e-01
8.257394e-03,3.662199e-02,1.754005e-01
8.623020e-03,3.661831e-02,1.759622e-01
9.004836e-03,3.661435e-02,1.765735e-01
9.403558e-03,3.661008e-02,1.772386e-01
9.819934e-03,3.660548e-02,1.779623e-01
1.025475e-02,3.660055e-02,1.787495e-01
1.070881e-02,3.659525e-02,1.796056e-01
1.118299e-02,3.658958e-02,1.805365e-01
1.167815e-02,3.658350e-02,1.815484e-01
1.219525e-02,3.657702e-02,1.826482e-01
1.273523e-02,3.657011e-02,1.838431e-01
1.329913e-02,3.656276e-02,1.851412e-01
1.388800e-02,3.655495e-02,1.865508e-01
1.450294e-02,3.654670e-02,1.880812e-01
1.514511e-02,3.653798e-02,1.897423e-01
1.581572e-02,3.652881e-02,1.915445e-01
1.651602e-02,3.651919e-02,1.934995e-01
1.724732e-02,3.650915e-02,1.956193e-01
1.801101e-02,3.649872e-02,1.979172e-01
1.880851e-02,3.648793e-02,2.004073e-01
1.964133e-02,3.647683e-02,2.031049e-01
2.051102e-02,3.646552e-02,2.060262e-01
2.141922e-02,3.645406e-02,2.091890e-01
2.236763e-02,3.644258e-02,2.126122e-01
2.335804e-02,3.643123e-02,2.163161e-01
2.439230e-02,3.642017e-02,2.203229e-01
2.547236e-02,3.640962e-02,2.246562e-01
2.660024e-02,3.639984e-02,2.293420e-01
2.777806e-02,3.639113e-02,2.344081e-01
2.900804e-02,3.638386e-02,2.398850e-01
3.029248e-02,3.637847e-02,2.458058e-01
3.163378e-02,3.637548e-02,2.522066e-01
3.303449e-02,3.637549e-02,2.591273e-01
3.449721e-02,3.637923e-02,2.666114e-01
3.602470e-02,3.638753e-02,2.747070e-01
3.761982e-02,3.640137e-02,2.834674e-01
3.928557e-02,3.642190e-02,2.929514e-01
4.102509e-02,3.645041e-02,3.032247e-01
4.284162e-02,3.648843e-02,3.143602e-01
4.473859e-02,3.653767e-02,3.264389e-01
4.671955e-02,3.660011e-02,3.395514e-01
4.878823e-02,3.667793e-02,3.537983e-01
5.094851e-02,3.677360e-02,3.692910e-01
5.320444e-02,3.688983e-02,3.861523e-01
5.556026e-02,3.702956e-02,4.045161e-01
5.802039e-02,3.719596e-02,4.245262e-01
6.058945e-02,3.739236e-02,4.463328e-01
6.327227e-02,3.762219e-02,4.700868e-01
6.607388e-02,3.788894e-02,4.959287e-01
6.899954e-02,3.819602e-02,5.239705e-01
7.205475e-02,3.854671e-02,5.542669e-01
7.524523e-02,3.894406e-02,5.867720e-01
7.857699e-02,3.939089e-02,6.212763e-01
8.205627e-02,3.988978e-02,6.573211e-01
8.568961e-02,4.044317e-02,6.940960e-01
8.948383e-02,4.105352e-02,7.303352e-01
9.344605e-02,4.172363e-02,7.642557e-01
9.758371e-02,4.245692e-02,7.936069e-01
1.019046e-01,4.325783e-02,8.159059e-01
1.064168e-01,4.413224e-02,8.288854e-01
1.111288e-01,4.508786e-02,8.310560e-01
1.160494e-01,4.613458e-02,8.221554e-01
1.211879e-01,4.728488e-02,8.032484e-01
1.265539e-01,4.855406e-02,7.764201e-01
