f_sv,SV_m,SV_f
1.321576e-01,4.996049e-02,7.442277e-01
1.380093e-01,5.152582e-02,7.091691e-01
1.441202e-01,5.327524e-02,6.733390e-01
1.505016e-01,5.523776e-02,6.382997e-01
1.571657e-01,5.744665e-02,6.051053e-01
1.641247e-01,5.993989e-02,5.743977e-01
1.713920e-01,6.276080e-02,5.465189e-01
1.789810e-01,6.595866e-02,5.216091e-01
1.869060e-01,6.958928e-02,4.996805e-01
1.951819e-01,7.371536e-02,4.806681e-01
2.038243e-01,7.840628e-02,4.644584e-01
2.128494e-01,8.373682e-02,4.509028e-01
2.222741e-01,8.978381e-02,4.398148e-01
2.321160e-01,9.661909e-02,4.309543e-01
2.423938e-01,1.042964e-01,4.239958e-01
2.531267e-01,1.128288e-01,4.184831e-01
2.643348e-01,1.221523e-01,4.137721e-01
2.760392e-01,1.320752e-01,4.089786e-01
2.882618e-01,1.422199e-01,4.029709e-01
3.010257e-01,1.519857e-01,3.944826e-01
3.143547e-01,1.605934e-01,3.824313e-01
3.282739e-01,1.672733e-01,3.664522e-01
3.428094e-01,1.715935e-01,3.474335e-01
3.579885e-01,1.737796e-01,3.276678e-01
3.738398e-01,1.748426e-01,3.104468e-01
3.903929e-01,1.765413e-01,2.995117e-01
4.076789e-01,1.815597e-01,2.992232e-01
4.257304e-01,1.947698e-01,3.166893e-01
4.445812e-01,2.285977e-01,3.699416e-01
4.642666e-01,3.326482e-01,5.310419e-01
4.848237e-01,1.031289e+00,1.558188e+00
5.062910e-01,4.861291e-01,6.476523e-01
5.287089e-01,2.083526e-01,2.289976e-01
5.521194e-01,1.386379e-01,1.208179e-01
5.765665e-01,1.094651e-01,7.454894e-02
6.020961e-01,9.454887e-02,5.078019e-02
6.287561e-01,8.608919e-02,3.812288e-02
6.565965e-01,8.091867e-02,3.206103e-02
6.856697e-01,7.752383e-02,2.952989e-02
7.160302e-01,7.513637e-02,2.859098e-02
7.477351e-01,7.335826e-02,2.846815e-02
7.808437e-01,7.198050e-02,2.890232e-02
8.154184e-01,7.089330e-02,2.980946e-02
8.515241e-01,7.004165e-02,3.117167e-02
8.892284e-01,6.940173e-02,3.301116e-02
9.286022e-01,6.895937e-02,3.539020e-02
9.697194e-01,6.864815e-02,3.839238e-02
1.012657e+00,6.807245e-02,4.188880e-02
1.057496e+00,6.553803e-02,4.417595e-02
1.104321e+00,5.908260e-02,4.077490e-02
1.153219e+00,5.462854e-02,3.611525e-02
1.204282e+00,5.410535e-02,3.645997e-02
1.257606e+00,5.442092e-02,3.917475e-02
1.313291e+00,5.461348e-02,4.246108e-02
1.371441e+00,5.459451e-02,4.585491e-02
1.432167e+00,5.440883e-02,4.925876e-02
1.495581e+00,5.410191e-02,5.265713e-02
1.561804e+00,5.370534e-02,5.605069e-02
1.630958e+00,5.323963e-02,5.944150e-02
1.703175e+00,5.271790e-02,6.282999e-02
1.778589e+00,5.214863e-02,6.621478e-02
1.857342e+00,5.153734e-02,6.959291e-02
1.939583e+00,5.088769e-02,7.296018e-02
2.025465e+00,5.020213e-02,7.631142e-02
2.115150e+00,4.948244e-02,7.964063e-02
2.208806e+00,4.872996e-02,8.294116e-02
2.306609e+00,4.794584e-02,8.620581e-02
2.408742e+00,4.713119e-02,8.942694e-02
2.515398e+00,4.628714e-02,9.259657e-02
2.626776e+00,4.541497e-02,9.570646e-02
2.743086e+00,4.451610e-02,9.874826e-02
2.864547e+00,4.359216e-02,1.017135e-01
2.991385e+00,4.264498e-02,1.045940e-01
3.123839e+00,4.167659e-02,1.073813e-01
3.262159e+00,4.068926e-02,1.100677e-01
3.406602e+00,3.968539e-02,1.126454e-01
3.557442e+00,3.866757e-02,1.151074e-01
3.714961e+00,3.763852e-02,1.174469e-01
3.879454e+00,3.660105e-02,1.196578e-01
4.051231e+00,3.555803e-02,1.217345e-01
4.230614e+00,3.451233e-02,1.236722e-01
4.417940e+00,3.346684e-02,1.254666e-01
4.613560e+00,3.242437e-02,1.271140e-01
4.817842e+00,3.138765e-02,1.286114e-01
5.031170e+00,3.035927e-02,1.299566e-01
5.253943e+00,2.934171e-02,1.311476e-01
5.486581e+00,2.833725e-02,1.321834e-01
5.729519e+00,2.734800e-02,1.330631e-01
5.983214e+00,2.637584e-02,1.337865e-01
6.248143e+00,2.542248e-02,1.343537e-01
6.524802e+00,2.448939e-02,1.347652e-01
6.813711e+00,2.357784e-02,1.350218e-01
7.115413e+00,2.268887e-02,1.351247e-01
7.430474e+00,2.182334e-02,1.350752e-01
7.759485e+00,2.098191e-02,1.348748e-01
8.103064e+00,2.016506e-02,1.345253e-01
8.461857e+00,1.937310e-02,1.340289e-01
8.836536e+00,1.860620e-02,1.333876e-01
9.227806e+00,1.786437e-02,1.326040e-01
9.636401e+00,1.714753e-02,1.316808e-01
1.006309e+01,1.645547e-02,1.306211e-01
1.050867e+01,1.578788e-02,1.294280e-01
1.097398e+01,1.514438e-02,1.281053e-01
1.145989e+01,1.452455e-02,1.266569e-01
1.196732e+01,1.392786e-02,1.250873e-01
1.249721e+01,1.335378e-02,1.234014e-01
1.305057e+01,1.280172e-02,1.216043e-01
1.362843e+01,1.227108e-02,1.197017e-01
1.423188e+01,1.176123e-02,1.176999e-01
1.486205e+01,1.127154e-02,1.156053e-01
1.552012e+01,1.080135e-02,1.134249e-01
1.620733e+01,1.035002e-02,1.111660e-01
1.692497e+01,9.916899e-03,1.088363e-01
1.767439e+01,9.501351e-03,1.064436e-01
1.845698e+01,9.102741e-03,1.039960e-01
1.927423e+01,8.720447e-03,1.015017e-01
2.012767e+01,8.353862e-03,9.896899e-02
2.101890e+01,8.002388e-03,9.640603e-02
2.194958e+01,7.665446e-03,9.382097e-02
2.292148e+01,7.342472e-03,9.122174e-02
2.393641e+01,7.032917e-03,8.861607e-02
2.499628e+01,6.736251e-03,8.601134e-02
2.610309e+01,6.451960e-03,8.341461e-02
2.725890e+01,6.179547e-03,8.083253e-02
2.846588e+01,5.918531e-03,7.827130e-02
2.972631e+01,5.668452e-03,7.573665e-02
3.104255e+01,5.428862e-03,7.323383e-02
3.241707e+01,5.199333e-03,7.076761e-02
3.385246e+01,4.979450e-03,6.834222e-02
3.535140e+01,4.768817e-03,6.596142e-02
3.691671e+01,4.567050e-03,6.362847e-02
3.855133e+01,4.373783e-03,6.134618e-02
4.025833e+01,4.188662e-03,5.911688e-02
4.204092e+01,4.011347e-03,5.694250e-02
4.390243e+01,3.841515e-03,5.482455e-02
4.584637e+01,3.678851e-03,5.276418e-02
4.787638e+01,3.523057e-03,5.076219e-02
4.999628e+01,3.373844e-03,4.881907e-02
5.221005e+01,3.230937e-03,4.693502e-02
5.452184e+01,3.094071e-03,4.510999e-02
5.693599e+01,2.962992e-03,4.334369e-02
5.945704e+01,2.837457e-03,4.163563e-02
6.208972e+01,2.717232e-03,3.998517e-02
6.483897e+01,2.602094e-03,3.839149e-02
6.770995e+01,2.491829e-03,3.685363e-02
7.070805e+01,2.386231e-03,3.537055e-02
7.383891e+01,2.285103e-03,3.394108e-02
7.710839e+01,2.188256e-03,3.256402e-02
8.052265e+01,2.095511e-03,3.123806e-02
8.408808e+01,2.006693e-03,2.996188e-02
8.781138e+01,1.921637e-03,2.873411e-02
9.169955e+01,1.840184e-03,2.755336e-02
9.575988e+01,1.762181e-03,2.641821e-02
1.000000e+02,1.687483e-03,2.532725e-02
