f_sv,SV_m1,SV_m1,SV_f1,SV_f2
4.878823e-02,3.577778e-02,2.982092e-02,3.930663e-01,3.783789e-01
5.094851e-02,3.584365e-02,2.993053e-02,4.100556e-01,3.947896e-01
5.320444e-02,3.592786e-02,3.006217e-02,4.285086e-01,4.126173e-01
5.556026e-02,3.603402e-02,3.021899e-02,4.485631e-01,4.319929e-01
5.802039e-02,3.616599e-02,3.040439e-02,4.703652e-01,4.530551e-01
6.058945e-02,3.632784e-02,3.062193e-02,4.940656e-01,4.759464e-01
6.327227e-02,3.652366e-02,3.087525e-02,5.198124e-01,5.008057e-01
6.607388e-02,3.675746e-02,3.116801e-02,5.477380e-01,5.277564e-01
6.899954e-02,3.703298e-02,3.150373e-02,5.779391e-01,5.568867e-01
7.205475e-02,3.735349e-02,3.188578e-02,6.104441e-01,5.882191e-01
7.524523e-02,3.772161e-02,3.231725e-02,6.451650e-01,6.216642e-01
7.857699e-02,3.813927e-02,3.280102e-02,6.818285e-01,6.569555e-01
8.205627e-02,3.860766e-02,3.333982e-02,7.198840e-01,6.935617e-01
8.568961e-02,3.912740e-02,3.393645e-02,7.583935e-01,7.305826e-01
8.948383e-02,3.969882e-02,3.459413e-02,7.959242e-01,7.666469e-01
9.344605e-02,4.032239e-02,3.531694e-02,8.304902e-01,7.998577e-01
9.758371e-02,4.099922e-02,3.611037e-02,8.596179e-01,8.278561e-01
1.019046e-01,4.173160e-02,3.698184e-02,8.806151e-01,8.480802e-01
1.064168e-01,4.252347e-02,3.794128e-02,8.910668e-01,8.582398e-01
1.111288e-01,4.338084e-02,3.900164e-02,8.894435e-01,8.568987e-01
1.160494e-01,4.431202e-02,4.017937e-02,8.755732e-01,8.439250e-01
1.211879e-01,4.532781e-02,4.149472e-02,8.507246e-01,8.205688e-01
1.265539e-01,4.644151e-02,4.297197e-02,8.172482e-01,7.891172e-01
1.321576e-01,4.766891e-02,4.463941e-02,7.779670e-01,7.523092e-01
1.380093e-01,4.902813e-02,4.652915e-02,7.355977e-01,7.127816e-01
1.441202e-01,5.053961e-02,4.867645e-02,6.923849e-01,6.727178e-01
1.505016e-01,5.222601e-02,5.111884e-02,6.499715e-01,6.337223e-01
1.571657e-01,5.411220e-02,5.389462e-02,6.094337e-01,5.968508e-01
1.641247e-01,5.622522e-02,5.704082e-02,5.713923e-01,5.627117e-01
1.713920e-01,5.859419e-02,6.059044e-02,5.361381e-01,5.315788e-01
1.789810e-01,6.124999e-02,6.456909e-02,5.037407e-01,5.034876e-01
1.869060e-01,6.422459e-02,6.899113e-02,4.741307e-01,4.783060e-01
1.951819e-01,6.754957e-02,7.385559e-02,4.471561e-01,4.557844e-01
2.038243e-01,7.125362e-02,7.914258e-02,4.226195e-01,4.355928e-01
2.128494e-01,7.535786e-02,8.481052e-02,4.002997e-01,4.173538e-01
2.222741e-01,7.986818e-02,9.079453e-02,3.799638e-01,4.006770e-01
2.321160e-01,8.476269e-02,9.700463e-02,3.613731e-01,3.851974e-01
