k,rep,imp,rez,imz
1.000000e+00,-9.914511e+01,6.091568e+00,8.293299e+10,0.000000e+00
2.000000e+00,-9.914511e+01,-6.091568e+00,-9.800767e+01,0.000000e+00
3.000000e+00,-9.999419e+01,0.000000e+00,-9.999773e+01,0.000000e+00
4.000000e+00,-9.999826e+01,0.000000e+00,-9.999878e+01,0.000000e+00
5.000000e+00,-9.999895e+01,0.000000e+00,-9.999894e+01,0.000000e+00
6.000000e+00,-3.713998e+01,0.000000e+00,-3.712897e+01,0.000000e+00
7.000000e+00,-3.668929e+01,0.000000e+00,-3.659800e+01,0.000000e+00
8.000000e+00,-3.605242e+01,0.000000e+00,-3.538163e+01,0.000000e+00
9.000000e+00,-3.563869e+01,0.000000e+00,-3.602987e+01,0.000000e+00
1.000000e+01,-3.417445e+01,0.000000e+00,-3.369912e+01,0.000000e+00
1.100000e+01,-3.156218e+01,0.000000e+00,-2.894067e+01,1.845512e+00
1.200000e+01,-2.951350e+01,0.000000e+00,-2.894067e+01,-1.845512e+00
1.300000e+01,-1.899885e+01,6.305285e+00,-2.977807e+01,0.000000e+00
1.400000e+01,-1.899885e+01,-6.305285e+00,-1.469324e+01,0.000000e+00
1.500000e+01,-1.457857e+01,0.000000e+00,-1.424161e+01,0.000000e+00
1.600000e+01,-1.413244e+01,0.000000e+00,-1.425005e+01,0.000000e+00
1.700000e+01,-1.425131e+01,0.000000e+00,-1.196522e+01,1.681301e+00
1.800000e+01,-6.931706e-01,6.874067e+00,-1.196522e+01,-1.681301e+00
1.900000e+01,-6.931706e-01,-6.874067e+00,1.665769e+00,7.618198e+00
2.000000e+01,-5.244491e-01,6.918898e+00,1.665769e+00,-7.618198e+00
2.100000e+01,-5.244491e-01,-6.918898e+00,3.265779e-01,6.230724e+00
2.200000e+01,-1.006151e+01,0.000000e+00,3.265779e-01,-6.230724e+00
2.300000e+01,-1.007027e+01,0.000000e+00,-4.905120e-01,6.865931e+00
2.400000e+01,-1.009779e+01,0.000000e+00,-4.905120e-01,-6.865931e+00
2.500000e+01,-1.011007e+01,0.000000e+00,-1.005159e+01,0.000000e+00
2.600000e+01,2.217500e-01,3.466885e+00,-1.007949e+01,0.000000e+00
2.700000e+01,2.217500e-01,-3.466885e+00,-1.007041e+01,0.000000e+00
2.800000e+01,-4.448952e+00,0.000000e+00,-1.011033e+01,0.000000e+00
2.900000e+01,-3.702783e+00,3.207542e-01,-4.446071e+00,0.000000e+00
3.000000e+01,-3.702783e+00,-3.207542e-01,-3.681656e+00,3.966928e-01
3.100000e+01,-3.495974e+00,0.000000e+00,-3.681656e+00,-3.966928e-01
3.200000e+01,-7.709427e-01,1.831651e+00,-7.615188e-01,1.842489e+00
3.300000e+01,-7.709427e-01,-1.831651e+00,-7.615188e-01,-1.842489e+00
3.400000e+01,-2.762300e+00,0.000000e+00,-3.383514e+00,0.000000e+00
3.500000e+01,-2.099941e+00,8.407105e-02,-2.763394e+00,0.000000e+00
3.600000e+01,-2.099941e+00,-8.407105e-02,-2.069141e+00,1.853667e-01
3.700000e+01,-2.001684e+00,0.000000e+00,-2.069141e+00,-1.853667e-01
3.800000e+01,-1.792379e+00,8.833317e-02,-2.004257e+00,3.046528e-03
3.900000e+01,-1.792379e+00,-8.833317e-02,-2.004257e+00,-3.046528e-03
4.000000e+01,-1.382342e+00,0.000000e+00,-1.567125e+00,0.000000e+00
4.100000e+01,-3.044713e-01,7.009048e-01,-7.717477e-01,5.443307e-01
4.200000e+01,-3.044713e-01,-7.009048e-01,-7.717477e-01,-5.443307e-01
4.300000e+01,-7.088467e-01,6.048788e-01,-3.193582e-01,5.314018e-01
4.400000e+01,-7.088467e-01,-6.048788e-01,-3.193582e-01,-5.314018e-01
4.500000e+01,-3.840420e-01,4.520638e-01,-3.865135e-01,4.538430e-01
4.600000e+01,-3.840420e-01,-4.520638e-01,-3.865135e-01,-4.538430e-01
4.700000e+01,-6.017096e-01,0.000000e+00,-5.531756e-01,0.000000e+00
4.800000e+01,-2.938626e-02,0.000000e+00,9.973785e-02,0.000000e+00
4.900000e+01,-3.399864e-02,0.000000e+00,3.082452e-14,0.000000e+00
5.000000e+01,-1.949760e-01,0.000000e+00,-3.532491e-02,0.000000e+00
5.100000e+01,-1.984306e-01,0.000000e+00,-1.994351e-01,0.000000e+00
5.200000e+01,-1.985948e-01,0.000000e+00,-1.985117e-01,0.000000e+00
5.300000e+01,-1.000000e+02,0.000000e+00,-1.985951e-01,0.000000e+00
