k,rpb,ipb,rzb,izb,rp1,ip1,rz1,iz1,rp2,ip2,rz2,iz2,rp3,ip3,rz3,iz3
1.900000e+01,-4.976235e-01,-6.925256e+00,-3.739837e-01,6.741412e+00,-4.914134e-01,-6.905905e+00,-4.255583e-01,6.795112e+00,-4.985400e-01,-6.859559e+00,-3.996763e-01,6.785111e+00,-4.873818e-01,-6.857051e+00,-4.283724e-01,6.806089e+00
2.000000e+01,-4.917295e-01,6.866335e+00,-3.739837e-01,-6.741412e+00,-4.910170e-01,6.863950e+00,-4.255583e-01,-6.795112e+00,-5.123038e-01,6.876873e+00,-3.996763e-01,-6.785111e+00,-5.184663e-01,6.865071e+00,-4.283724e-01,-6.806089e+00
2.100000e+01,-4.917295e-01,-6.866335e+00,-4.810021e-01,6.888389e+00,-4.910170e-01,-6.863950e+00,-4.810165e-01,6.887853e+00,-5.123038e-01,-6.876873e+00,-5.059908e-01,6.862639e+00,-5.184663e-01,-6.865071e+00,-5.063795e-01,6.861532e+00
2.200000e+01,-1.009661e+01,0.000000e+00,-4.810021e-01,-6.888389e+00,-1.010012e+01,0.000000e+00,-4.810165e-01,-6.887853e+00,-1.007042e+01,0.000000e+00,-5.059908e-01,-6.862639e+00,-1.007049e+01,0.000000e+00,-5.063795e-01,-6.861532e+00
2.300000e+01,-1.006989e+01,0.000000e+00,-1.011017e+01,0.000000e+00,-1.007047e+01,0.000000e+00,-1.002336e+01,0.000000e+00,-1.006994e+01,0.000000e+00,-1.011017e+01,0.000000e+00,-1.007004e+01,0.000000e+00,-1.000387e+01,0.000000e+00
2.400000e+01,-1.007045e+01,0.000000e+00,-1.005697e+01,0.000000e+00,-1.007011e+01,0.000000e+00,-1.011017e+01,0.000000e+00,-1.010026e+01,0.000000e+00,-1.004923e+01,0.000000e+00,-1.010281e+01,0.000000e+00,-1.011017e+01,0.000000e+00
2.500000e+01,-1.011017e+01,0.000000e+00,-1.007339e+01,0.000000e+00,-1.011017e+01,0.000000e+00,-1.007191e+01,0.000000e+00,-1.011017e+01,0.000000e+00,-1.007262e+01,0.000000e+00,-1.011017e+01,0.000000e+00,-1.007021e+01,0.000000e+00
2.600000e+01,-9.778195e-04,3.717664e+00,-1.007043e+01,0.000000e+00,6.663854e-02,3.242899e+00,-1.007043e+01,0.000000e+00,4.438395e-02,3.184805e+00,-1.007021e+01,0.000000e+00,5.761371e-02,2.878424e+00,-1.007177e+01,0.000000e+00
2.700000e+01,-9.778195e-04,-3.717664e+00,-5.037113e+00,0.000000e+00,6.663854e-02,-3.242899e+00,-5.276600e+00,0.000000e+00,4.438395e-02,-3.184805e+00,-5.126358e+00,0.000000e+00,5.761371e-02,-2.878424e+00,-5.346720e+00,0.000000e+00
2.800000e+01,-4.481532e+00,0.000000e+00,-4.445023e+00,0.000000e+00,-4.470016e+00,0.000000e+00,-4.441678e+00,0.000000e+00,-4.446300e+00,0.000000e+00,-4.366981e+00,0.000000e+00,-4.446175e+00,0.000000e+00,-4.361353e+00,0.000000e+00
