t,v3,v13
0.000000e+00,1.000000e+00,9.812429e-01
3.333333e-02,1.000000e+00,9.812429e-01
6.666667e-02,1.000000e+00,9.812429e-01
1.000000e-01,2.995301e-06,7.529432e-01
1.333333e-01,2.663521e-06,7.294089e-01
1.666667e-01,7.964830e-01,8.070110e-01
2.000000e-01,9.025879e-01,9.308832e-01
2.333333e-01,9.205474e-01,9.442273e-01
2.666667e-01,9.262640e-01,9.487283e-01
3.000000e-01,9.270360e-01,9.495304e-01
3.333333e-01,9.254752e-01,9.485163e-01
3.666667e-01,9.226305e-01,9.464161e-01
4.000000e-01,9.188960e-01,9.435081e-01
4.333333e-01,9.141791e-01,9.398606e-01
4.666667e-01,9.086536e-01,9.355658e-01
5.000000e-01,9.024881e-01,9.307053e-01
5.333333e-01,8.991614e-01,9.260025e-01
5.666667e-01,8.945725e-01,9.207943e-01
6.000000e-01,8.893192e-01,9.151895e-01
6.333333e-01,8.841239e-01,9.093865e-01
6.666667e-01,8.790944e-01,9.034709e-01
7.000000e-01,8.743156e-01,8.975200e-01
7.333333e-01,8.698599e-01,8.916081e-01
7.666667e-01,8.657817e-01,8.858055e-01
8.000000e-01,8.621252e-01,8.801788e-01
8.333333e-01,8.589270e-01,8.747937e-01
8.666667e-01,8.562062e-01,8.697090e-01
9.000000e-01,8.539760e-01,8.649812e-01
9.333333e-01,8.522455e-01,8.606672e-01
9.666667e-01,8.510099e-01,8.568139e-01
1.000000e+00,8.502632e-01,8.534680e-01
1.033333e+00,8.499996e-01,8.506771e-01
1.066667e+00,8.502039e-01,8.484774e-01
1.100000e+00,8.508641e-01,8.469059e-01
1.133333e+00,8.519716e-01,8.460014e-01
1.166667e+00,8.535131e-01,8.457899e-01
1.200000e+00,8.554808e-01,8.462985e-01
1.233333e+00,8.578736e-01,8.475570e-01
1.266667e+00,8.606880e-01,8.495801e-01
1.300000e+00,8.639285e-01,8.523844e-01
1.333333e+00,8.676082e-01,8.559886e-01
1.366667e+00,8.717390e-01,8.603951e-01
1.400000e+00,8.763418e-01,8.656083e-01
1.433333e+00,8.814472e-01,8.716342e-01
1.466667e+00,8.870835e-01,8.784622e-01
1.500000e+00,8.932872e-01,8.860830e-01
1.533333e+00,9.001038e-01,8.944886e-01
1.566667e+00,9.010530e-01,9.026513e-01
1.600000e+00,9.016534e-01,9.111488e-01
1.633333e+00,9.054083e-01,9.204995e-01
1.666667e+00,9.110130e-01,9.305119e-01
1.700000e+00,9.189674e-01,9.412346e-01
1.733333e+00,9.285741e-01,9.525372e-01
1.766667e+00,9.391853e-01,9.642594e-01
1.800000e+00,9.504841e-01,9.762817e-01
1.833333e+00,9.622999e-01,9.885024e-01
1.866667e+00,9.745150e-01,1.000822e+00
1.900000e+00,9.870385e-01,1.013148e+00
1.933333e+00,9.997854e-01,1.025391e+00
1.966667e+00,1.012665e+00,1.037464e+00
2.000000e+00,1.025590e+00,1.049277e+00
2.033333e+00,1.038474e+00,1.060735e+00
2.066667e+00,1.051228e+00,1.071749e+00
2.100000e+00,1.063765e+00,1.082231e+00
2.133333e+00,1.075991e+00,1.092095e+00
2.166667e+00,1.087825e+00,1.101271e+00
2.200000e+00,1.099187e+00,1.109701e+00
2.233333e+00,1.110000e+00,1.117331e+00
2.266667e+00,1.120209e+00,1.124136e+00
2.300000e+00,1.129763e+00,1.130102e+00
2.333333e+00,1.138509e+00,1.135199e+00
2.366667e+00,1.145204e+00,1.139193e+00
2.400000e+00,1.150115e+00,1.142140e+00
2.433333e+00,1.153707e+00,1.144156e+00
2.466667e+00,1.156205e+00,1.145328e+00
2.500000e+00,1.157706e+00,1.145713e+00
2.533333e+00,1.158246e+00,1.145342e+00
2.566667e+00,1.157855e+00,1.144244e+00
2.600000e+00,1.156545e+00,1.142431e+00
2.633333e+00,1.154318e+00,1.139892e+00
2.666667e+00,1.151185e+00,1.136616e+00
2.700000e+00,1.147151e+00,1.132576e+00
2.733333e+00,1.142217e+00,1.127732e+00
2.766667e+00,1.136401e+00,1.122052e+00
2.800000e+00,1.129722e+00,1.115501e+00
2.833333e+00,1.122203e+00,1.108042e+00
2.866667e+00,1.113891e+00,1.099663e+00
2.900000e+00,1.104843e+00,1.090364e+00
2.933333e+00,1.095126e+00,1.080165e+00
2.966667e+00,1.084833e+00,1.069123e+00
3.000000e+00,1.074069e+00,1.057314e+00
3.033333e+00,1.062948e+00,1.044832e+00
3.066667e+00,1.051599e+00,1.031800e+00
3.100000e+00,1.040148e+00,1.018348e+00
3.133333e+00,1.028724e+00,1.004619e+00
3.166667e+00,1.016455e+00,9.905657e-01
3.200000e+00,1.001392e+00,9.758569e-01
3.233333e+00,9.864269e-01,9.611793e-01
3.266667e+00,9.718002e-01,9.467161e-01
3.300000e+00,9.576690e-01,9.326032e-01
3.333333e+00,9.441485e-01,9.189462e-01
3.366667e+00,9.313087e-01,9.058237e-01
3.400000e+00,9.190058e-01,8.932679e-01
3.433333e+00,9.073925e-01,8.813603e-01
