k,mag,ang,re,im
1.000000e+00,9.999780e+01,1.800000e+02,-9.999780e+01,0.000000e+00
2.000000e+00,9.999823e+01,1.800000e+02,-9.999823e+01,0.000000e+00
3.000000e+00,9.999895e+01,1.800000e+02,-9.999895e+01,0.000000e+00
4.000000e+00,9.999898e+01,1.800000e+02,-9.999898e+01,0.000000e+00
5.000000e+00,3.720153e+01,1.800000e+02,-3.720153e+01,0.000000e+00
6.000000e+00,3.712786e+01,1.800000e+02,-3.712786e+01,0.000000e+00
7.000000e+00,3.615928e+01,1.800000e+02,-3.615928e+01,0.000000e+00
8.000000e+00,3.596250e+01,1.800000e+02,-3.596250e+01,0.000000e+00
9.000000e+00,3.492091e+01,1.800000e+02,-3.492091e+01,0.000000e+00
1.000000e+01,3.371044e+01,1.800000e+02,-3.371044e+01,0.000000e+00
1.100000e+01,2.869913e+01,1.800000e+02,-2.869913e+01,0.000000e+00
1.200000e+01,3.019962e+01,1.800000e+02,-3.019962e+01,0.000000e+00
1.300000e+01,1.468476e+01,1.800000e+02,-1.468476e+01,0.000000e+00
1.400000e+01,1.450611e+01,1.800000e+02,-1.450611e+01,0.000000e+00
1.500000e+01,1.425147e+01,1.800000e+02,-1.425147e+01,0.000000e+00
1.600000e+01,1.424372e+01,1.800000e+02,-1.424372e+01,0.000000e+00
1.700000e+01,6.941114e+00,9.411807e+01,-4.984548e-01,6.923193e+00
1.800000e+01,6.941114e+00,-9.411807e+01,-4.984548e-01,-6.923193e+00
1.900000e+01,6.890061e+00,9.407832e+01,-4.900214e-01,6.872614e+00
2.000000e+01,6.890061e+00,-9.407832e+01,-4.900214e-01,-6.872614e+00
2.100000e+01,1.009754e+01,1.800000e+02,-1.009754e+01,0.000000e+00
2.200000e+01,1.006992e+01,1.800000e+02,-1.006992e+01,0.000000e+00
2.300000e+01,1.007042e+01,1.800000e+02,-1.007042e+01,0.000000e+00
2.400000e+01,1.011017e+01,1.800000e+02,-1.011017e+01,0.000000e+00
2.500000e+01,3.503466e+00,9.109590e+01,-6.700717e-02,3.502825e+00
2.600000e+01,3.503466e+00,-9.109590e+01,-6.700717e-02,-3.502825e+00
2.700000e+01,4.478357e+00,1.800000e+02,-4.478357e+00,0.000000e+00
2.800000e+01,4.425481e+00,1.800000e+02,-4.425481e+00,0.000000e+00
2.900000e+01,2.212765e+00,1.052992e+02,-5.838588e-01,2.134347e+00
3.000000e+01,2.212765e+00,-1.052992e+02,-5.838588e-01,-2.134347e+00
3.100000e+01,2.042648e+00,1.172050e+02,-9.338486e-01,1.816683e+00
3.200000e+01,2.042648e+00,-1.172050e+02,-9.338486e-01,-1.816683e+00
3.300000e+01,3.505102e+00,1.800000e+02,-3.505102e+00,0.000000e+00
3.400000e+01,3.350586e+00,1.800000e+02,-3.350586e+00,0.000000e+00
3.500000e+01,2.755184e+00,1.800000e+02,-2.755184e+00,0.000000e+00
3.600000e+01,2.776698e+00,1.800000e+02,-2.776698e+00,0.000000e+00
3.700000e+01,1.912056e+00,1.800000e+02,-1.912056e+00,0.000000e+00
3.800000e+01,2.002014e+00,1.800000e+02,-2.002014e+00,0.000000e+00
3.900000e+01,2.000316e+00,1.800000e+02,-2.000316e+00,0.000000e+00
4.000000e+01,1.591330e+00,1.800000e+02,-1.591330e+00,0.000000e+00
4.100000e+01,6.914614e-01,1.111220e+02,-2.491714e-01,6.450058e-01
4.200000e+01,6.914614e-01,-1.111220e+02,-2.491714e-01,-6.450058e-01
4.300000e+01,8.854885e-06,0.000000e+00,8.854885e-06,0.000000e+00
4.400000e+01,5.976288e-01,1.305235e+02,-3.883152e-01,4.542813e-01
4.500000e+01,5.976288e-01,-1.305235e+02,-3.883152e-01,-4.542813e-01
4.600000e+01,5.861616e-01,1.296588e+02,-3.740971e-01,4.512613e-01
4.700000e+01,5.861616e-01,-1.296588e+02,-3.740971e-01,-4.512613e-01
4.800000e+01,7.036248e-01,1.800000e+02,-7.036248e-01,0.000000e+00
4.900000e+01,5.472248e-01,1.800000e+02,-5.472248e-01,0.000000e+00
5.000000e+01,1.962152e-01,1.800000e+02,-1.962152e-01,0.000000e+00
5.100000e+01,1.985902e-01,1.800000e+02,-1.985902e-01,0.000000e+00
5.200000e+01,1.986270e-01,1.800000e+02,-1.986270e-01,0.000000e+00
5.300000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
5.400000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
5.500000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
5.600000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
5.700000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
5.800000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
5.900000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
