f,gc1,pc1,gc2,pc2
1.000000e-02,-2.245088e+01,4.243435e+01,-6.703194e+01,1.738072e+02
2.566929e-02,-2.032064e+01,1.609318e+01,-5.075578e+01,1.643820e+02
4.133858e-02,-2.010330e+01,6.965090e+00,-4.262281e+01,1.556443e+02
5.700787e-02,-2.004726e+01,2.275044e+00,-3.712364e+01,1.477734e+02
7.267717e-02,-1.993999e+01,-7.236916e-01,-3.281659e+01,1.402126e+02
8.834646e-02,-1.975823e+01,-3.329875e+00,-2.916645e+01,1.319840e+02
1.040157e-01,-1.955331e+01,-5.996392e+00,-2.599486e+01,1.225472e+02
1.196850e-01,-1.935069e+01,-8.710935e+00,-2.323477e+01,1.118017e+02
1.353543e-01,-1.914781e+01,-1.145156e+01,-2.086492e+01,9.979578e+01
1.510236e-01,-1.894269e+01,-1.426679e+01,-1.889744e+01,8.674323e+01
1.666929e-01,-1.874322e+01,-1.719884e+01,-1.734952e+01,7.310475e+01
1.823622e-01,-1.856230e+01,-2.022483e+01,-1.621051e+01,5.951008e+01
1.980315e-01,-1.840903e+01,-2.324371e+01,-1.543060e+01,4.656088e+01
2.137008e-01,-1.828003e+01,-2.610116e+01,-1.493397e+01,3.468126e+01
2.293701e-01,-1.815273e+01,-2.865538e+01,-1.463722e+01,2.409081e+01
2.450394e-01,-1.798643e+01,-3.088881e+01,-1.445944e+01,1.483414e+01
2.607087e-01,-1.774024e+01,-3.302264e+01,-1.432755e+01,6.789952e+00
2.763780e-01,-1.740905e+01,-3.549859e+01,-1.418767e+01,-3.287278e-01
2.920472e-01,-1.705040e+01,-3.871517e+01,-1.402231e+01,-6.894585e+00
3.077165e-01,-1.676608e+01,-4.265705e+01,-1.385532e+01,-1.316545e+01
3.233858e-01,-1.663927e+01,-4.672589e+01,-1.372665e+01,-1.908090e+01
3.390551e-01,-1.666373e+01,-4.994883e+01,-1.364321e+01,-2.425627e+01
3.547244e-01,-1.671243e+01,-5.155979e+01,-1.353993e+01,-2.829691e+01
