t,v3,v13
0.000000e+00,1.000000e+00,1.006556e+00
3.333333e-02,3.173079e-06,6.910523e-01
6.666667e-02,2.856960e-06,6.612324e-01
1.000000e-01,2.698995e-06,6.443429e-01
1.333333e-01,2.590892e-06,6.328261e-01
1.666667e-01,7.325041e-01,7.367762e-01
2.000000e-01,8.205265e-01,8.873377e-01
2.333333e-01,8.392008e-01,9.047643e-01
2.666667e-01,8.437424e-01,9.105485e-01
3.000000e-01,8.429509e-01,9.114619e-01
3.333333e-01,8.396072e-01,9.099542e-01
3.666667e-01,8.348497e-01,9.070123e-01
4.000000e-01,8.292138e-01,9.030854e-01
4.333333e-01,8.230160e-01,8.984298e-01
4.666667e-01,8.164917e-01,8.932343e-01
5.000000e-01,8.080422e-01,8.872635e-01
5.333333e-01,8.048525e-01,8.822593e-01
5.666667e-01,7.985797e-01,8.764216e-01
6.000000e-01,7.926785e-01,8.706466e-01
6.333333e-01,7.872860e-01,8.650637e-01
6.666667e-01,7.824926e-01,8.597810e-01
7.000000e-01,7.783819e-01,8.548991e-01
7.333333e-01,7.750423e-01,8.505263e-01
7.666667e-01,7.724976e-01,8.467312e-01
8.000000e-01,7.707759e-01,8.435875e-01
8.333333e-01,7.699180e-01,8.411853e-01
8.666667e-01,7.699026e-01,8.395652e-01
9.000000e-01,7.707274e-01,8.387833e-01
9.333333e-01,7.724118e-01,8.389205e-01
9.666667e-01,7.749256e-01,8.400013e-01
1.000000e+00,7.744162e-01,8.414393e-01
1.033333e+00,7.825527e-01,8.452533e-01
1.066667e+00,7.875780e-01,8.494762e-01
1.100000e+00,7.935028e-01,8.548385e-01
1.133333e+00,8.003816e-01,8.614157e-01
1.166667e+00,8.082305e-01,8.692117e-01
1.200000e+00,8.171049e-01,8.782615e-01
1.233333e+00,8.271056e-01,8.886327e-01
1.266667e+00,8.382749e-01,9.003044e-01
1.300000e+00,8.506898e-01,9.132797e-01
1.333333e+00,8.644679e-01,9.275811e-01
1.366667e+00,8.796372e-01,9.431284e-01
1.400000e+00,8.962468e-01,9.598525e-01
1.433333e+00,9.143639e-01,9.776802e-01
1.466667e+00,9.339286e-01,9.964335e-01
1.500000e+00,9.535095e-01,1.015603e+00
