t,a1,a2,a3,a4
0.000000e+00,1.122834e+00,9.722515e-01,4.557251e-01,2.788349e-01
3.333333e-02,1.122834e+00,9.722515e-01,4.557251e-01,2.788349e-01
6.666667e-02,1.122834e+00,9.722515e-01,4.557251e-01,2.788349e-01
1.000000e-01,1.122834e+00,9.722515e-01,4.557251e-01,2.788349e-01
1.333333e-01,1.137098e+00,9.883832e-01,4.577575e-01,2.804314e-01
1.666667e-01,1.171871e+00,1.026624e+00,4.636018e-01,2.851924e-01
2.000000e-01,1.217010e+00,1.074944e+00,4.732036e-01,2.934302e-01
2.333333e-01,1.268303e+00,1.128429e+00,4.851356e-01,3.036754e-01
2.666667e-01,1.323193e+00,1.184185e+00,4.979990e-01,3.146646e-01
3.000000e-01,1.381151e+00,1.241867e+00,5.116408e-01,3.264925e-01
3.333333e-01,1.441859e+00,1.301287e+00,5.260761e-01,3.393892e-01
3.666667e-01,1.505035e+00,1.362319e+00,5.413902e-01,3.536174e-01
4.000000e-01,1.570462e+00,1.424906e+00,5.577266e-01,3.694602e-01
4.333333e-01,1.637970e+00,1.489052e+00,5.752798e-01,3.872152e-01
4.666667e-01,1.707392e+00,1.554785e+00,5.942629e-01,4.071411e-01
5.000000e-01,1.778618e+00,1.622191e+00,6.149274e-01,4.294920e-01
5.333333e-01,1.851583e+00,1.691395e+00,6.375682e-01,4.545246e-01
5.666667e-01,1.926155e+00,1.762426e+00,6.624687e-01,4.824350e-01
6.000000e-01,2.002259e+00,1.835362e+00,6.899372e-01,5.134136e-01
6.333333e-01,2.079884e+00,1.910332e+00,7.203144e-01,5.476556e-01
6.666667e-01,2.159024e+00,1.987431e+00,7.538979e-01,5.852890e-01
7.000000e-01,2.239713e+00,2.066765e+00,7.909982e-01,6.264488e-01
7.333333e-01,2.322020e+00,2.148444e+00,8.319437e-01,6.712855e-01
7.666667e-01,2.406010e+00,2.232532e+00,8.769863e-01,7.198846e-01
8.000000e-01,2.491776e+00,2.319088e+00,9.263802e-01,7.723507e-01
8.333333e-01,2.579438e+00,2.408173e+00,9.803871e-01,8.288139e-01
8.666667e-01,2.669093e+00,2.499790e+00,1.039167e+00,8.893415e-01
9.000000e-01,2.760856e+00,2.593936e+00,1.102880e+00,9.540275e-01
9.333333e-01,2.854856e+00,2.690609e+00,1.171687e+00,1.022996e+00
9.666667e-01,2.951178e+00,2.789749e+00,1.245637e+00,1.096306e+00
1.000000e+00,3.049913e+00,2.891298e+00,1.324781e+00,1.174043e+00
1.033333e+00,3.151152e+00,2.995197e+00,1.409171e+00,1.256322e+00
1.066667e+00,3.254928e+00,3.101338e+00,1.498751e+00,1.343182e+00
1.100000e+00,3.361264e+00,3.209620e+00,1.593469e+00,1.434686e+00
1.133333e+00,3.470175e+00,3.319942e+00,1.693284e+00,1.530919e+00
1.166667e+00,3.581603e+00,3.432167e+00,1.798051e+00,1.631879e+00
1.200000e+00,3.695476e+00,3.546163e+00,1.907640e+00,1.737579e+00
1.233333e+00,3.811702e+00,3.661799e+00,2.021936e+00,1.848044e+00
1.266667e+00,3.930116e+00,3.778915e+00,2.140735e+00,1.963203e+00
1.300000e+00,4.050535e+00,3.897351e+00,2.263851e+00,2.082991e+00
1.333333e+00,4.172750e+00,4.016946e+00,2.391117e+00,2.207345e+00
1.366667e+00,4.296489e+00,4.137508e+00,2.522290e+00,2.336098e+00
1.400000e+00,4.421463e+00,4.258841e+00,2.657148e+00,2.469085e+00
1.433333e+00,4.547352e+00,4.380736e+00,2.795482e+00,2.606131e+00
1.466667e+00,4.673795e+00,4.502954e+00,2.937023e+00,2.746962e+00
1.500000e+00,4.800412e+00,4.625240e+00,3.081514e+00,2.891298e+00
1.533333e+00,4.926794e+00,4.747313e+00,3.228706e+00,3.038841e+00
1.566667e+00,5.052545e+00,4.868903e+00,3.378292e+00,3.189201e+00
1.600000e+00,5.177405e+00,4.989899e+00,3.529960e+00,3.341959e+00
1.633333e+00,5.301148e+00,5.110204e+00,3.683392e+00,3.496672e+00
1.666667e+00,5.423501e+00,5.229626e+00,3.838231e+00,3.652854e+00
1.700000e+00,5.544140e+00,5.347884e+00,3.994116e+00,3.810017e+00
1.733333e+00,5.662673e+00,5.464600e+00,4.150665e+00,3.967659e+00
1.766667e+00,5.778705e+00,5.579356e+00,4.307461e+00,4.125249e+00
1.800000e+00,5.891816e+00,5.691696e+00,4.464059e+00,4.282250e+00
1.833333e+00,6.001562e+00,5.801120e+00,4.619973e+00,4.438093e+00
1.866667e+00,6.107558e+00,5.907171e+00,4.774691e+00,4.592209e+00
1.900000e+00,6.209409e+00,6.009381e+00,4.927662e+00,4.744015e+00
1.933333e+00,6.306705e+00,6.107257e+00,5.078277e+00,4.892888e+00
1.966667e+00,6.399121e+00,6.200397e+00,5.225927e+00,5.038240e+00
2.000000e+00,6.486328e+00,6.288397e+00,5.369959e+00,5.179454e+00
2.033333e+00,6.567978e+00,6.370846e+00,5.509655e+00,5.315869e+00
2.066667e+00,6.643834e+00,6.447456e+00,5.644337e+00,5.446888e+00
2.100000e+00,6.713651e+00,6.517945e+00,5.773287e+00,5.571884e+00
2.133333e+00,6.777166e+00,6.582030e+00,5.895725e+00,5.690175e+00
2.166667e+00,6.834243e+00,6.639568e+00,6.010969e+00,5.801186e+00
2.200000e+00,6.884734e+00,6.690420e+00,6.118308e+00,5.904306e+00
2.233333e+00,6.928470e+00,6.734435e+00,6.216983e+00,5.998874e+00
2.266667e+00,6.965418e+00,6.771604e+00,6.306396e+00,6.084380e+00
2.300000e+00,6.995520e+00,6.801901e+00,6.385933e+00,6.160282e+00
2.333333e+00,7.018698e+00,6.825272e+00,6.454951e+00,6.225995e+00
2.366667e+00,7.035007e+00,6.841795e+00,6.513022e+00,6.281130e+00
2.400000e+00,7.044506e+00,6.851549e+00,6.559720e+00,6.325281e+00
2.433333e+00,7.047257e+00,6.854604e+00,6.594610e+00,6.358021e+00
2.466667e+00,7.043454e+00,6.851144e+00,6.617517e+00,6.379161e+00
2.500000e+00,7.033255e+00,6.841297e+00,6.628265e+00,6.388505e+00
2.533333e+00,7.016783e+00,6.825139e+00,6.626676e+00,6.385843e+00
2.566667e+00,6.994256e+00,6.802822e+00,6.612840e+00,6.371226e+00
2.600000e+00,6.965839e+00,6.774439e+00,6.586845e+00,6.344701e+00
2.633333e+00,6.931651e+00,6.740025e+00,6.548772e+00,6.306309e+00
2.666667e+00,6.891885e+00,6.699695e+00,6.498969e+00,6.256357e+00
2.700000e+00,6.846678e+00,6.653514e+00,6.437767e+00,6.195145e+00
2.733333e+00,6.796117e+00,6.601505e+00,6.365500e+00,6.122975e+00
2.766667e+00,6.740359e+00,6.543788e+00,6.282735e+00,6.040393e+00
2.800000e+00,6.679516e+00,6.480451e+00,6.190024e+00,5.947935e+00
2.833333e+00,6.613658e+00,6.411564e+00,6.087916e+00,5.846141e+00
2.866667e+00,6.542935e+00,6.337305e+00,5.977154e+00,5.735754e+00
2.900000e+00,6.467468e+00,6.257843e+00,5.858457e+00,5.617496e+00
2.933333e+00,6.387357e+00,6.173349e+00,5.732533e+00,5.492090e+00
2.966667e+00,6.302789e+00,6.084106e+00,5.600230e+00,5.360396e+00
3.000000e+00,6.213940e+00,5.990397e+00,5.462359e+00,5.223240e+00
3.033333e+00,6.120982e+00,5.892516e+00,5.319715e+00,5.081430e+00
3.066667e+00,6.024179e+00,5.790851e+00,5.173173e+00,4.935843e+00
3.100000e+00,5.923790e+00,5.685787e+00,5.023564e+00,4.787308e+00
3.133333e+00,5.820084e+00,5.577712e+00,4.871701e+00,4.636627e+00
3.166667e+00,5.713408e+00,5.467074e+00,4.718414e+00,4.484610e+00
3.200000e+00,5.604150e+00,5.354361e+00,4.564494e+00,4.332020e+00
3.233333e+00,5.492792e+00,5.240149e+00,4.410715e+00,4.179597e+00
3.266667e+00,5.379884e+00,5.125047e+00,4.257824e+00,4.028045e+00
3.300000e+00,5.265975e+00,5.009628e+00,4.106525e+00,3.878029e+00
3.333333e+00,5.151623e+00,4.894456e+00,3.957508e+00,3.730197e+00
3.366667e+00,5.037395e+00,4.780059e+00,3.811390e+00,3.585127e+00
3.400000e+00,4.923847e+00,4.666938e+00,3.668760e+00,3.443377e+00
3.433333e+00,4.811539e+00,4.555581e+00,3.530197e+00,3.305500e+00
3.466667e+00,4.701002e+00,4.446419e+00,3.396183e+00,3.171960e+00
3.500000e+00,4.592748e+00,4.339863e+00,3.267181e+00,3.043214e+00
3.533333e+00,4.487293e+00,4.236321e+00,3.143660e+00,2.919729e+00
3.566667e+00,4.385082e+00,4.136122e+00,3.025969e+00,2.801865e+00
3.600000e+00,4.286544e+00,4.039591e+00,2.914455e+00,2.689988e+00
3.633333e+00,4.192108e+00,3.947051e+00,2.809480e+00,2.584482e+00
3.666667e+00,4.102105e+00,3.858741e+00,2.711271e+00,2.485608e+00
3.700000e+00,4.016850e+00,3.774900e+00,2.620071e+00,2.393639e+00
3.733333e+00,3.936661e+00,3.695779e+00,2.536139e+00,2.308871e+00
3.766667e+00,3.861735e+00,3.621537e+00,2.459592e+00,2.231458e+00
3.800000e+00,3.792265e+00,3.552340e+00,2.390567e+00,2.161572e+00
3.833333e+00,3.728445e+00,3.488375e+00,2.329219e+00,2.099406e+00
3.866667e+00,3.670341e+00,3.429723e+00,2.275560e+00,2.045005e+00
3.900000e+00,3.618022e+00,3.376484e+00,2.229620e+00,1.998430e+00
3.933333e+00,3.571559e+00,3.328772e+00,2.191457e+00,1.959768e+00
3.966667e+00,3.530900e+00,3.286595e+00,2.160979e+00,1.928949e+00
4.000000e+00,3.495997e+00,3.249978e+00,2.138121e+00,1.905927e+00
4.033333e+00,3.466812e+00,3.218959e+00,2.122840e+00,1.890675e+00
4.066667e+00,3.443190e+00,3.193467e+00,2.114952e+00,1.883011e+00
4.100000e+00,3.424986e+00,3.173443e+00,2.114296e+00,1.882777e+00
4.133333e+00,3.412067e+00,3.158841e+00,2.120735e+00,1.889831e+00
4.166667e+00,3.404196e+00,3.149504e+00,2.133993e+00,1.903883e+00
4.200000e+00,3.401150e+00,3.145285e+00,2.153821e+00,1.924665e+00
4.233333e+00,3.402718e+00,3.146044e+00,2.179982e+00,1.951920e+00
4.266667e+00,3.408603e+00,3.151537e+00,2.212115e+00,1.985254e+00
4.300000e+00,3.418524e+00,3.161524e+00,2.249878e+00,2.024296e+00
4.333333e+00,3.432209e+00,3.175769e+00,2.292936e+00,2.068673e+00
4.366667e+00,3.449318e+00,3.193939e+00,2.340842e+00,2.117901e+00
4.400000e+00,3.469529e+00,3.215710e+00,2.393164e+00,2.171508e+00
4.433333e+00,3.492529e+00,3.240756e+00,2.449466e+00,2.229019e+00
4.466667e+00,3.517960e+00,3.268680e+00,2.509225e+00,2.289873e+00
4.500000e+00,3.545484e+00,3.299099e+00,2.571926e+00,2.353522e+00
4.533333e+00,3.574773e+00,3.331626e+00,2.637045e+00,2.419407e+00
4.566667e+00,3.605479e+00,3.365839e+00,2.704001e+00,2.486926e+00
4.600000e+00,3.637271e+00,3.401330e+00,2.772218e+00,2.555484e+00
4.633333e+00,3.669831e+00,3.437698e+00,2.841105e+00,2.624481e+00
4.666667e+00,3.702836e+00,3.474533e+00,2.910053e+00,2.693310e+00
4.700000e+00,3.735983e+00,3.511451e+00,2.978455e+00,2.761376e+00
4.733333e+00,3.768983e+00,3.548087e+00,3.045692e+00,2.828079e+00
4.766667e+00,3.801589e+00,3.584135e+00,3.111168e+00,2.892859e+00
4.800000e+00,3.833591e+00,3.619338e+00,3.174303e+00,2.955175e+00
4.833333e+00,3.864795e+00,3.653465e+00,3.234505e+00,3.014488e+00
4.866667e+00,3.895039e+00,3.686326e+00,3.291256e+00,3.070336e+00
4.900000e+00,3.924170e+00,3.717753e+00,3.344050e+00,3.122275e+00
4.933333e+00,3.952037e+00,3.747583e+00,3.392383e+00,3.169862e+00
4.966667e+00,3.978516e+00,3.775696e+00,3.435859e+00,3.212762e+00
5.000000e+00,4.003481e+00,3.801976e+00,3.474101e+00,3.250651e+00
5.033333e+00,4.026806e+00,3.826313e+00,3.506739e+00,3.283209e+00
5.066667e+00,4.048397e+00,3.848640e+00,3.533544e+00,3.310241e+00
5.100000e+00,4.068153e+00,3.868882e+00,3.554307e+00,3.331564e+00
5.133333e+00,4.085964e+00,3.886956e+00,3.568830e+00,3.346996e+00
5.166667e+00,4.101752e+00,3.902813e+00,3.577070e+00,3.356491e+00
5.200000e+00,4.115429e+00,3.916389e+00,3.579002e+00,3.360010e+00
5.233333e+00,4.126894e+00,3.927606e+00,3.574616e+00,3.357521e+00
5.266667e+00,4.136090e+00,3.936426e+00,3.564055e+00,3.349129e+00
5.300000e+00,4.142948e+00,3.942796e+00,3.547476e+00,3.334946e+00
5.333333e+00,4.147397e+00,3.946654e+00,3.525051e+00,3.315090e+00
5.366667e+00,4.149412e+00,3.947987e+00,3.497091e+00,3.289818e+00
5.400000e+00,4.148971e+00,3.946778e+00,3.463914e+00,3.259386e+00
5.433333e+00,4.146063e+00,3.943029e+00,3.425847e+00,3.224069e+00
5.466667e+00,4.140746e+00,3.936809e+00,3.383336e+00,3.184259e+00
5.500000e+00,4.133090e+00,3.928205e+00,3.336823e+00,3.140351e+00
5.533333e+00,4.123181e+00,3.917323e+00,3.286755e+00,3.092756e+00
5.566667e+00,4.111174e+00,3.904338e+00,3.233660e+00,3.041973e+00
5.600000e+00,4.097234e+00,3.889443e+00,3.178055e+00,2.988497e+00
5.633333e+00,4.081553e+00,3.872855e+00,3.120458e+00,2.932834e+00
5.666667e+00,4.064379e+00,3.854847e+00,3.061428e+00,2.875538e+00
5.700000e+00,4.045976e+00,3.835711e+00,3.001507e+00,2.817154e+00
5.733333e+00,4.026630e+00,3.815758e+00,2.941239e+00,2.758231e+00
5.766667e+00,4.006670e+00,3.795336e+00,2.881168e+00,2.699325e+00
5.800000e+00,3.986434e+00,3.774802e+00,2.821821e+00,2.640977e+00
5.833333e+00,3.966285e+00,3.754531e+00,2.763727e+00,2.583730e+00
5.866667e+00,3.946594e+00,3.734901e+00,2.707382e+00,2.528095e+00
5.900000e+00,3.927742e+00,3.716294e+00,2.653266e+00,2.474569e+00
5.933333e+00,3.910126e+00,3.699103e+00,2.601864e+00,2.423648e+00
5.966667e+00,3.894109e+00,3.683676e+00,2.553599e+00,2.375769e+00
6.000000e+00,3.879948e+00,3.670229e+00,2.508880e+00,2.331358e+00
6.033333e+00,3.867965e+00,3.659068e+00,2.468124e+00,2.290842e+00
6.066667e+00,3.858464e+00,3.650482e+00,2.431658e+00,2.254556e+00
6.100000e+00,3.851746e+00,3.644759e+00,2.399808e+00,2.222833e+00
6.133333e+00,3.848119e+00,3.642187e+00,2.372910e+00,2.196015e+00
6.166667e+00,3.847818e+00,3.642987e+00,2.351194e+00,2.174339e+00
6.200000e+00,3.851078e+00,3.647375e+00,2.334893e+00,2.158046e+00
6.233333e+00,3.858134e+00,3.655572e+00,2.324256e+00,2.147393e+00
6.266667e+00,3.869140e+00,3.667717e+00,2.319413e+00,2.142522e+00
6.300000e+00,3.884245e+00,3.683946e+00,2.320506e+00,2.143585e+00
6.333333e+00,3.903604e+00,3.704404e+00,2.327696e+00,2.150753e+00
6.366667e+00,3.927280e+00,3.729144e+00,2.341019e+00,2.164076e+00
6.400000e+00,3.955334e+00,3.758221e+00,2.360532e+00,2.183620e+00
6.433333e+00,3.987834e+00,3.791697e+00,2.386307e+00,2.209469e+00
6.466667e+00,4.024749e+00,3.829540e+00,2.418296e+00,2.241585e+00
6.500000e+00,4.066054e+00,3.871722e+00,2.456472e+00,2.279950e+00
6.533333e+00,4.111723e+00,3.918220e+00,2.500825e+00,2.324562e+00
6.566667e+00,4.161639e+00,3.968918e+00,2.551230e+00,2.375297e+00
6.600000e+00,4.215688e+00,4.023704e+00,2.607581e+00,2.432052e+00
6.633333e+00,4.273757e+00,4.082468e+00,2.669794e+00,2.494737e+00
6.666667e+00,4.335646e+00,4.145009e+00,2.737672e+00,2.563145e+00
6.700000e+00,4.401161e+00,4.211133e+00,2.811039e+00,2.637090e+00
6.733333e+00,4.470106e+00,4.280637e+00,2.889738e+00,2.716393e+00
6.766667e+00,4.542209e+00,4.353246e+00,2.973507e+00,2.800772e+00
6.800000e+00,4.617203e+00,4.428681e+00,3.062104e+00,2.889960e+00
6.833333e+00,4.694814e+00,4.506659e+00,3.155299e+00,2.983701e+00
6.866667e+00,4.774708e+00,4.586835e+00,3.252766e+00,3.081645e+00
6.900000e+00,4.856551e+00,4.668867e+00,3.354199e+00,3.183458e+00
6.933333e+00,4.939999e+00,4.752402e+00,3.459290e+00,3.288807e+00
6.966667e+00,5.024665e+00,4.837048e+00,3.567653e+00,3.397287e+00
7.000000e+00,5.110208e+00,4.922477e+00,3.678910e+00,3.508499e+00
7.033333e+00,5.196419e+00,5.008522e+00,3.792675e+00,3.622033e+00
7.066667e+00,5.283025e+00,5.094929e+00,3.908508e+00,3.737437e+00
7.100000e+00,5.369702e+00,5.181383e+00,4.025974e+00,3.854274e+00
7.133333e+00,5.456092e+00,5.267535e+00,4.144624e+00,3.972097e+00
7.166667e+00,5.541832e+00,5.353031e+00,4.263972e+00,4.090434e+00
7.200000e+00,5.626556e+00,5.437521e+00,4.383529e+00,4.208813e+00
7.233333e+00,5.709892e+00,5.520650e+00,4.502787e+00,4.326748e+00
7.266667e+00,5.791496e+00,5.602095e+00,4.621230e+00,4.443749e+00
7.300000e+00,5.871029e+00,5.681540e+00,4.738335e+00,4.559322e+00
