f,g,p,gr,pr
1.000000e-02,-4.153297e+01,1.798467e+02,-4.151805e+01,-1.798287e+02
2.566929e-02,-4.159866e+01,1.798681e+02,-4.152095e+01,-1.795310e+02
4.133858e-02,-4.167643e+01,-1.797480e+02,-4.152611e+01,-1.792000e+02
5.700787e-02,-4.173946e+01,-1.790425e+02,-4.153293e+01,-1.788088e+02
7.267717e-02,-4.177154e+01,-1.781037e+02,-4.154035e+01,-1.783297e+02
8.834646e-02,-4.176922e+01,-1.770343e+02,-4.154664e+01,-1.777314e+02
1.040157e-01,-4.173841e+01,-1.758815e+02,-4.154904e+01,-1.769775e+02
1.196850e-01,-4.168322e+01,-1.746266e+02,-4.154319e+01,-1.760261e+02
1.353543e-01,-4.160099e+01,-1.732296e+02,-4.152235e+01,-1.748296e+02
1.510236e-01,-4.148407e+01,-1.716602e+02,-4.147623e+01,-1.733378e+02
1.666929e-01,-4.132178e+01,-1.699031e+02,-4.138962e+01,-1.715050e+02
1.823622e-01,-4.110072e+01,-1.679595e+02,-4.124093e+01,-1.693045e+02
1.980315e-01,-4.080454e+01,-1.658534e+02,-4.100156e+01,-1.667547e+02
2.137008e-01,-4.041413e+01,-1.636458e+02,-4.063775e+01,-1.639561e+02
2.293701e-01,-3.990909e+01,-1.614522e+02,-4.011687e+01,-1.611281e+02
2.450394e-01,-3.927162e+01,-1.594618e+02,-3.941900e+01,-1.586188e+02
2.607087e-01,-3.849325e+01,-1.579424e+02,-3.855012e+01,-1.568564e+02
2.763780e-01,-3.758365e+01,-1.572144e+02,-3.754901e+01,-1.562350e+02
2.920472e-01,-3.657715e+01,-1.575748e+02,-3.648086e+01,-1.569830e+02
3.077165e-01,-3.553034e+01,-1.591858e+02,-3.541839e+01,-1.590804e+02
3.233858e-01,-3.450614e+01,-1.619828e+02,-3.441890e+01,-1.622720e+02
3.390551e-01,-3.354991e+01,-1.656769e+02,-3.350767e+01,-1.661660e+02
3.547244e-01,-3.267143e+01,-1.698661e+02,-3.267388e+01,-1.703653e+02
3.703937e-01,-3.184268e+01,-1.741821e+02,-3.187738e+01,-1.745684e+02
3.860630e-01,-3.100695e+01,-1.783840e+02,-3.105837e+01,-1.786080e+02
4.017323e-01,-3.008695e+01,1.776230e+02,-3.014166e+01,1.775581e+02
4.174016e-01,-2.898178e+01,1.738039e+02,-2.903023e+01,1.738655e+02
4.330709e-01,-2.754435e+01,1.699901e+02,-2.758072e+01,1.701323e+02
4.487402e-01,-2.551527e+01,1.657697e+02,-2.553683e+01,1.659422e+02
4.644094e-01,-2.230767e+01,1.598901e+02,-2.231410e+01,1.600409e+02
4.800787e-01,-1.597103e+01,1.450288e+02,-1.596452e+01,1.450921e+02
4.957480e-01,-1.142791e+01,3.008289e+01,-1.142516e+01,3.012519e+01
5.114173e-01,-2.241809e+01,-4.034543e+00,-2.239862e+01,-4.138257e+00
5.270866e-01,-2.816225e+01,-1.151474e+01,-2.814052e+01,-1.180489e+01
5.427559e-01,-3.224906e+01,-1.582056e+01,-3.223227e+01,-1.633265e+01
5.584252e-01,-3.559645e+01,-1.929824e+01,-3.559231e+01,-2.007632e+01
5.740945e-01,-3.856354e+01,-2.263750e+01,-3.858097e+01,-2.373848e+01
5.897638e-01,-4.133841e+01,-2.622315e+01,-4.138789e+01,-2.772726e+01
6.054331e-01,-4.404296e+01,-3.042356e+01,-4.413649e+01,-3.245451e+01
6.211024e-01,-4.676978e+01,-3.574361e+01,-4.691929e+01,-3.850772e+01
6.367717e-01,-4.959002e+01,-4.301637e+01,-4.979975e+01,-4.687625e+01
6.524409e-01,-5.252109e+01,-5.371926e+01,-5.275785e+01,-5.929334e+01
6.681102e-01,-5.537995e+01,-7.024224e+01,-5.548772e+01,-7.824109e+01
6.837795e-01,-5.745699e+01,-9.427653e+01,-5.711750e+01,-1.040133e+02
6.994488e-01,-5.781643e+01,-1.209500e+02,-5.699137e+01,-1.295348e+02
7.151181e-01,-5.680567e+01,-1.417083e+02,-5.583341e+01,-1.480267e+02
7.307874e-01,-5.543482e+01,-1.552194e+02,-5.451395e+01,-1.600154e+02
7.464567e-01,-5.416763e+01,-1.639624e+02,-5.334330e+01,-1.679627e+02
7.621260e-01,-5.309582e+01,-1.699239e+02,-5.236617e+01,-1.735409e+02
7.777953e-01,-5.220447e+01,-1.742303e+02,-5.155948e+01,-1.776820e+02
7.934646e-01,-5.146027e+01,-1.775019e+02,-5.089102e+01,1.790945e+02
8.091339e-01,-5.083265e+01,1.799058e+02,-5.033285e+01,1.764865e+02
8.248031e-01,-5.029721e+01,1.777780e+02,-4.986299e+01,1.743091e+02
8.404724e-01,-4.983522e+01,1.759781e+02,-4.946464e+01,1.724439e+02
8.561417e-01,-4.943227e+01,1.744146e+02,-4.912493e+01,1.708120e+02
8.718110e-01,-4.907726e+01,1.730234e+02,-4.883398e+01,1.693589e+02
8.874803e-01,-4.876153e+01,1.717575e+02,-4.858412e+01,1.680462e+02
9.031496e-01,-4.847827e+01,1.705800e+02,-4.836935e+01,1.668458e+02
9.188189e-01,-4.822212e+01,1.694606e+02,-4.818496e+01,1.657373e+02
9.344882e-01,-4.798889e+01,1.683721e+02,-4.802718e+01,1.647051e+02
9.501575e-01,-4.777545e+01,1.672886e+02,-4.789306e+01,1.637380e+02
9.658268e-01,-4.757980e+01,1.661830e+02,-4.778022e+01,1.628275e+02
9.814961e-01,-4.740123e+01,1.650260e+02,-4.768677e+01,1.619676e+02
9.971654e-01,-4.724087e+01,1.637847e+02,-4.761123e+01,1.611545e+02
1.012835e+00,-4.710269e+01,1.624232e+02,-4.755242e+01,1.603860e+02
1.028504e+00,-4.699494e+01,1.609085e+02,-4.750940e+01,1.596620e+02
1.044173e+00,-4.693217e+01,1.592269e+02,-4.748143e+01,1.589840e+02
1.059843e+00,-4.693591e+01,1.574226e+02,-4.746788e+01,1.583553e+02
1.075512e+00,-4.702944e+01,1.556585e+02,-4.746814e+01,1.577810e+02
1.091181e+00,-4.722033e+01,1.542496e+02,-4.748159e+01,1.572685e+02
1.106850e+00,-4.747744e+01,1.535541e+02,-4.750741e+01,1.568269e+02
1.122520e+00,-4.773264e+01,1.537201e+02,-4.754451e+01,1.564673e+02
1.138189e+00,-4.792066e+01,1.545506e+02,-4.759138e+01,1.562022e+02
1.153858e+00,-4.801594e+01,1.556661e+02,-4.764586e+01,1.560448e+02
1.169528e+00,-4.803057e+01,1.567501e+02,-4.770506e+01,1.560075e+02
1.185197e+00,-4.799115e+01,1.576429e+02,-4.776525e+01,1.561000e+02
1.200866e+00,-4.792191e+01,1.583060e+02,-4.782190e+01,1.563264e+02
1.216535e+00,-4.783950e+01,1.587599e+02,-4.786988e+01,1.566832e+02
1.232205e+00,-4.775380e+01,1.590431e+02,-4.790394e+01,1.571559e+02
1.247874e+00,-4.767016e+01,1.591943e+02,-4.791937e+01,1.577189e+02
1.263543e+00,-4.759117e+01,1.592455e+02,-4.791269e+01,1.583364e+02
1.279213e+00,-4.751792e+01,1.592217e+02,-4.788233e+01,1.589661e+02
1.294882e+00,-4.745065e+01,1.591418e+02,-4.782888e+01,1.595649e+02
1.310551e+00,-4.738924e+01,1.590197e+02,-4.775497e+01,1.600942e+02
1.326220e+00,-4.733333e+01,1.588659e+02,-4.766474e+01,1.605250e+02
1.341890e+00,-4.728251e+01,1.586881e+02,-4.756311e+01,1.608397e+02
1.357559e+00,-4.723636e+01,1.584921e+02,-4.745504e+01,1.610323e+02
1.373228e+00,-4.719445e+01,1.582823e+02,-4.734501e+01,1.611059e+02
1.388898e+00,-4.715642e+01,1.580620e+02,-4.723667e+01,1.610704e+02
1.404567e+00,-4.712191e+01,1.578337e+02,-4.713272e+01,1.609393e+02
1.420236e+00,-4.709061e+01,1.575994e+02,-4.703503e+01,1.607278e+02
1.435906e+00,-4.706224e+01,1.573607e+02,-4.694470e+01,1.604505e+02
1.451575e+00,-4.703655e+01,1.571186e+02,-4.686226e+01,1.601213e+02
1.467244e+00,-4.701333e+01,1.568742e+02,-4.678782e+01,1.597522e+02
