f_sv,SV_m1,SV_m2,SV_f1,SV_f2
1.591549e-03,2.424026e-01,2.423907e-01,5.114657e-02,5.114431e-02
1.662021e-03,2.412307e-01,2.412179e-01,5.315179e-02,5.314927e-02
1.735613e-03,2.399723e-01,2.399585e-01,5.521428e-02,5.521146e-02
1.812464e-03,2.386226e-01,2.386078e-01,5.733315e-02,5.732998e-02
1.892717e-03,2.371769e-01,2.371611e-01,5.950716e-02,5.950362e-02
1.976524e-03,2.356307e-01,2.356137e-01,6.173472e-02,6.173078e-02
2.064042e-03,2.339792e-01,2.339611e-01,6.401390e-02,6.400951e-02
2.155435e-03,2.322182e-01,2.321988e-01,6.634233e-02,6.633745e-02
2.250874e-03,2.303435e-01,2.303229e-01,6.871726e-02,6.871184e-02
2.350540e-03,2.283513e-01,2.283294e-01,7.113552e-02,7.112951e-02
2.454619e-03,2.262382e-01,2.262150e-01,7.359352e-02,7.358688e-02
2.563306e-03,2.240014e-01,2.239768e-01,7.608725e-02,7.607993e-02
2.676806e-03,2.216384e-01,2.216124e-01,7.861231e-02,7.860425e-02
2.795331e-03,2.191476e-01,2.191201e-01,8.116392e-02,8.115507e-02
2.919104e-03,2.165279e-01,2.164990e-01,8.373694e-02,8.372723e-02
3.048358e-03,2.137793e-01,2.137489e-01,8.632591e-02,8.631530e-02
3.183335e-03,2.109024e-01,2.108705e-01,8.892512e-02,8.891356e-02
3.324289e-03,2.078990e-01,2.078656e-01,9.152866e-02,9.151608e-02
3.471484e-03,2.047716e-01,2.047368e-01,9.413046e-02,9.411683e-02
3.625197e-03,2.015240e-01,2.014877e-01,9.672441e-02,9.670967e-02
3.785715e-03,1.981608e-01,1.981232e-01,9.930441e-02,9.928851e-02
3.953342e-03,1.946879e-01,1.946489e-01,1.018645e-01,1.018474e-01
4.128390e-03,1.911119e-01,1.910716e-01,1.043987e-01,1.043804e-01
4.311190e-03,1.874407e-01,1.873991e-01,1.069017e-01,1.068822e-01
4.502083e-03,1.836827e-01,1.836399e-01,1.093683e-01,1.093475e-01
4.701429e-03,1.798474e-01,1.798035e-01,1.117937e-01,1.117716e-01
