f,g,p,gr,pr
2.422779e+00,-9.699463e-01,1.357016e+02,-1.084712e+00,-6.251457e+01
2.511886e+00,-1.273785e+00,1.331816e+02,-1.398557e+00,-6.421507e+01
2.604272e+00,-1.593972e+00,1.307388e+02,-1.724423e+00,-6.584710e+01
2.700055e+00,-1.929700e+00,1.283789e+02,-2.061307e+00,-6.740923e+01
2.799360e+00,-2.280130e+00,1.261071e+02,-2.408308e+00,-6.890055e+01
2.902319e+00,-2.644405e+00,1.239279e+02,-2.764621e+00,-7.032063e+01
3.009064e+00,-3.021654e+00,1.218455e+02,-3.129527e+00,-7.166926e+01
3.119735e+00,-3.411003e+00,1.198632e+02,-3.502392e+00,-7.294643e+01
3.234476e+00,-3.811578e+00,1.179840e+02,-3.882650e+00,-7.415219e+01
3.353437e+00,-4.222511e+00,1.162105e+02,-4.269799e+00,-7.528659e+01
3.476774e+00,-4.642943e+00,1.145447e+02,-4.663387e+00,-7.634962e+01
3.604647e+00,-5.072028e+00,1.129885e+02,-5.063005e+00,-7.734118e+01
3.737223e+00,-5.508935e+00,1.115433e+02,-5.468278e+00,-7.826103e+01
3.874675e+00,-5.952847e+00,1.102105e+02,-5.878855e+00,-7.910878e+01
4.017183e+00,-6.402961e+00,1.089911e+02,-6.294401e+00,-7.988389e+01
4.164931e+00,-6.858488e+00,1.078860e+02,-6.714591e+00,-8.058562e+01
4.318114e+00,-7.318650e+00,1.068958e+02,-7.139100e+00,-8.121309e+01
4.476931e+00,-7.782680e+00,1.060212e+02,-7.567596e+00,-8.176525e+01
4.641589e+00,-8.249812e+00,1.052627e+02,-7.999737e+00,-8.224090e+01
4.812303e+00,-8.719285e+00,1.046209e+02,-8.435163e+00,-8.263870e+01
4.989295e+00,-9.190330e+00,1.040962e+02,-8.873489e+00,-8.295721e+01
5.172798e+00,-9.662169e+00,1.036889e+02,-9.314304e+00,-8.319489e+01
5.363049e+00,-1.013401e+01,1.033996e+02,-9.757162e+00,-8.335014e+01
5.560298e+00,-1.060503e+01,1.032285e+02,-1.020158e+01,-8.342133e+01
5.764801e+00,-1.107438e+01,1.031759e+02,-1.064704e+01,-8.340684e+01
5.976826e+00,-1.154117e+01,1.032422e+02,-1.109297e+01,-8.330507e+01
6.196649e+00,-1.200445e+01,1.034273e+02,-1.153876e+01,-8.311454e+01
6.424556e+00,-1.246325e+01,1.037312e+02,-1.198375e+01,-8.283387e+01
6.660846e+00,-1.291650e+01,1.041537e+02,-1.242723e+01,-8.246189e+01
6.905827e+00,-1.336307e+01,1.046939e+02,-1.286845e+01,-8.199764e+01
7.159818e+00,-1.380178e+01,1.053509e+02,-1.330660e+01,-8.144048e+01
7.423150e+00,-1.423136e+01,1.061228e+02,-1.374082e+01,-8.079010e+01
7.696167e+00,-1.465046e+01,1.070073e+02,-1.417023e+01,-8.004663e+01
7.979226e+00,-1.505771e+01,1.080010e+02,-1.459390e+01,-7.921065e+01
8.272696e+00,-1.545167e+01,1.090994e+02,-1.501088e+01,-7.828329e+01
8.576959e+00,-1.583088e+01,1.102970e+02,-1.542018e+01,-7.726628e+01
8.892413e+00,-1.619390e+01,1.115868e+02,-1.582084e+01,-7.616196e+01
9.219468e+00,-1.653933e+01,1.129605e+02,-1.621187e+01,-7.497337e+01
9.558553e+00,-1.686586e+01,1.144082e+02,-1.659231e+01,-7.370423e+01
9.910109e+00,-1.717232e+01,1.159184e+02,-1.696126e+01,-7.235900e+01
1.027459e+01,-1.745773e+01,1.174786e+02,-1.731783e+01,-7.094279e+01
1.065249e+01,-1.772135e+01,1.190749e+02,-1.766123e+01,-6.946142e+01
1.104428e+01,-1.796268e+01,1.206924e+02,-1.799076e+01,-6.792128e+01
1.145048e+01,-1.818158e+01,1.223157e+02,-1.830581e+01,-6.632932e+01
1.187162e+01,-1.837820e+01,1.239293e+02,-1.860588e+01,-6.469291e+01
1.230824e+01,-1.855304e+01,1.255178e+02,-1.889061e+01,-6.301974e+01
1.276093e+01,-1.870691e+01,1.270666e+02,-1.915976e+01,-6.131769e+01
1.323027e+01,-1.884093e+01,1.285620e+02,-1.941325e+01,-5.959470e+01
1.371687e+01,-1.895645e+01,1.299917e+02,-1.965110e+01,-5.785863e+01
1.422136e+01,-1.905505e+01,1.313450e+02,-1.987350e+01,-5.611712e+01
1.474441e+01,-1.913847e+01,1.326130e+02,-2.008072e+01,-5.437746e+01
1.528670e+01,-1.920852e+01,1.337885e+02,-2.027317e+01,-5.264654e+01
1.584893e+01,-1.926710e+01,1.348664e+02,-2.045134e+01,-5.093068e+01
