t,y1c1,y2c1,y1c2,y2c2
0.000000e+00,-4.417437e-12,-4.417437e-12,3.333333e-02,1.862211e-04
4.739048e-04,6.666667e-02,3.001336e-04,1.353829e-04,1.000000e-01
3.653352e-04,1.551556e-04,1.333333e-01,3.760930e-04,2.067823e-04
1.666667e-01,3.428440e-04,2.645367e-04,2.000000e-01,2.860424e-04
3.294616e-04,2.333333e-01,2.297899e-04,4.021850e-04,2.666667e-01
1.960434e-04,4.820156e-04,3.000000e-01,2.002399e-04,5.673745e-04
3.333333e-01,2.488729e-04,6.561833e-04,3.666667e-01,3.390611e-04
7.461722e-04,4.000000e-01,4.600355e-04,8.351087e-04,4.333333e-01
5.958791e-04,9.209444e-04,4.666667e-01,7.289064e-04,1.001911e-03
5.000000e-01,8.430065e-04,1.076567e-03,5.333333e-01,9.262846e-04
1.143808e-03,5.666667e-01,9.727020e-04,1.202859e-03,6.000000e-01
9.824365e-04,1.253242e-03,6.333333e-01,9.611335e-04,1.294723e-03
6.666667e-01,9.183184e-04,1.327266e-03,7.000000e-01,8.652726e-04
1.350968e-03,7.333333e-01,8.129056e-04,1.366002e-03,7.666667e-01
7.699370e-04,1.372570e-03,8.000000e-01,7.416847e-04,1.370856e-03
8.333333e-01,7.295993e-04,1.360990e-03,8.666667e-01,7.315003e-04
1.343043e-03,9.000000e-01,7.424338e-04,1.317005e-03,9.333333e-01
7.558751e-04,1.282800e-03,9.666667e-01,7.650511e-04,1.240308e-03
1.000000e+00,7.641375e-04,1.189386e-03,1.033333e+00,7.491296e-04
1.129905e-03,1.066667e+00,7.183135e-04,1.061796e-03,1.100000e+00
6.722680e-04,9.850838e-04,1.133333e+00,6.134989e-04,8.999228e-04
1.166667e+00,5.458186e-04,8.066410e-04,1.200000e+00,4.735843e-04
7.057567e-04,1.233333e+00,4.009827e-04,5.979961e-04,1.266667e+00
3.314558e-04,4.843051e-04,1.300000e+00,2.673518e-04,3.658376e-04
1.333333e+00,2.098298e-04,2.439393e-04,1.366667e+00,1.589839e-04
1.201236e-04,1.400000e+00,1.141456e-04,-3.969932e-06,1.433333e+00
7.426711e-05,-1.266179e-04,1.466667e+00,3.830062e-05,-2.460653e-04
