mc1,ac1,rec1,imc1,mc2,ac2,rec2,imc2
1.800000e+02,1.800000e+02,1.800000e+02,1.800000e+02,1.800000e+02,9.431550e+01,-9.431550e+01,9.406013e+01
-9.406013e+01,9.411787e+01,-9.411787e+01,1.031890e+02,-1.031890e+02,1.391759e+02,-1.391759e+02,1.661149e+02
-1.661149e+02,1.793656e+02,-1.793656e+02,9.656252e+01,-9.656252e+01,1.201659e+02,-1.201659e+02,1.088368e+02
-1.088368e+02,9.280335e+01,-9.280335e+01,1.800000e+02,1.767844e+02,-1.767844e+02,1.800000e+02,1.800000e+02
1.304450e+02,-1.304450e+02,1.697376e+02,-1.697376e+02,1.800000e+02,1.800000e+02,1.800000e+02,1.683484e+02
-1.683484e+02,1.111222e+02,-1.111222e+02,1.300624e+02,-1.300624e+02,1.322340e+02,-1.322340e+02,1.713462e+02
-1.713462e+02,1.800000e+02,0.000000e+00,1.800000e+02,1.800000e+02,1.800000e+02,1.800000e+02,1.800000e+02
1.800000e+02,1.800000e+02,-9.999775e+01,-9.999799e+01,-9.999895e+01,-9.999891e+01,-2.769538e+01,-2.769538e+01
-3.712423e+01,-3.715306e+01,-3.583974e+01,-3.603403e+01,-3.430748e+01,-3.360712e+01,-2.954914e+01,-2.243766e+01
-1.464538e+01,-1.449028e+01,-1.423946e+01,-1.425559e+01,-1.011017e+01,-1.010278e+01,-1.007049e+01,-1.007004e+01
-5.181209e-01,-5.181209e-01,-4.867869e-01,-4.867869e-01,-4.946533e-01,-4.946533e-01,-1.019732e+00,-1.019732e+00
-2.840711e+00,-2.840711e+00,-4.181129e+00,-4.181129e+00,-4.389345e+00,-4.389345e+00,-2.969330e-01,-2.969330e-01
-1.197973e+00,-1.197973e+00,-6.786494e-01,-6.786494e-01,-8.223687e-02,-8.223687e-02,-3.357409e+00,-2.820977e+00
-2.820977e+00,-2.803007e+00,-2.718373e+00,-7.765350e-01,-7.765350e-01,-1.855842e+00,-1.855842e+00,-2.004015e+00
-1.998081e+00,-1.591331e+00,-1.372087e+00,-1.372087e+00,-2.491739e-01,-2.491739e-01,-3.820578e-01,-3.820578e-01
-4.073031e-01,-4.073031e-01,-5.538838e-01,-5.538838e-01,-5.615633e-01,8.198556e-06,-1.923445e-01,-1.986164e-01
-1.985505e-01,-2.000000e+01,-2.000000e+01,-2.000000e+01,-2.000000e+01,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,5.358929e+00,-5.358929e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,6.865937e+00,-6.865937e+00,6.857937e+00,-6.857937e+00,6.870715e+00
-6.870715e+00,4.351392e+00,-4.351392e+00,2.454120e+00,-2.454120e+00,1.033569e+00,-1.033569e+00,4.860190e-02
-4.860190e-02,2.581103e+00,-2.581103e+00,2.061142e+00,-2.061142e+00,1.989336e+00,-1.989336e+00,1.679442e+00
-1.679442e+00,0.000000e+00,1.584863e-01,-1.584863e-01,0.000000e+00,0.000000e+00,9.109756e-01,-9.109756e-01
3.360052e-01,-3.360052e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.829372e-01,-2.829372e-01,6.450037e-01
-6.450037e-01,4.543133e-01,-4.543133e-01,4.486568e-01,-4.486568e-01,8.429889e-02,-8.429889e-02,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
