f_sv,SV_m,SV_f
1.591549e-03,3.666645e-02,1.693570e-01
1.662021e-03,3.666643e-02,1.693784e-01
1.735613e-03,3.666642e-02,1.694017e-01
1.812464e-03,3.666641e-02,1.694272e-01
1.892717e-03,3.666641e-02,1.694549e-01
1.976524e-03,3.666641e-02,1.694852e-01
2.064042e-03,3.666642e-02,1.695182e-01
2.155435e-03,3.666644e-02,1.695541e-01
2.250874e-03,3.666647e-02,1.695933e-01
2.350540e-03,3.666651e-02,1.696361e-01
2.454619e-03,3.666655e-02,1.696827e-01
2.563306e-03,3.666660e-02,1.697336e-01
2.676806e-03,3.666666e-02,1.697890e-01
2.795331e-03,3.666672e-02,1.698494e-01
2.919104e-03,3.666680e-02,1.699153e-01
3.048358e-03,3.666689e-02,1.699872e-01
3.183335e-03,3.666699e-02,1.700655e-01
3.324289e-03,3.666710e-02,1.701508e-01
3.471484e-03,3.666722e-02,1.702439e-01
3.625197e-03,3.666736e-02,1.703454e-01
3.785715e-03,3.666751e-02,1.704560e-01
3.953342e-03,3.666768e-02,1.705765e-01
4.128390e-03,3.666787e-02,1.707080e-01
4.311190e-03,3.666807e-02,1.708512e-01
4.502083e-03,3.666830e-02,1.710073e-01
4.701429e-03,3.666855e-02,1.711775e-01
4.909602e-03,3.666883e-02,1.713629e-01
5.126993e-03,3.666914e-02,1.715650e-01
5.354009e-03,3.666947e-02,1.717852e-01
5.591077e-03,3.666984e-02,1.720251e-01
5.838642e-03,3.667025e-02,1.722865e-01
6.097170e-03,3.667071e-02,1.725713e-01
6.367144e-03,3.667121e-02,1.728816e-01
6.649072e-03,3.667176e-02,1.732195e-01
6.943484e-03,3.667237e-02,1.735876e-01
7.250932e-03,3.667304e-02,1.739884e-01
7.571993e-03,3.667379e-02,1.744249e-01
7.907271e-03,3.667462e-02,1.749002e-01
8.257394e-03,3.667553e-02,1.754175e-01
8.623020e-03,3.667655e-02,1.759807e-01
9.004836e-03,3.667768e-02,1.765936e-01
9.403558e-03,3.667893e-02,1.772605e-01
9.819934e-03,3.668033e-02,1.779861e-01
1.025475e-02,3.668188e-02,1.787754e-01
1.070881e-02,3.668361e-02,1.796337e-01
1.118299e-02,3.668554e-02,1.805670e-01
1.167815e-02,3.668769e-02,1.815816e-01
1.219525e-02,3.669009e-02,1.826843e-01
1.273523e-02,3.669278e-02,1.838824e-01
1.329913e-02,3.669579e-02,1.851840e-01
1.388800e-02,3.669916e-02,1.865974e-01
1.450294e-02,3.670293e-02,1.881319e-01
1.514511e-02,3.670716e-02,1.897975e-01
1.581572e-02,3.671191e-02,1.916046e-01
1.651602e-02,3.671723e-02,1.935649e-01
1.724732e-02,3.672322e-02,1.956905e-01
1.801101e-02,3.672994e-02,1.979947e-01
1.880851e-02,3.673750e-02,2.004917e-01
1.964133e-02,3.674601e-02,2.031967e-01
