f,gc1,pc1,gc2,pc2
1.000000e-02,-1.329971e+01,-1.246548e+02,-6.384679e+01,-5.395790e+00
2.566929e-02,-9.388463e+00,-1.542608e+02,-4.761167e+01,-1.350203e+01
4.133858e-02,-8.817019e+00,-1.675953e+02,-3.954912e+01,-2.075406e+01
5.700787e-02,-8.747351e+00,-1.743927e+02,-3.414209e+01,-2.689915e+01
7.267717e-02,-8.665128e+00,-1.781799e+02,-2.994129e+01,-3.241414e+01
8.834646e-02,-8.458160e+00,1.790699e+02,-2.639956e+01,-3.816926e+01
1.040157e-01,-8.157105e+00,1.764432e+02,-2.331505e+01,-4.458251e+01
1.196850e-01,-7.791659e+00,1.736533e+02,-2.057994e+01,-5.167346e+01
1.353543e-01,-7.371485e+00,1.705248e+02,-1.811582e+01,-5.944969e+01
1.510236e-01,-6.908812e+00,1.668641e+02,-1.587466e+01,-6.798776e+01
1.666929e-01,-6.427218e+00,1.624997e+02,-1.383641e+01,-7.737147e+01
1.823622e-01,-5.959396e+00,1.573202e+02,-1.200068e+01,-8.764403e+01
1.980315e-01,-5.543245e+00,1.512845e+02,-1.037932e+01,-9.879276e+01
2.137008e-01,-5.219606e+00,1.444212e+02,-8.992018e+00,-1.107464e+02
2.293701e-01,-5.031333e+00,1.368335e+02,-7.864072e+00,-1.233681e+02
2.450394e-01,-5.022096e+00,1.287162e+02,-7.024310e+00,-1.364369e+02
2.607087e-01,-5.233000e+00,1.203819e+02,-6.501128e+00,-1.496203e+02
2.763780e-01,-5.695332e+00,1.122872e+02,-6.314831e+00,-1.624466e+02
2.920472e-01,-6.418738e+00,1.050404e+02,-6.465506e+00,-1.742970e+02
3.077165e-01,-7.375530e+00,9.936735e+01,-6.917099e+00,1.755619e+02
3.233858e-01,-8.483097e+00,9.600975e+01,-7.579647e+00,1.678761e+02
3.390551e-01,-9.590488e+00,9.550688e+01,-8.295724e+00,1.631874e+02
3.547244e-01,-1.049078e+01,9.783052e+01,-8.852683e+00,1.614679e+02
3.703937e-01,-1.099400e+01,1.020788e+02,-9.055480e+00,1.618150e+02
3.860630e-01,-1.103526e+01,1.067532e+02,-8.834736e+00,1.627281e+02
4.017323e-01,-1.069696e+01,1.106041e+02,-8.268863e+00,1.629549e+02
4.174016e-01,-1.011667e+01,1.131356e+02,-7.491882e+00,1.619961e+02
4.330709e-01,-9.400356e+00,1.144252e+02,-6.606592e+00,1.599252e+02
4.487402e-01,-8.600323e+00,1.147631e+02,-5.662492e+00,1.570284e+02
4.644094e-01,-7.726861e+00,1.144428e+02,-4.667355e+00,1.535946e+02
4.800787e-01,-6.761971e+00,1.136940e+02,-3.600938e+00,1.498492e+02
4.957480e-01,-5.665363e+00,1.126794e+02,-2.420940e+00,1.459504e+02
5.114173e-01,-4.371134e+00,1.115085e+02,-1.059664e+00,1.420030e+02
5.270866e-01,-2.771517e+00,1.102514e+02,5.922692e-01,1.380729e+02
5.427559e-01,-6.721820e-01,1.089482e+02,2.730634e+00,1.341956e+02
5.584252e-01,2.344570e+00,1.076057e+02,5.774428e+00,1.303738e+02
5.740945e-01,7.522513e+00,1.061326e+02,1.096859e+01,1.265119e+02
5.897638e-01,2.635978e+01,1.008078e+02,2.981230e+01,1.188850e+02
6.054331e-01,8.909846e+00,-7.507005e+01,1.235998e+01,-5.921223e+01
6.211024e-01,1.909752e+00,-7.652826e+01,5.349524e+00,-6.281069e+01
6.367717e-01,-2.201433e+00,-7.769941e+01,1.220767e+00,-6.604654e+01
6.524409e-01,-5.202350e+00,-7.876913e+01,-1.804238e+00,-6.910879e+01
6.681102e-01,-7.612222e+00,-7.977166e+01,-4.244086e+00,-7.203490e+01
6.837795e-01,-9.655193e+00,-8.071904e+01,-6.322353e+00,-7.483998e+01
6.994488e-01,-1.144867e+01,-8.161740e+01,-8.155932e+00,-7.753311e+01
7.151181e-01,-1.306195e+01,-8.247073e+01,-9.813656e+00,-8.012106e+01
7.307874e-01,-1.453945e+01,-8.328201e+01,-1.133953e+01,-8.260948e+01
7.464567e-01,-1.591148e+01,-8.405364e+01,-1.276345e+01,-8.500328e+01
7.621260e-01,-1.719972e+01,-8.478754e+01,-1.410678e+01,-8.730679e+01
7.777953e-01,-1.842037e+01,-8.548520e+01,-1.538539e+01,-8.952379e+01
7.934646e-01,-1.958594e+01,-8.614764e+01,-1.661150e+01,-9.165745e+01
8.091339e-01,-2.070647e+01,-8.677530e+01,-1.779489e+01,-9.371028e+01
8.248031e-01,-2.179026e+01,-8.736789e+01,-1.894363e+01,-9.568396e+01
8.404724e-01,-2.284443e+01,-8.792418e+01,-2.006461e+01,-9.757910e+01
8.561417e-01,-2.387531e+01,-8.844160e+01,-2.116397e+01,-9.939490e+01
8.718110e-01,-2.488873e+01,-8.891570e+01,-2.224735e+01,-1.011286e+02
8.874803e-01,-2.589032e+01,-8.933933e+01,-2.332023e+01,-1.027746e+02
9.031496e-01,-2.688569e+01,-8.970125e+01,-2.438805e+01,-1.043233e+02
9.188189e-01,-2.788066e+01,-8.998409e+01,-2.545651e+01,-1.057586e+02
9.344882e-01,-2.888140e+01,-9.016098e+01,-2.653164e+01,-1.070551e+02
9.501575e-01,-2.989445e+01,-9.019023e+01,-2.761987e+01,-1.081725e+02
9.658268e-01,-3.092644e+01,-9.000686e+01,-2.872773e+01,-1.090469e+02
9.814961e-01,-3.198307e+01,-8.950961e+01,-2.986082e+01,-1.095782e+02
9.971654e-01,-3.306630e+01,-8.854296e+01,-3.102099e+01,-1.096122e+02
1.012835e+00,-3.416763e+01,-8.687924e+01,-3.219971e+01,-1.089221e+02
1.028504e+00,-3.525469e+01,-8.422606e+01,-3.336448e+01,-1.072167e+02
1.044173e+00,-3.625073e+01,-8.033390e+01,-3.443852e+01,-1.042473e+02
1.059843e+00,-3.702708e+01,-7.531734e+01,-3.529309e+01,-1.001296e+02
1.075512e+00,-3.746197e+01,-7.007539e+01,-3.580634e+01,-9.576327e+01
1.091181e+00,-3.757067e+01,-6.609617e+01,-3.599352e+01,-9.263740e+01
1.106850e+00,-3.753943e+01,-6.435582e+01,-3.604082e+01,-9.172892e+01
1.122520e+00,-3.757954e+01,-6.466808e+01,-3.615948e+01,-9.285232e+01
1.138189e+00,-3.780006e+01,-6.619326e+01,-3.645852e+01,-9.516866e+01
1.153858e+00,-3.821011e+01,-6.813991e+01,-3.694705e+01,-9.788719e+01
1.169528e+00,-3.877384e+01,-7.002451e+01,-3.758915e+01,-1.005251e+02
1.185197e+00,-3.944955e+01,-7.162483e+01,-3.834311e+01,-1.028607e+02
1.200866e+00,-4.020452e+01,-7.286732e+01,-3.917617e+01,-1.048211e+02
1.216535e+00,-4.101680e+01,-7.374478e+01,-4.006636e+01,-1.063997e+02
1.232205e+00,-4.187298e+01,-7.427178e+01,-4.100026e+01,-1.076117e+02
1.247874e+00,-4.276561e+01,-7.446392e+01,-4.197038e+01,-1.084731e+02
1.263543e+00,-4.369111e+01,-7.432885e+01,-4.297313e+01,-1.089921e+02
