f_sv,SV_m,SV_f
1.591549e-03,3.169813e-02,1.775999e-01
1.662021e-03,3.169800e-02,1.776224e-01
1.735613e-03,3.169788e-02,1.776470e-01
1.812464e-03,3.169775e-02,1.776738e-01
1.892717e-03,3.169762e-02,1.777029e-01
1.976524e-03,3.169748e-02,1.777348e-01
2.064042e-03,3.169735e-02,1.777695e-01
2.155435e-03,3.169720e-02,1.778073e-01
2.250874e-03,3.169705e-02,1.778486e-01
2.350540e-03,3.169690e-02,1.778936e-01
2.454619e-03,3.169673e-02,1.779427e-01
2.563306e-03,3.169656e-02,1.779962e-01
2.676806e-03,3.169637e-02,1.780545e-01
2.795331e-03,3.169617e-02,1.781181e-01
2.919104e-03,3.169596e-02,1.781874e-01
3.048358e-03,3.169573e-02,1.782630e-01
3.183335e-03,3.169549e-02,1.783454e-01
3.324289e-03,3.169523e-02,1.784352e-01
3.471484e-03,3.169494e-02,1.785332e-01
3.625197e-03,3.169464e-02,1.786399e-01
3.785715e-03,3.169431e-02,1.787563e-01
3.953342e-03,3.169395e-02,1.788832e-01
4.128390e-03,3.169357e-02,1.790215e-01
4.311190e-03,3.169315e-02,1.791722e-01
4.502083e-03,3.169270e-02,1.793365e-01
4.701429e-03,3.169222e-02,1.795155e-01
4.909602e-03,3.169169e-02,1.797107e-01
5.126993e-03,3.169112e-02,1.799233e-01
5.354009e-03,3.169050e-02,1.801550e-01
5.591077e-03,3.168984e-02,1.804075e-01
5.838642e-03,3.168912e-02,1.806827e-01
6.097170e-03,3.168834e-02,1.809824e-01
6.367144e-03,3.168750e-02,1.813089e-01
6.649072e-03,3.168659e-02,1.816646e-01
6.943484e-03,3.168561e-02,1.820520e-01
7.250932e-03,3.168456e-02,1.824739e-01
7.571993e-03,3.168342e-02,1.829333e-01
7.907271e-03,3.168220e-02,1.834336e-01
8.257394e-03,3.168090e-02,1.839782e-01
8.623020e-03,3.167950e-02,1.845710e-01
9.004836e-03,3.167800e-02,1.852162e-01
9.403558e-03,3.167639e-02,1.859183e-01
9.819934e-03,3.167469e-02,1.866822e-01
1.025475e-02,3.167287e-02,1.875132e-01
1.070881e-02,3.167095e-02,1.884170e-01
1.118299e-02,3.166892e-02,1.893998e-01
1.167815e-02,3.166677e-02,1.904682e-01
1.219525e-02,3.166453e-02,1.916295e-01
1.273523e-02,3.166218e-02,1.928914e-01
1.329913e-02,3.165974e-02,1.942624e-01
1.388800e-02,3.165722e-02,1.957513e-01
1.450294e-02,3.165463e-02,1.973680e-01
1.514511e-02,3.165201e-02,1.991229e-01
1.581572e-02,3.164937e-02,2.010272e-01
1.651602e-02,3.164675e-02,2.030931e-01
1.724732e-02,3.164419e-02,2.053336e-01
1.801101e-02,3.164176e-02,2.077627e-01
1.880851e-02,3.163951e-02,2.103954e-01
1.964133e-02,3.163754e-02,2.132479e-01
2.051102e-02,3.163593e-02,2.163377e-01
2.141922e-02,3.163480e-02,2.196834e-01
2.236763e-02,3.163431e-02,2.233053e-01
2.335804e-02,3.163463e-02,2.272251e-01
2.439230e-02,3.163595e-02,2.314663e-01
2.547236e-02,3.163852e-02,2.360542e-01
2.660024e-02,3.164263e-02,2.410164e-01
2.777806e-02,3.164863e-02,2.463827e-01
2.900804e-02,3.165691e-02,2.521855e-01
3.029248e-02,3.166796e-02,2.584600e-01
3.163378e-02,3.168232e-02,2.652449e-01
3.303449e-02,3.170067e-02,2.725824e-01
3.449721e-02,3.172375e-02,2.805190e-01
3.602470e-02,3.175248e-02,2.891056e-01
3.761982e-02,3.178789e-02,2.983989e-01
3.928557e-02,3.183119e-02,3.084611e-01
4.102509e-02,3.188379e-02,3.193616e-01
4.284162e-02,3.194727e-02,3.311770e-01
4.473859e-02,3.202349e-02,3.439928e-01
4.671955e-02,3.211450e-02,3.579036e-01
4.878823e-02,3.222266e-02,3.730143e-01
5.094851e-02,3.235054e-02,3.894407e-01
5.320444e-02,3.250100e-02,4.073097e-01
5.556026e-02,3.267710e-02,4.267587e-01
5.802039e-02,3.288211e-02,4.479343e-01
6.058945e-02,3.311937e-02,4.709883e-01
6.327227e-02,3.339226e-02,4.960711e-01
6.607388e-02,3.370404e-02,5.233196e-01
6.899954e-02,3.405772e-02,5.528382e-01
7.205475e-02,3.445591e-02,5.846680e-01
7.524523e-02,3.490074e-02,6.187409e-01
7.857699e-02,3.539375e-02,6.548135e-01
8.205627e-02,3.593594e-02,6.923781e-01
8.568961e-02,3.652790e-02,7.305562e-01
8.948383e-02,3.717006e-02,7.679917e-01
9.344605e-02,3.786306e-02,8.027901e-01
9.758371e-02,3.860816e-02,8.325755e-01
1.019046e-01,3.940777e-02,8.547431e-01
1.064168e-01,4.026582e-02,8.669325e-01
1.111288e-01,4.118824e-02,8.676171e-01
1.160494e-01,4.218327e-02,8.565681e-01
1.211879e-01,4.326173e-02,8.349495e-01
1.265539e-01,4.443727e-02,8.049846e-01
1.321576e-01,4.572647e-02,7.693756e-01
1.380093e-01,4.714899e-02,7.307452e-01
1.441202e-01,4.872777e-02,6.912787e-01
1.505016e-01,5.048923e-02,6.525942e-01
1.571657e-01,5.246370e-02,6.157711e-01
1.641247e-01,5.468597e-02,5.814549e-01
1.713920e-01,5.719596e-02,5.499769e-01
1.789810e-01,6.003963e-02,5.214595e-01
1.869060e-01,6.327001e-02,4.958950e-01
1.951819e-01,6.694834e-02,4.732022e-01
2.038243e-01,7.114527e-02,4.532608e-01
2.128494e-01,7.594195e-02,4.359327e-01
2.222741e-01,8.143055e-02,4.210698e-01
2.321160e-01,8.771345e-02,4.085136e-01
2.423938e-01,9.489960e-02,3.980846e-01
2.531267e-01,1.030950e-01,3.895611e-01
2.643348e-01,1.123823e-01,3.826438e-01
2.760392e-01,1.227811e-01,3.769024e-01
2.882618e-01,1.341791e-01,3.717044e-01
3.010257e-01,1.462306e-01,3.661432e-01
3.143547e-01,1.582452e-01,3.590277e-01
3.282739e-01,1.691514e-01,3.490497e-01
3.428094e-01,1.776739e-01,3.352316e-01
3.579885e-01,1.827867e-01,3.175342e-01
3.738398e-01,1.842236e-01,2.971782e-01
3.903929e-01,1.826501e-01,2.763115e-01
4.076789e-01,1.793793e-01,2.572755e-01
4.257304e-01,1.759616e-01,2.421126e-01
4.445812e-01,1.740411e-01,2.326720e-01
4.642666e-01,1.757113e-01,2.313688e-01
4.848237e-01,1.848429e-01,2.430568e-01
5.062910e-01,2.117853e-01,2.808933e-01
5.287089e-01,2.969434e-01,3.947714e-01
5.521194e-01,6.593088e-01,8.405557e-01
5.765665e-01,3.400219e-01,3.827824e-01
6.020961e-01,1.670400e-01,1.531604e-01
6.287561e-01,1.168633e-01,8.265433e-02
6.565965e-01,9.675044e-02,5.174472e-02
6.856697e-01,8.744789e-02,3.722875e-02
7.160302e-01,8.255766e-02,3.186186e-02
7.477351e-01,7.959598e-02,3.037239e-02
7.808437e-01,7.757238e-02,3.028334e-02
8.154184e-01,7.607756e-02,3.094390e-02
8.515241e-01,7.493684e-02,3.218700e-02
8.892284e-01,7.407833e-02,3.398474e-02
9.286022e-01,7.347378e-02,3.637960e-02
9.697194e-01,7.307097e-02,3.945953e-02
1.012657e+00,7.253317e-02,4.316937e-02
1.057496e+00,7.015251e-02,4.601142e-02
1.104321e+00,6.295746e-02,4.276603e-02
1.153219e+00,5.740170e-02,3.712482e-02
1.204282e+00,5.678889e-02,3.730789e-02
1.257606e+00,5.718681e-02,4.024344e-02
1.313291e+00,5.741044e-02,4.375622e-02
1.371441e+00,5.737948e-02,4.733933e-02
1.432167e+00,5.715804e-02,5.090488e-02
1.495581e+00,5.680293e-02,5.444805e-02
1.561804e+00,5.635178e-02,5.797655e-02
1.630958e+00,5.582832e-02,6.149677e-02
1.703175e+00,5.524742e-02,6.501178e-02
1.778589e+00,5.461851e-02,6.852178e-02
1.857342e+00,5.394760e-02,7.202474e-02
1.939583e+00,5.323857e-02,7.551699e-02
2.025465e+00,5.249401e-02,7.899359e-02
2.115150e+00,5.171569e-02,8.244861e-02
2.208806e+00,5.090495e-02,8.587533e-02
2.306609e+00,5.006287e-02,8.926639e-02
2.408742e+00,4.919053e-02,9.261395e-02
2.515398e+00,4.828902e-02,9.590973e-02
2.626776e+00,4.735957e-02,9.914521e-02
2.743086e+00,4.640361e-02,1.023117e-01
2.864547e+00,4.542275e-02,1.054004e-01
2.991385e+00,4.441885e-02,1.084026e-01
3.123839e+00,4.339399e-02,1.113097e-01
3.262159e+00,4.235045e-02,1.141133e-01
3.406602e+00,4.129074e-02,1.168056e-01
3.557442e+00,4.021752e-02,1.193788e-01
3.714961e+00,3.913359e-02,1.218260e-01
3.879454e+00,3.804184e-02,1.241406e-01
4.051231e+00,3.694526e-02,1.263167e-01
4.230614e+00,3.584682e-02,1.283491e-01
4.417940e+00,3.474950e-02,1.302331e-01
4.613560e+00,3.365621e-02,1.319648e-01
4.817842e+00,3.256977e-02,1.335410e-01
5.031170e+00,3.149287e-02,1.349591e-01
5.253943e+00,3.042805e-02,1.362170e-01
5.486581e+00,2.937765e-02,1.373133e-01
5.729519e+00,2.834385e-02,1.382471e-01
5.983214e+00,2.732857e-02,1.390180e-01
6.248143e+00,2.633355e-02,1.396261e-01
6.524802e+00,2.536028e-02,1.400718e-01
6.813711e+00,2.441004e-02,1.403557e-01
7.115413e+00,2.348388e-02,1.404791e-01
7.430474e+00,2.258265e-02,1.404431e-01
7.759485e+00,2.170698e-02,1.402495e-01
8.103064e+00,2.085734e-02,1.399001e-01
8.461857e+00,2.003402e-02,1.393969e-01
8.836536e+00,1.923713e-02,1.387422e-01
9.227806e+00,1.846666e-02,1.379386e-01
