t,v3,v13
0.000000e+00,9.765464e-01,9.837480e-01
3.333333e-02,9.765464e-01,9.837480e-01
6.666667e-02,9.765464e-01,9.837480e-01
1.000000e-01,8.246409e-01,3.468604e-06
1.333333e-01,8.065238e-01,3.190775e-06
1.666667e-01,7.964233e-01,3.074906e-06
2.000000e-01,9.417031e-01,8.322000e-01
2.333333e-01,9.626466e-01,8.868067e-01
2.666667e-01,9.763171e-01,9.133854e-01
3.000000e-01,9.871355e-01,9.291465e-01
3.333333e-01,9.967620e-01,9.406973e-01
3.666667e-01,1.005750e+00,9.504879e-01
4.000000e-01,1.014225e+00,9.593703e-01
4.333333e-01,1.022162e+00,9.676386e-01
4.666667e-01,1.029506e+00,9.754019e-01
5.000000e-01,1.036195e+00,9.827055e-01
5.333333e-01,1.042167e+00,9.895758e-01
5.666667e-01,1.047400e+00,9.960583e-01
6.000000e-01,1.051869e+00,1.002190e+00
6.333333e-01,1.055530e+00,1.008000e+00
6.666667e-01,1.058391e+00,1.013529e+00
7.000000e-01,1.060436e+00,1.018792e+00
7.333333e-01,1.061617e+00,1.023780e+00
7.666667e-01,1.061925e+00,1.028474e+00
8.000000e-01,1.061318e+00,1.032822e+00
8.333333e-01,1.059715e+00,1.036730e+00
8.666667e-01,1.057084e+00,1.040105e+00
9.000000e-01,1.053364e+00,1.042827e+00
9.333333e-01,1.048459e+00,1.044734e+00
9.666667e-01,1.042352e+00,1.045711e+00
1.000000e+00,1.035007e+00,1.045629e+00
1.033333e+00,1.026372e+00,1.044338e+00
1.066667e+00,1.016499e+00,1.041785e+00
1.100000e+00,1.005437e+00,1.037921e+00
1.133333e+00,9.932369e-01,1.032695e+00
1.166667e+00,9.800559e-01,1.026180e+00
1.200000e+00,9.660502e-01,1.018456e+00
1.233333e+00,9.513949e-01,1.009613e+00
1.266667e+00,9.363322e-01,9.998510e-01
1.300000e+00,9.211011e-01,9.893638e-01
1.333333e+00,9.059649e-01,9.783649e-01
1.366667e+00,8.911866e-01,9.671169e-01
1.400000e+00,8.770149e-01,9.558695e-01
1.433333e+00,8.637152e-01,9.448874e-01
1.466667e+00,8.514801e-01,9.344111e-01
1.500000e+00,8.404975e-01,9.246651e-01
1.533333e+00,8.309741e-01,9.158832e-01
1.566667e+00,8.229975e-01,9.082106e-01
1.600000e+00,8.166609e-01,9.017806e-01
1.633333e+00,8.120764e-01,8.967324e-01
1.666667e+00,8.092191e-01,8.930856e-01
1.700000e+00,8.080852e-01,8.908638e-01
1.733333e+00,8.086962e-01,8.901018e-01
1.766667e+00,8.109491e-01,8.907212e-01
1.800000e+00,8.147775e-01,8.926652e-01
1.833333e+00,8.201459e-01,8.958955e-01
1.866667e+00,8.269194e-01,9.002842e-01
1.900000e+00,8.350047e-01,9.057334e-01
1.933333e+00,8.443376e-01,9.121634e-01
1.966667e+00,8.547741e-01,9.194306e-01
2.000000e+00,8.662039e-01,9.274188e-01
2.033333e+00,8.785302e-01,9.360221e-01
2.066667e+00,8.915908e-01,9.450945e-01
2.100000e+00,9.052418e-01,9.545085e-01
2.133333e+00,9.193401e-01,9.641381e-01
2.166667e+00,9.337103e-01,9.738452e-01
2.200000e+00,9.481916e-01,9.835041e-01
2.233333e+00,9.626173e-01,9.929865e-01
2.266667e+00,9.768266e-01,1.002183e+00
2.300000e+00,9.906682e-01,1.010992e+00
2.333333e+00,1.003980e+00,1.019311e+00
2.366667e+00,1.016644e+00,1.027082e+00
2.400000e+00,1.028548e+00,1.034254e+00
2.433333e+00,1.039578e+00,1.040776e+00
2.466667e+00,1.049698e+00,1.046657e+00
2.500000e+00,1.058865e+00,1.051906e+00
2.533333e+00,1.067023e+00,1.056530e+00
2.566667e+00,1.074190e+00,1.060586e+00
2.600000e+00,1.080361e+00,1.064113e+00
2.633333e+00,1.085510e+00,1.067140e+00
2.666667e+00,1.089673e+00,1.069718e+00
2.700000e+00,1.092858e+00,1.071871e+00
2.733333e+00,1.095039e+00,1.073602e+00
2.766667e+00,1.096248e+00,1.074918e+00
2.800000e+00,1.096483e+00,1.075802e+00
2.833333e+00,1.095710e+00,1.076205e+00
2.866667e+00,1.093954e+00,1.076096e+00
2.900000e+00,1.091215e+00,1.075421e+00
2.933333e+00,1.087470e+00,1.074103e+00
2.966667e+00,1.082765e+00,1.072105e+00
3.000000e+00,1.077131e+00,1.069381e+00
3.033333e+00,1.070594e+00,1.065878e+00
3.066667e+00,1.063255e+00,1.061612e+00
3.100000e+00,1.055210e+00,1.056601e+00
3.133333e+00,1.046572e+00,1.050875e+00
3.166667e+00,1.037512e+00,1.044537e+00
3.200000e+00,1.028199e+00,1.037696e+00
3.233333e+00,1.018815e+00,1.030473e+00
3.266667e+00,1.009549e+00,1.023029e+00
3.300000e+00,1.000581e+00,1.015516e+00
3.333333e+00,9.920934e-01,1.008089e+00
3.366667e+00,9.842244e-01,1.000892e+00
3.400000e+00,9.770981e-01,9.940485e-01
3.433333e+00,9.708403e-01,9.876788e-01
3.466667e+00,9.654971e-01,9.818516e-01
3.500000e+00,9.611101e-01,9.766229e-01
3.533333e+00,9.577239e-01,9.720457e-01
3.566667e+00,9.552991e-01,9.681132e-01
3.600000e+00,9.538045e-01,9.648190e-01
3.633333e+00,9.532160e-01,9.621599e-01
3.666667e+00,9.534413e-01,9.600834e-01
3.700000e+00,9.544050e-01,9.585478e-01
3.733333e+00,9.560411e-01,9.575191e-01
3.766667e+00,9.582388e-01,9.569301e-01
3.800000e+00,9.609068e-01,9.567285e-01
3.833333e+00,9.639623e-01,9.568716e-01
3.866667e+00,9.673013e-01,9.572982e-01
3.900000e+00,9.708369e-01,9.579624e-01
3.933333e+00,9.744878e-01,9.588271e-01
3.966667e+00,9.781719e-01,9.598488e-01
4.000000e+00,9.818189e-01,9.609962e-01
4.033333e+00,9.853610e-01,9.622458e-01
4.066667e+00,9.887437e-01,9.635735e-01
4.100000e+00,9.919187e-01,9.649637e-01
4.133333e+00,9.948360e-01,9.664056e-01
4.166667e+00,9.974673e-01,9.678886e-01
4.200000e+00,9.997840e-01,9.694056e-01
4.233333e+00,1.001751e+00,9.709502e-01
4.266667e+00,1.003359e+00,9.725139e-01
4.300000e+00,1.004592e+00,9.740865e-01
4.333333e+00,1.005422e+00,9.756543e-01
4.366667e+00,1.005848e+00,9.771995e-01
4.400000e+00,1.005858e+00,9.787001e-01
4.433333e+00,1.005426e+00,9.801262e-01
4.466667e+00,1.004556e+00,9.814476e-01
4.500000e+00,1.003235e+00,9.826294e-01
4.533333e+00,1.001442e+00,9.836275e-01
4.566667e+00,9.991846e-01,9.844075e-01
4.600000e+00,9.964614e-01,9.849318e-01
4.633333e+00,9.932623e-01,9.851558e-01
4.666667e+00,9.896122e-01,9.850578e-01
4.700000e+00,9.855297e-01,9.846149e-01
4.733333e+00,9.810312e-01,9.838022e-01
4.766667e+00,9.761674e-01,9.826267e-01
4.800000e+00,9.709859e-01,9.810961e-01
4.833333e+00,9.655376e-01,9.792199e-01
4.866667e+00,9.598986e-01,9.770398e-01
4.900000e+00,9.541428e-01,9.745975e-01
4.933333e+00,9.483518e-01,9.719388e-01
4.966667e+00,9.426138e-01,9.691309e-01
5.000000e+00,9.370156e-01,9.662384e-01
5.033333e+00,9.316540e-01,9.633315e-01
5.066667e+00,9.266094e-01,9.604828e-01
5.100000e+00,9.219631e-01,9.577617e-01
5.133333e+00,9.178070e-01,9.552432e-01
5.166667e+00,9.141967e-01,9.529857e-01
5.200000e+00,9.111918e-01,9.510461e-01
5.233333e+00,9.088636e-01,9.494869e-01
5.266667e+00,9.072334e-01,9.483404e-01
5.300000e+00,9.063309e-01,9.476403e-01
5.333333e+00,9.061982e-01,9.474270e-01
5.366667e+00,9.068217e-01,9.477034e-01
5.400000e+00,9.081997e-01,9.484772e-01
5.433333e+00,9.103433e-01,9.497632e-01
5.466667e+00,9.132087e-01,9.515376e-01
5.500000e+00,9.167668e-01,9.537844e-01
5.533333e+00,9.209989e-01,9.564933e-01
5.566667e+00,9.258390e-01,9.596202e-01
5.600000e+00,9.312353e-01,9.631291e-01
5.633333e+00,9.371431e-01,9.669880e-01
5.666667e+00,9.434821e-01,9.711394e-01
5.700000e+00,9.501839e-01,9.755335e-01
5.733333e+00,9.571830e-01,9.801220e-01
5.766667e+00,9.643933e-01,9.848427e-01
5.800000e+00,9.717375e-01,9.896400e-01
5.833333e+00,9.791367e-01,9.944572e-01
5.866667e+00,9.865090e-01,9.992378e-01
5.900000e+00,9.937775e-01,1.003930e+00
5.933333e+00,1.000860e+00,1.008478e+00
5.966667e+00,1.007690e+00,1.012841e+00
6.000000e+00,1.014200e+00,1.016980e+00
6.033333e+00,1.020317e+00,1.020850e+00
6.066667e+00,1.025995e+00,1.024431e+00
6.100000e+00,1.031186e+00,1.027699e+00
6.133333e+00,1.035832e+00,1.030626e+00
6.166667e+00,1.039912e+00,1.033210e+00
6.200000e+00,1.043399e+00,1.035443e+00
6.233333e+00,1.046251e+00,1.037308e+00
6.266667e+00,1.048470e+00,1.038814e+00
6.300000e+00,1.050046e+00,1.039961e+00
6.333333e+00,1.050952e+00,1.040736e+00
6.366667e+00,1.051207e+00,1.041151e+00
