f,g,p,gr,pr
1.000000e-02,-3.212262e+01,1.722316e+02,-4.802171e+01,1.273239e+02
1.036779e-02,-3.198133e+01,1.705391e+02,-4.755521e+01,1.281188e+02
1.074911e-02,-3.183833e+01,1.688527e+02,-4.708308e+01,1.289051e+02
1.114445e-02,-3.169334e+01,1.671734e+02,-4.660532e+01,1.296810e+02
1.155434e-02,-3.154608e+01,1.655023e+02,-4.612196e+01,1.304448e+02
1.197930e-02,-3.139629e+01,1.638402e+02,-4.563304e+01,1.311948e+02
1.241989e-02,-3.124372e+01,1.621883e+02,-4.513862e+01,1.319295e+02
1.287668e-02,-3.108814e+01,1.605477e+02,-4.463875e+01,1.326470e+02
1.335027e-02,-3.092933e+01,1.589193e+02,-4.413351e+01,1.333459e+02
1.384129e-02,-3.076708e+01,1.573044e+02,-4.362301e+01,1.340244e+02
1.435036e-02,-3.060121e+01,1.557041e+02,-4.310734e+01,1.346810e+02
1.487815e-02,-3.043156e+01,1.541195e+02,-4.258662e+01,1.353141e+02
1.542536e-02,-3.025797e+01,1.525517e+02,-4.206097e+01,1.359224e+02
1.599269e-02,-3.008032e+01,1.510021e+02,-4.153053e+01,1.365043e+02
1.658089e-02,-2.989850e+01,1.494716e+02,-4.099544e+01,1.370585e+02
1.719072e-02,-2.971240e+01,1.479615e+02,-4.045585e+01,1.375836e+02
1.782298e-02,-2.952197e+01,1.464730e+02,-3.991191e+01,1.380783e+02
1.847850e-02,-2.932713e+01,1.450072e+02,-3.936380e+01,1.385414e+02
1.915812e-02,-2.912784e+01,1.435652e+02,-3.881166e+01,1.389717e+02
1.986274e-02,-2.892409e+01,1.421481e+02,-3.825568e+01,1.393681e+02
2.059328e-02,-2.871585e+01,1.407570e+02,-3.769602e+01,1.397295e+02
2.135068e-02,-2.850313e+01,1.393929e+02,-3.713285e+01,1.400547e+02
2.213594e-02,-2.828594e+01,1.380568e+02,-3.656635e+01,1.403428e+02
2.295009e-02,-2.806431e+01,1.367496e+02,-3.599669e+01,1.405929e+02
2.379417e-02,-2.783826e+01,1.354723e+02,-3.542405e+01,1.408038e+02
2.466930e-02,-2.760783e+01,1.342257e+02,-3.484861e+01,1.409747e+02
2.557662e-02,-2.737308e+01,1.330107e+02,-3.427053e+01,1.411046e+02
2.651731e-02,-2.713404e+01,1.318281e+02,-3.368999e+01,1.411927e+02
2.749259e-02,-2.689077e+01,1.306785e+02,-3.310717e+01,1.412379e+02
2.850375e-02,-2.664332e+01,1.295628e+02,-3.252223e+01,1.412395e+02
2.955209e-02,-2.639172e+01,1.284815e+02,-3.193536e+01,1.411965e+02
3.063899e-02,-2.613604e+01,1.274354e+02,-3.134673e+01,1.411079e+02
3.176587e-02,-2.587628e+01,1.264252e+02,-3.075650e+01,1.409728e+02
3.293420e-02,-2.561249e+01,1.254513e+02,-3.016486e+01,1.407902e+02
3.414549e-02,-2.534466e+01,1.245145e+02,-2.957198e+01,1.405591e+02
3.540133e-02,-2.507280e+01,1.236153e+02,-2.897805e+01,1.402785e+02
3.670336e-02,-2.479687e+01,1.227545e+02,-2.838325e+01,1.399472e+02
3.805329e-02,-2.451682e+01,1.219326e+02,-2.778777e+01,1.395643e+02
3.945285e-02,-2.423256e+01,1.211504e+02,-2.719181e+01,1.391284e+02
4.090390e-02,-2.394398e+01,1.204086e+02,-2.659557e+01,1.386384e+02
4.240831e-02,-2.365091e+01,1.197078e+02,-2.599927e+01,1.380930e+02
4.396806e-02,-2.335314e+01,1.190489e+02,-2.540314e+01,1.374909e+02
4.558516e-02,-2.305040e+01,1.184326e+02,-2.480740e+01,1.368307e+02
4.726175e-02,-2.274235e+01,1.178597e+02,-2.421234e+01,1.361110e+02
4.900000e-02,-2.242856e+01,1.173308e+02,-2.361820e+01,1.353303e+02
5.080218e-02,-2.210852e+01,1.168466e+02,-2.302530e+01,1.344870e+02
5.267064e-02,-2.178158e+01,1.164075e+02,-2.243396e+01,1.335797e+02
5.460783e-02,-2.144700e+01,1.160137e+02,-2.184451e+01,1.326067e+02
5.661626e-02,-2.110388e+01,1.156648e+02,-2.125734e+01,1.315665e+02
5.869856e-02,-2.075114e+01,1.153600e+02,-2.067286e+01,1.304574e+02
6.085745e-02,-2.038756e+01,1.150975e+02,-2.009150e+01,1.292780e+02
6.309573e-02,-2.001171e+01,1.148741e+02,-1.951377e+01,1.280267e+02
6.541634e-02,-1.962197e+01,1.146851e+02,-1.894018e+01,1.267022e+02
6.782231e-02,-1.921656e+01,1.145238e+02,-1.837131e+01,1.253031e+02
7.031676e-02,-1.879357e+01,1.143803e+02,-1.780778e+01,1.238285e+02
7.290295e-02,-1.835097e+01,1.142415e+02,-1.725024e+01,1.222774e+02
7.558426e-02,-1.788681e+01,1.140902e+02,-1.669942e+01,1.206494e+02
7.836419e-02,-1.739929e+01,1.139043e+02,-1.615607e+01,1.189442e+02
8.124636e-02,-1.688700e+01,1.136563e+02,-1.562100e+01,1.171620e+02
8.423454e-02,-1.634922e+01,1.133136e+02,-1.509503e+01,1.153036e+02
8.733262e-02,-1.578619e+01,1.128387e+02,-1.457904e+01,1.133703e+02
9.054464e-02,-1.519946e+01,1.121904e+02,-1.407392e+01,1.113639e+02
9.387480e-02,-1.459224e+01,1.113262e+02,-1.358056e+01,1.092872e+02
9.732744e-02,-1.396960e+01,1.102053e+02,-1.309985e+01,1.071436e+02
1.009071e-01,-1.333853e+01,1.087933e+02,-1.263265e+01,1.049372e+02
1.046183e-01,-1.270778e+01,1.070663e+02,-1.217978e+01,1.026731e+02
1.084661e-01,-1.208738e+01,1.050158e+02,-1.174199e+01,1.003571e+02
1.124554e-01,-1.148782e+01,1.026517e+02,-1.131993e+01,9.799577e+01
1.165914e-01,-1.091911e+01,1.000038e+02,-1.091415e+01,9.559656e+01
1.208796e-01,-1.038964e+01,9.711997e+01,-1.052507e+01,9.316737e+01
1.253254e-01,-9.905372e+00,9.406124e+01,-1.015294e+01,9.071670e+01
1.299348e-01,-9.469268e+00,9.089549e+01,-9.797884e+00,8.825336e+01
1.347137e-01,-9.081286e+00,8.768992e+01,-9.459806e+00,8.578640e+01
1.396684e-01,-8.738779e+00,8.450476e+01,-9.138454e+00,8.332488e+01
1.448053e-01,-8.437205e+00,8.138904e+01,-8.833390e+00,8.087771e+01
1.501311e-01,-8.170924e+00,7.837883e+01,-8.544002e+00,7.845352e+01
1.556528e-01,-7.933917e+00,7.549760e+01,-8.269510e+00,7.606045e+01
1.613776e-01,-7.720327e+00,7.275802e+01,-8.008983e+00,7.370607e+01
1.673129e-01,-7.524808e+00,7.016431e+01,-7.761355e+00,7.139727e+01
1.734665e-01,-7.342683e+00,6.771466e+01,-7.525439e+00,6.914020e+01
1.798465e-01,-7.169987e+00,6.540339e+01,-7.299945e+00,6.694020e+01
1.864611e-01,-7.003421e+00,6.322264e+01,-7.083499e+00,6.480186e+01
1.933190e-01,-6.840260e+00,6.116358e+01,-6.874654e+00,6.272898e+01
2.004291e-01,-6.678257e+00,5.921730e+01,-6.671901e+00,6.072463e+01
2.078007e-01,-6.515532e+00,5.737540e+01,-6.473679e+00,5.879124e+01
2.154435e-01,-6.350472e+00,5.563033e+01,-6.278375e+00,5.693064e+01
2.233673e-01,-6.181642e+00,5.397565e+01,-6.084323e+00,5.514419e+01
2.315826e-01,-6.007697e+00,5.240612e+01,-5.889802e+00,5.343284e+01
2.401000e-01,-5.827295e+00,5.091782e+01,-5.693017e+00,5.179725e+01
2.489307e-01,-5.639019e+00,4.950807e+01,-5.492090e+00,5.023794e+01
