f,g,p,gr,pr
1.000000e-02,-1.780376e+00,-1.789175e+02,-1.780528e+00,-1.789176e+02
2.566929e-02,-1.843814e+00,-1.769003e+02,-1.843638e+00,-1.768985e+02
4.133858e-02,-1.912736e+00,-1.740894e+02,-1.912607e+00,-1.740920e+02
5.700787e-02,-1.876114e+00,-1.702858e+02,-1.876549e+00,-1.702843e+02
7.267717e-02,-1.619077e+00,-1.659897e+02,-1.618545e+00,-1.659885e+02
8.834646e-02,-1.132168e+00,-1.621037e+02,-1.132337e+00,-1.621078e+02
1.040157e-01,-4.907727e-01,-1.590920e+02,-4.913701e-01,-1.590895e+02
1.196850e-01,2.511874e-01,-1.569820e+02,2.516220e-01,-1.569781e+02
1.353543e-01,1.071645e+00,-1.557995e+02,1.072298e+00,-1.558017e+02
1.510236e-01,1.948413e+00,-1.556488e+02,1.948270e+00,-1.556534e+02
1.666929e-01,2.849376e+00,-1.566283e+02,2.848712e+00,-1.566291e+02
1.823622e-01,3.736070e+00,-1.587835e+02,3.735714e+00,-1.587801e+02
1.980315e-01,4.567373e+00,-1.621021e+02,4.567658e+00,-1.620987e+02
2.137008e-01,5.300543e+00,-1.665151e+02,5.301094e+00,-1.665152e+02
2.293701e-01,5.891155e+00,-1.718886e+02,5.891380e+00,-1.718917e+02
2.450394e-01,6.293977e+00,-1.780014e+02,6.293670e+00,-1.780040e+02
2.607087e-01,6.466624e+00,1.754850e+02,6.466136e+00,1.754856e+02
2.763780e-01,6.377221e+00,1.690523e+02,6.377097e+00,1.690555e+02
2.920472e-01,6.016343e+00,1.633301e+02,6.016749e+00,1.633323e+02
3.077165e-01,5.412280e+00,1.590595e+02,5.412798e+00,1.590580e+02
3.233858e-01,4.647961e+00,1.569921e+02,4.647989e+00,1.569880e+02
3.390551e-01,3.874075e+00,1.576759e+02,3.873494e+00,1.576736e+02
3.547244e-01,3.297133e+00,1.610947e+02,3.296509e+00,1.610971e+02
3.703937e-01,3.107357e+00,1.663608e+02,3.107322e+00,1.663656e+02
3.860630e-01,3.370603e+00,1.719855e+02,3.371150e+00,1.719885e+02
4.017323e-01,4.005286e+00,1.767240e+02,4.005934e+00,1.767233e+02
4.174016e-01,4.874081e+00,-1.799168e+02,4.874445e+00,-1.799199e+02
4.330709e-01,5.871068e+00,-1.778546e+02,5.871065e+00,-1.778580e+02
4.487402e-01,6.944074e+00,-1.767937e+02,6.943812e+00,-1.767962e+02
4.644094e-01,8.083086e+00,-1.764357e+02,8.082720e+00,-1.764368e+02
4.800787e-01,9.306447e+00,-1.765463e+02,9.306102e+00,-1.765461e+02
4.957480e-01,1.065480e+01,-1.769591e+02,1.065455e+01,-1.769581e+02
5.114173e-01,1.219438e+01,-1.775617e+02,1.219424e+01,-1.775604e+02
5.270866e-01,1.403327e+01,-1.782812e+02,1.403322e+01,-1.782799e+02
5.427559e-01,1.636607e+01,-1.790754e+02,1.636608e+01,-1.790744e+02
5.584252e-01,1.961072e+01,-1.799353e+02,1.961077e+01,-1.799347e+02
5.740945e-01,2.501125e+01,1.790495e+02,2.501129e+01,1.790497e+02
5.897638e-01,4.406598e+01,1.741597e+02,4.406599e+01,1.741598e+02
6.054331e-01,2.682861e+01,-1.304375e+00,2.682857e+01,-1.304440e+00
6.211024e-01,2.003635e+01,-2.368724e+00,2.003626e+01,-2.368682e+00
6.367717e-01,1.612846e+01,-3.164515e+00,1.612832e+01,-3.164188e+00
6.524409e-01,1.332645e+01,-3.876140e+00,1.332629e+01,-3.875380e+00
6.681102e-01,1.111128e+01,-4.536661e+00,1.111111e+01,-4.535363e+00
6.837795e-01,9.258956e+00,-5.157036e+00,9.258811e+00,-5.155145e+00
6.994488e-01,7.652217e+00,-5.742392e+00,7.652128e+00,-5.739916e+00
7.151181e-01,6.221913e+00,-6.295788e+00,6.221913e+00,-6.292795e+00
7.307874e-01,4.923758e+00,-6.819353e+00,4.923877e+00,-6.815973e+00
7.464567e-01,3.727595e+00,-7.314685e+00,3.727858e+00,-7.311106e+00
7.621260e-01,2.611860e+00,-7.782979e+00,2.612287e+00,-7.779443e+00
7.777953e-01,1.560492e+00,-8.225052e+00,1.561093e+00,-8.221846e+00
7.934646e-01,5.610874e-01,-8.641298e+00,5.618643e-01,-8.638746e+00
8.091339e-01,-3.962645e-01,-9.031595e+00,-3.953238e-01,-9.030048e+00
8.248031e-01,-1.319752e+00,-9.395151e+00,-1.318673e+00,-9.394968e+00
8.404724e-01,-2.216377e+00,-9.730267e+00,-2.215203e+00,-9.731800e+00
8.561417e-01,-3.092356e+00,-1.003398e+01,-3.091146e+00,-1.003754e+01
8.718110e-01,-3.953423e+00,-1.030152e+01,-3.952259e+00,-1.030736e+01
8.874803e-01,-4.805092e+00,-1.052545e+01,-4.804075e+00,-1.053370e+01
9.031496e-01,-5.652881e+00,-1.069438e+01,-5.652134e+00,-1.070499e+01
9.188189e-01,-6.502511e+00,-1.079087e+01,-6.502176e+00,-1.080353e+01
9.344882e-01,-7.360064e+00,-1.078812e+01,-7.360290e+00,-1.080215e+01
9.501575e-01,-8.232018e+00,-1.064466e+01,-8.232947e+00,-1.065885e+01
9.658268e-01,-9.124994e+00,-1.029589e+01,-9.126720e+00,-1.030839e+01
9.814961e-01,-1.004474e+01,-9.641019e+00,-1.004724e+01,-9.649260e+00
9.971654e-01,-1.099336e+01,-8.524810e+00,-1.099640e+01,-8.525711e+00
1.012835e+00,-1.196267e+01,-6.718981e+00,-1.196566e+01,-6.709832e+00
1.028504e+00,-1.292062e+01,-3.928482e+00,-1.292256e+01,-3.909025e+00
1.044173e+00,-1.379055e+01,1.018781e-01,-1.379033e+01,1.264230e-01
1.059843e+00,-1.444297e+01,5.263964e+00,-1.444023e+01,5.282118e+00
1.075512e+00,-1.475447e+01,1.065907e+01,-1.475044e+01,1.065923e+01
1.091181e+00,-1.473914e+01,1.479026e+01,-1.473619e+01,1.476980e+01
1.106850e+00,-1.458339e+01,1.666903e+01,-1.458368e+01,1.663786e+01
1.122520e+00,-1.450011e+01,1.647293e+01,-1.450416e+01,1.644980e+01
1.138189e+00,-1.460055e+01,1.504483e+01,-1.460662e+01,1.504546e+01
1.153858e+00,-1.489476e+01,1.318866e+01,-1.490019e+01,1.321643e+01
1.169528e+00,-1.534624e+01,1.139859e+01,-1.534894e+01,1.144634e+01
1.185197e+00,-1.591217e+01,9.900896e+00,-1.591115e+01,9.957569e+00
1.200866e+00,-1.655891e+01,8.768661e+00,-1.655405e+01,8.823755e+00
1.216535e+00,-1.726399e+01,8.007041e+00,-1.725566e+01,8.052213e+00
1.232205e+00,-1.801375e+01,7.599417e+00,-1.800255e+01,7.628476e+00
1.247874e+00,-1.880060e+01,7.528661e+00,-1.878722e+01,7.537056e+00
1.263543e+00,-1.962091e+01,7.786086e+00,-1.960606e+01,7.770367e+00
1.279213e+00,-2.047358e+01,8.375221e+00,-2.045799e+01,8.332625e+00
1.294882e+00,-2.135904e+01,9.313902e+00,-2.134349e+01,9.242082e+00
1.310551e+00,-2.227854e+01,1.063632e+01,-2.226391e+01,1.053322e+01
1.326220e+00,-2.323350e+01,1.239580e+01,-2.322077e+01,1.225967e+01
1.341890e+00,-2.422461e+01,1.466865e+01,-2.421499e+01,1.449827e+01
1.357559e+00,-2.525065e+01,1.755895e+01,-2.524562e+01,1.735414e+01
1.373228e+00,-2.630638e+01,2.120330e+01,-2.630779e+01,2.096594e+01
1.388898e+00,-2.737930e+01,2.577249e+01,-2.738940e+01,2.550827e+01
1.404567e+00,-2.844461e+01,3.146252e+01,-2.846594e+01,3.118370e+01
1.420236e+00,-2.945884e+01,3.846043e+01,-2.949377e+01,3.818925e+01
1.435906e+00,-3.035506e+01,4.686480e+01,-3.040475e+01,4.663557e+01
1.451575e+00,-3.104738e+01,5.655761e+01,-3.111021e+01,5.641272e+01
1.467244e+00,-3.145431e+01,6.709105e+01,-3.152488e+01,6.706687e+01
1.482913e+00,-3.153657e+01,7.772926e+01,-3.160690e+01,7.783807e+01
1.498583e+00,-3.132027e+01,8.770226e+01,-3.138295e+01,8.792660e+01
1.514252e+00,-3.088132e+01,9.648891e+01,-3.093199e+01,9.679382e+01
1.529921e+00,-3.030765e+01,1.039076e+02,-3.034519e+01,1.042573e+02
1.545591e+00,-2.967153e+01,1.100243e+02,-2.969682e+01,1.103909e+02
1.561260e+00,-2.902154e+01,1.150185e+02,-2.903629e+01,1.153838e+02
1.576929e+00,-2.838621e+01,1.190927e+02,-2.839224e+01,1.194459e+02
1.592598e+00,-2.778040e+01,1.224301e+02,-2.777934e+01,1.227653e+02
1.608268e+00,-2.721066e+01,1.251817e+02,-2.720387e+01,1.254961e+02
1.623937e+00,-2.667884e+01,1.274673e+02,-2.666741e+01,1.277599e+02
1.639606e+00,-2.618425e+01,1.293800e+02,-2.616907e+01,1.296507e+02
1.655276e+00,-2.572498e+01,1.309921e+02,-2.570674e+01,1.312415e+02
1.670945e+00,-2.529856e+01,1.323597e+02,-2.527783e+01,1.325886e+02
1.686614e+00,-2.490238e+01,1.335267e+02,-2.487960e+01,1.337360e+02
1.702283e+00,-2.453386e+01,1.345277e+02,-2.450941e+01,1.347182e+02
1.717953e+00,-2.419060e+01,1.353899e+02,-2.416477e+01,1.355626e+02
1.733622e+00,-2.387036e+01,1.361355e+02,-2.384341e+01,1.362913e+02
1.749291e+00,-2.357112e+01,1.367821e+02,-2.354325e+01,1.369218e+02
1.764961e+00,-2.329105e+01,1.373442e+02,-2.326245e+01,1.374686e+02
1.780630e+00,-2.302851e+01,1.378337e+02,-2.299933e+01,1.379434e+02
1.796299e+00,-2.278202e+01,1.382604e+02,-2.275239e+01,1.383562e+02
1.811969e+00,-2.255027e+01,1.386324e+02,-2.252031e+01,1.387149e+02
1.827638e+00,-2.233207e+01,1.389568e+02,-2.230188e+01,1.390265e+02
1.843307e+00,-2.212635e+01,1.392392e+02,-2.209602e+01,1.392967e+02
1.858976e+00,-2.193216e+01,1.394846e+02,-2.190176e+01,1.395304e+02
1.874646e+00,-2.174863e+01,1.396972e+02,-2.171824e+01,1.397317e+02
1.890315e+00,-2.157499e+01,1.398807e+02,-2.154466e+01,1.399044e+02
1.905984e+00,-2.141052e+01,1.400382e+02,-2.138032e+01,1.400514e+02
1.921654e+00,-2.125458e+01,1.401723e+02,-2.122457e+01,1.401755e+02
1.937323e+00,-2.110661e+01,1.402855e+02,-2.107682e+01,1.402790e+02
1.952992e+00,-2.096605e+01,1.403797e+02,-2.093655e+01,1.403640e+02
1.968661e+00,-2.083244e+01,1.404569e+02,-2.080325e+01,1.404322e+02
1.984331e+00,-2.070534e+01,1.405186e+02,-2.067650e+01,1.404852e+02
2.000000e+00,-2.058433e+01,1.405663e+02,-2.055587e+01,1.405245e+02
2.100000e+00,-1.993367e+01,1.406109e+02,-1.990836e+01,1.405222e+02
2.870866e+00,-1.815431e+01,1.359625e+02,-1.816668e+01,1.357589e+02
3.641732e+00,-1.820725e+01,1.301995e+02,-1.824829e+01,1.301296e+02
4.412598e+00,-1.873981e+01,1.251270e+02,-1.878815e+01,1.252718e+02
5.183465e+00,-1.943602e+01,1.208856e+02,-1.947384e+01,1.212312e+02
5.954331e+00,-2.018134e+01,1.173857e+02,-2.019765e+01,1.178794e+02
