f,gc1,pc1
1.094500e+00,2.062756e+01,-8.923793e+01
1.134755e+00,2.022590e+01,-8.932145e+01
1.176490e+00,1.982860e+01,-8.935716e+01
1.219760e+00,1.943597e+01,-8.934827e+01
1.264622e+00,1.904830e+01,-8.929807e+01
1.311134e+00,1.866582e+01,-8.920993e+01
1.359356e+00,1.828874e+01,-8.908730e+01
1.409352e+00,1.791722e+01,-8.893366e+01
1.461187e+00,1.755138e+01,-8.875250e+01
1.514929e+00,1.719131e+01,-8.854734e+01
1.570646e+00,1.683704e+01,-8.832166e+01
1.628414e+00,1.648858e+01,-8.807887e+01
1.688305e+00,1.614591e+01,-8.782235e+01
1.750400e+00,1.580893e+01,-8.755536e+01
1.814778e+00,1.547756e+01,-8.728106e+01
1.881524e+00,1.515164e+01,-8.700247e+01
1.950725e+00,1.483100e+01,-8.672248e+01
2.022471e+00,1.451545e+01,-8.644378e+01
2.096856e+00,1.420474e+01,-8.616889e+01
2.173977e+00,1.389864e+01,-8.590014e+01
2.253934e+00,1.359687e+01,-8.563966e+01
2.336832e+00,1.329913e+01,-8.538934e+01
2.422779e+00,1.300514e+01,-8.515087e+01
2.511886e+00,1.271457e+01,-8.492573e+01
2.604272e+00,1.242711e+01,-8.471514e+01
2.700055e+00,1.214244e+01,-8.452015e+01
2.799360e+00,1.186024e+01,-8.434156e+01
2.902319e+00,1.158018e+01,-8.417997e+01
3.009064e+00,1.130197e+01,-8.403580e+01
3.119735e+00,1.102530e+01,-8.390928e+01
3.234476e+00,1.074986e+01,-8.380044e+01
3.353437e+00,1.047540e+01,-8.370919e+01
3.476774e+00,1.020163e+01,-8.363526e+01
3.604647e+00,9.928313e+00,-8.357827e+01
3.737223e+00,9.655215e+00,-8.353772e+01
3.874675e+00,9.382121e+00,-8.351301e+01
4.017183e+00,9.108836e+00,-8.350346e+01
4.164931e+00,8.835181e+00,-8.350832e+01
4.318114e+00,8.560997e+00,-8.352678e+01
4.476931e+00,8.286143e+00,-8.355799e+01
4.641589e+00,8.010495e+00,-8.360109e+01
4.812303e+00,7.733948e+00,-8.365518e+01
4.989295e+00,7.456411e+00,-8.371937e+01
5.172798e+00,7.177808e+00,-8.379277e+01
5.363049e+00,6.898082e+00,-8.387449e+01
5.560298e+00,6.617183e+00,-8.396368e+01
5.764801e+00,6.335079e+00,-8.405951e+01
5.976826e+00,6.051745e+00,-8.416117e+01
6.196649e+00,5.767170e+00,-8.426790e+01
6.424556e+00,5.481350e+00,-8.437896e+01
6.660846e+00,5.194288e+00,-8.449367e+01
6.905827e+00,4.905996e+00,-8.461138e+01
7.159818e+00,4.616493e+00,-8.473148e+01
7.423150e+00,4.325800e+00,-8.485341e+01
7.696167e+00,4.033945e+00,-8.497666e+01
7.979226e+00,3.740960e+00,-8.510075e+01
8.272696e+00,3.446877e+00,-8.522524e+01
8.576959e+00,3.151734e+00,-8.534973e+01
8.892413e+00,2.855568e+00,-8.547387e+01
9.219468e+00,2.558418e+00,-8.559733e+01
9.558553e+00,2.260324e+00,-8.571982e+01
9.910109e+00,1.961328e+00,-8.584109e+01
1.027459e+01,1.661468e+00,-8.596091e+01
1.065249e+01,1.360786e+00,-8.607909e+01
1.104428e+01,1.059321e+00,-8.619544e+01
1.145048e+01,7.571128e-01,-8.630983e+01
1.187162e+01,4.541985e-01,-8.642213e+01
1.230824e+01,1.506154e-01,-8.653223e+01
1.276093e+01,-1.536003e-01,-8.664005e+01
1.323027e+01,-4.584139e-01,-8.674552e+01
1.371687e+01,-7.637919e-01,-8.684858e+01
1.422136e+01,-1.069702e+00,-8.694919e+01
1.474441e+01,-1.376114e+00,-8.704734e+01
1.528670e+01,-1.682998e+00,-8.714299e+01
1.584893e+01,-1.990326e+00,-8.723614e+01
1.643184e+01,-2.298072e+00,-8.732680e+01
1.703619e+01,-2.606209e+00,-8.741498e+01
1.766277e+01,-2.914714e+00,-8.750069e+01
1.831239e+01,-3.223564e+00,-8.758396e+01
1.898591e+01,-3.532737e+00,-8.766481e+01
1.968419e+01,-3.842214e+00,-8.774328e+01
2.040816e+01,-4.151974e+00,-8.781940e+01
2.115876e+01,-4.462000e+00,-8.789322e+01
2.193696e+01,-4.772274e+00,-8.796477e+01
2.274379e+01,-5.082781e+00,-8.803411e+01
2.358028e+01,-5.393505e+00,-8.810127e+01
2.444755e+01,-5.704432e+00,-8.816631e+01
2.534671e+01,-6.015549e+00,-8.822928e+01
2.627894e+01,-6.326843e+00,-8.829023e+01
2.724546e+01,-6.638302e+00,-8.834920e+01
2.824752e+01,-6.949916e+00,-8.840625e+01
2.928645e+01,-7.261674e+00,-8.846143e+01
3.036358e+01,-7.573567e+00,-8.851480e+01
3.148033e+01,-7.885585e+00,-8.856639e+01
3.263815e+01,-8.197720e+00,-8.861626e+01
3.383855e+01,-8.509964e+00,-8.866446e+01
3.508311e+01,-8.822310e+00,-8.871105e+01
3.637343e+01,-9.134751e+00,-8.875606e+01
3.771122e+01,-9.447280e+00,-8.879955e+01
3.909821e+01,-9.759892e+00,-8.884156e+01
4.053621e+01,-1.007258e+01,-8.888214e+01
4.202710e+01,-1.038534e+01,-8.892133e+01
4.357282e+01,-1.069817e+01,-8.895918e+01
4.517540e+01,-1.101106e+01,-8.899573e+01
4.683691e+01,-1.132400e+01,-8.903102e+01
4.855953e+01,-1.163700e+01,-8.906509e+01
5.034551e+01,-1.195005e+01,-8.909799e+01
5.219718e+01,-1.226315e+01,-8.912974e+01
5.411695e+01,-1.257629e+01,-8.916040e+01
5.610733e+01,-1.288947e+01,-8.918999e+01
5.817091e+01,-1.320269e+01,-8.921855e+01
6.031039e+01,-1.351595e+01,-8.924611e+01
6.252856e+01,-1.382923e+01,-8.927271e+01
6.482831e+01,-1.414255e+01,-8.929839e+01
6.721264e+01,-1.445590e+01,-8.932316e+01
6.968467e+01,-1.476927e+01,-8.934707e+01
7.224762e+01,-1.508267e+01,-8.937014e+01
7.490483e+01,-1.539609e+01,-8.939240e+01
7.765977e+01,-1.570953e+01,-8.941388e+01
8.051603e+01,-1.602299e+01,-8.943461e+01
8.347734e+01,-1.633647e+01,-8.945461e+01
8.654757e+01,-1.664996e+01,-8.947390e+01
8.973072e+01,-1.696347e+01,-8.949251e+01
9.303095e+01,-1.727700e+01,-8.951047e+01
9.645255e+01,-1.759054e+01,-8.952780e+01
1.000000e+02,-1.790409e+01,-8.954452e+01
