k1,mag1,ang1,re1,im1,k2,mag2,ang2,re2,im2
3.900000e+01,1.429985e+01,1.136713e+02,-5.741231e+00,1.309671e+01,3.900000e+01,1.007772e+01,1.598081e+02,-9.458358e+00,3.478482e+00
4.000000e+01,1.429985e+01,-1.136713e+02,-5.741231e+00,-1.309671e+01,4.000000e+01,1.007772e+01,-1.598081e+02,-9.458358e+00,-3.478482e+00
4.100000e+01,2.223213e+01,1.800000e+02,-2.223213e+01,0.000000e+00,4.100000e+01,3.025815e+01,1.800000e+02,-3.025815e+01,0.000000e+00
4.200000e+01,5.606399e+01,1.680562e+02,-5.485026e+01,1.160257e+01,4.200000e+01,5.619336e+01,1.735439e+02,-5.583701e+01,6.318447e+00
4.300000e+01,5.606399e+01,-1.680562e+02,-5.485026e+01,-1.160257e+01,4.300000e+01,5.619336e+01,-1.735439e+02,-5.583701e+01,-6.318447e+00
4.400000e+01,9.996531e+01,1.800000e+02,-9.996531e+01,0.000000e+00,4.400000e+01,9.998995e+01,1.800000e+02,-9.998995e+01,0.000000e+00
4.500000e+01,7.762577e+00,8.695706e+01,4.120713e-01,7.751633e+00,4.500000e+01,1.134921e+01,9.295495e+01,-5.850610e-01,1.133412e+01
4.600000e+01,7.762577e+00,-8.695706e+01,4.120713e-01,-7.751633e+00,4.600000e+01,1.134921e+01,-9.295495e+01,-5.850610e-01,-1.133412e+01
4.700000e+01,7.095970e-01,1.800000e+02,-7.095970e-01,0.000000e+00,4.700000e+01,7.092526e-01,1.800000e+02,-7.092526e-01,0.000000e+00
4.800000e+01,1.850507e+00,1.800000e+02,-1.850507e+00,0.000000e+00,4.800000e+01,1.606151e+00,1.800000e+02,-1.606151e+00,0.000000e+00
4.900000e+01,3.336279e+00,1.800000e+02,-3.336279e+00,0.000000e+00,4.900000e+01,3.333628e+00,1.800000e+02,-3.333628e+00,0.000000e+00
5.000000e+01,1.427223e+01,1.134870e+02,-5.688080e+00,1.308978e+01,5.000000e+01,1.006988e+01,1.597373e+02,-9.446700e+00,3.487451e+00
5.100000e+01,1.427223e+01,-1.134870e+02,-5.688080e+00,-1.308978e+01,5.100000e+01,1.006988e+01,-1.597373e+02,-9.446700e+00,-3.487451e+00
5.200000e+01,2.222519e+01,1.800000e+02,-2.222519e+01,0.000000e+00,5.200000e+01,3.026143e+01,1.800000e+02,-3.026143e+01,0.000000e+00
5.300000e+01,5.610293e+01,1.680961e+02,-5.489643e+01,1.157244e+01,5.300000e+01,5.620447e+01,1.735603e+02,-5.584984e+01,6.303797e+00
5.400000e+01,5.610293e+01,-1.680961e+02,-5.489643e+01,-1.157244e+01,5.400000e+01,5.620447e+01,-1.735603e+02,-5.584984e+01,-6.303797e+00
5.500000e+01,9.995368e+01,1.800000e+02,-9.995368e+01,0.000000e+00,5.500000e+01,9.998659e+01,1.800000e+02,-9.998659e+01,0.000000e+00
5.600000e+01,7.772516e+00,8.707951e+01,3.960108e-01,7.762421e+00,5.600000e+01,1.135518e+01,9.294738e+01,-5.838699e-01,1.134016e+01
5.700000e+01,7.772516e+00,-8.707951e+01,3.960108e-01,-7.762421e+00,5.700000e+01,1.135518e+01,-9.294738e+01,-5.838699e-01,-1.134016e+01
5.800000e+01,7.096914e-01,1.800000e+02,-7.096914e-01,0.000000e+00,5.800000e+01,7.092608e-01,1.800000e+02,-7.092608e-01,0.000000e+00
5.900000e+01,1.850509e+00,1.800000e+02,-1.850509e+00,0.000000e+00,5.900000e+01,1.606151e+00,1.800000e+02,-1.606151e+00,0.000000e+00
6.000000e+01,3.337018e+00,1.800000e+02,-3.337018e+00,0.000000e+00,6.000000e+01,3.333702e+00,1.800000e+02,-3.333702e+00,0.000000e+00
6.100000e+01,1.424462e+01,1.133018e+02,-5.634802e+00,1.308275e+01,6.100000e+01,1.006205e+01,1.596669e+02,-9.435070e+00,3.496332e+00
6.200000e+01,1.424462e+01,-1.133018e+02,-5.634802e+00,-1.308275e+01,6.200000e+01,1.006205e+01,-1.596669e+02,-9.435070e+00,-3.496332e+00
6.300000e+01,2.221831e+01,1.800000e+02,-2.221831e+01,0.000000e+00,6.300000e+01,3.026470e+01,1.800000e+02,-3.026470e+01,0.000000e+00
6.400000e+01,5.614178e+01,1.681360e+02,-5.494250e+01,1.154216e+01,6.400000e+01,5.621557e+01,1.735766e+02,-5.586267e+01,6.289100e+00
6.500000e+01,5.614178e+01,-1.681360e+02,-5.494250e+01,-1.154216e+01,6.500000e+01,5.621557e+01,-1.735766e+02,-5.586267e+01,-6.289100e+00
6.600000e+01,9.994202e+01,1.800000e+02,-9.994202e+01,0.000000e+00,6.600000e+01,9.998323e+01,1.800000e+02,-9.998323e+01,0.000000e+00
6.700000e+01,7.782499e+00,8.720322e+01,3.797369e-01,7.773229e+00,6.700000e+01,1.136116e+01,9.293976e+01,-5.826672e-01,1.134621e+01
6.800000e+01,7.782499e+00,-8.720322e+01,3.797369e-01,-7.773229e+00,6.800000e+01,1.136116e+01,-9.293976e+01,-5.826672e-01,-1.134621e+01
6.900000e+01,7.097859e-01,1.800000e+02,-7.097859e-01,0.000000e+00,6.900000e+01,7.092689e-01,1.800000e+02,-7.092689e-01,0.000000e+00
7.000000e+01,1.850510e+00,1.800000e+02,-1.850510e+00,0.000000e+00,7.000000e+01,1.606152e+00,1.800000e+02,-1.606152e+00,0.000000e+00
7.100000e+01,3.337759e+00,1.800000e+02,-3.337759e+00,0.000000e+00,7.100000e+01,3.333776e+00,1.800000e+02,-3.333776e+00,0.000000e+00
7.200000e+01,1.421702e+01,1.131155e+02,-5.581394e+00,1.307562e+01,7.200000e+01,1.005424e+01,1.595970e+02,-9.423468e+00,3.505125e+00
7.300000e+01,1.421702e+01,-1.131155e+02,-5.581394e+00,-1.307562e+01,7.300000e+01,1.005424e+01,-1.595970e+02,-9.423468e+00,-3.505125e+00
7.400000e+01,2.221149e+01,1.800000e+02,-2.221149e+01,0.000000e+00,7.400000e+01,3.026795e+01,1.800000e+02,-3.026795e+01,0.000000e+00
7.500000e+01,5.618053e+01,1.681760e+02,-5.498847e+01,1.151174e+01,7.500000e+01,5.622666e+01,1.735930e+02,-5.587549e+01,6.274357e+00
7.600000e+01,5.618053e+01,-1.681760e+02,-5.498847e+01,-1.151174e+01,7.600000e+01,5.622666e+01,-1.735930e+02,-5.587549e+01,-6.274357e+00
7.700000e+01,9.993032e+01,1.800000e+02,-9.993032e+01,0.000000e+00,7.700000e+01,9.997987e+01,1.800000e+02,-9.997987e+01,0.000000e+00
7.800000e+01,7.792526e+00,8.732822e+01,3.632444e-01,7.784055e+00,7.800000e+01,1.136713e+01,9.293208e+01,-5.814529e-01,1.135225e+01
7.900000e+01,7.792526e+00,-8.732822e+01,3.632444e-01,-7.784055e+00,7.900000e+01,1.136713e+01,-9.293208e+01,-5.814529e-01,-1.135225e+01
8.000000e+01,7.098804e-01,1.800000e+02,-7.098804e-01,0.000000e+00,8.000000e+01,7.092771e-01,1.800000e+02,-7.092771e-01,0.000000e+00
8.100000e+01,1.850511e+00,1.800000e+02,-1.850511e+00,0.000000e+00,8.100000e+01,1.606152e+00,1.800000e+02,-1.606152e+00,0.000000e+00
8.200000e+01,3.338501e+00,1.800000e+02,-3.338501e+00,0.000000e+00,8.200000e+01,3.333850e+00,1.800000e+02,-3.333850e+00,0.000000e+00
8.300000e+01,1.418943e+01,1.129281e+02,-5.527848e+00,1.306839e+01,8.300000e+01,1.004643e+01,1.595274e+02,-9.411894e+00,3.513832e+00
8.400000e+01,1.418943e+01,-1.129281e+02,-5.527848e+00,-1.306839e+01,8.400000e+01,1.004643e+01,-1.595274e+02,-9.411894e+00,-3.513832e+00
8.500000e+01,2.220473e+01,1.800000e+02,-2.220473e+01,0.000000e+00,8.500000e+01,3.027119e+01,1.800000e+02,-3.027119e+01,0.000000e+00
8.600000e+01,5.621918e+01,1.682161e+02,-5.503435e+01,1.148117e+01,8.600000e+01,5.623774e+01,1.736094e+02,-5.588830e+01,6.259566e+00
8.700000e+01,5.621918e+01,-1.682161e+02,-5.503435e+01,-1.148117e+01,8.700000e+01,5.623774e+01,-1.736094e+02,-5.588830e+01,-6.259566e+00
8.800000e+01,9.991860e+01,1.800000e+02,-9.991860e+01,0.000000e+00,8.800000e+01,9.997650e+01,1.800000e+02,-9.997650e+01,0.000000e+00
8.900000e+01,7.802596e+00,8.745455e+01,3.465281e-01,7.794897e+00,8.900000e+01,1.137311e+01,9.292435e+01,-5.802269e-01,1.135830e+01
9.000000e+01,7.802596e+00,-8.745455e+01,3.465281e-01,-7.794897e+00,9.000000e+01,1.137311e+01,-9.292435e+01,-5.802269e-01,-1.135830e+01
9.100000e+01,7.099750e-01,1.800000e+02,-7.099750e-01,0.000000e+00,9.100000e+01,7.092853e-01,1.800000e+02,-7.092853e-01,0.000000e+00
9.200000e+01,1.850513e+00,1.800000e+02,-1.850513e+00,0.000000e+00,9.200000e+01,1.606153e+00,1.800000e+02,-1.606153e+00,0.000000e+00
9.300000e+01,3.339244e+00,1.800000e+02,-3.339244e+00,0.000000e+00,9.300000e+01,3.333924e+00,1.800000e+02,-3.333924e+00,0.000000e+00
9.400000e+01,1.416185e+01,1.127395e+02,-5.474159e+00,1.306108e+01,9.400000e+01,1.003864e+01,1.594583e+02,-9.400348e+00,3.522453e+00
9.500000e+01,1.416185e+01,-1.127395e+02,-5.474159e+00,-1.306108e+01,9.500000e+01,1.003864e+01,-1.594583e+02,-9.400348e+00,-3.522453e+00
9.600000e+01,2.219803e+01,1.800000e+02,-2.219803e+01,0.000000e+00,9.600000e+01,3.027442e+01,1.800000e+02,-3.027442e+01,0.000000e+00
