k1,mag1,ang1,re1,im1,k2,mag2,ang2,re2,im2
1.000000e+00,7.723280e+00,8.647933e+01,4.742758e-01,7.708704e+00,1.000000e+00,1.132536e+01,9.298473e+01,-5.897095e-01,1.131000e+01
2.000000e+00,7.723280e+00,-8.647933e+01,4.742758e-01,-7.708704e+00,2.000000e+00,1.132536e+01,-9.298473e+01,-5.897095e-01,-1.131000e+01
3.000000e+00,7.092199e-01,1.800000e+02,-7.092199e-01,0.000000e+00,3.000000e+00,7.092199e-01,1.800000e+02,-7.092199e-01,0.000000e+00
4.000000e+00,1.850502e+00,1.800000e+02,-1.850502e+00,0.000000e+00,4.000000e+00,1.606148e+00,1.800000e+02,-1.606148e+00,0.000000e+00
5.000000e+00,1.438272e+01,1.142182e+02,-5.899980e+00,1.311689e+01,5.000000e+00,1.010130e+01,1.600230e+02,-9.493500e+00,3.451035e+00
6.000000e+00,1.438272e+01,-1.142182e+02,-5.899980e+00,-1.311689e+01,6.000000e+00,1.010130e+01,-1.600230e+02,-9.493500e+00,-3.451035e+00
7.000000e+00,2.225330e+01,1.800000e+02,-2.225330e+01,0.000000e+00,7.000000e+00,3.024823e+01,1.800000e+02,-3.024823e+01,0.000000e+00
8.000000e+00,3.030303e+01,1.800000e+02,-3.030303e+01,0.000000e+00,8.000000e+00,3.030303e+01,1.800000e+02,-3.030303e+01,0.000000e+00
9.000000e+00,5.594657e+01,1.679370e+02,-5.471118e+01,1.169210e+01,9.000000e+00,5.615999e+01,1.734952e+02,-5.579845e+01,6.362119e+00
1.000000e+01,5.594657e+01,-1.679370e+02,-5.471118e+01,-1.169210e+01,1.000000e+01,5.615999e+01,-1.734952e+02,-5.579845e+01,-6.362119e+00
1.100000e+01,1.000000e+02,1.800000e+02,-1.000000e+02,0.000000e+00,1.100000e+01,1.000000e+02,1.800000e+02,-1.000000e+02,0.000000e+00
1.200000e+01,7.724334e+00,8.664367e+01,4.522254e-01,7.711084e+00,1.200000e+01,1.133337e+01,9.300262e+01,-5.936599e-01,1.131781e+01
1.300000e+01,7.724334e+00,-8.664367e+01,4.522254e-01,-7.711084e+00,1.300000e+01,1.133337e+01,-9.300262e+01,-5.936599e-01,-1.131781e+01
1.400000e+01,7.093143e-01,1.800000e+02,-7.093143e-01,0.000000e+00,1.400000e+01,7.092281e-01,1.800000e+02,-7.092281e-01,0.000000e+00
1.500000e+01,1.850504e+00,1.800000e+02,-1.850504e+00,0.000000e+00,1.500000e+01,1.606149e+00,1.800000e+02,-1.606149e+00,0.000000e+00
