k,mag,ang,re,im
1.000000e+00,7.565008e+00,8.818660e+01,2.393906e-01,7.561219e+00
2.000000e+00,7.565008e+00,-8.818660e+01,2.393906e-01,-7.561219e+00
3.000000e+00,2.764385e+02,9.000000e+01,-1.155824e-06,2.764385e+02
4.000000e+00,2.764385e+02,-9.000000e+01,-1.155824e-06,-2.764385e+02
5.000000e+00,1.904671e+02,9.000069e+01,-2.292793e-03,1.904671e+02
6.000000e+00,1.904671e+02,-9.000069e+01,-2.292793e-03,-1.904671e+02
7.000000e+00,1.514296e+02,9.000178e+01,-4.714400e-03,1.514296e+02
8.000000e+00,1.514296e+02,-9.000178e+01,-4.714400e-03,-1.514296e+02
9.000000e+00,1.024050e+02,9.001179e+01,-2.108033e-02,1.024050e+02
1.000000e+01,1.024050e+02,-9.001179e+01,-2.108033e-02,-1.024050e+02
1.100000e+01,2.000000e-01,1.800000e+02,-2.000000e-01,0.000000e+00
1.200000e+01,7.092199e-01,1.800000e+02,-7.092199e-01,0.000000e+00
1.300000e+01,1.848988e+00,1.800000e+02,-1.848988e+00,0.000000e+00
1.400000e+01,2.000000e+00,1.800000e+02,-2.000000e+00,0.000000e+00
1.500000e+01,2.764385e+02,9.079196e+01,-3.820912e+00,2.764121e+02
1.600000e+01,2.764385e+02,-9.079196e+01,-3.820912e+00,-2.764121e+02
1.700000e+01,1.904670e+02,9.272927e+01,-9.069420e+00,1.902509e+02
1.800000e+01,1.904670e+02,-9.272927e+01,-9.069420e+00,-1.902509e+02
1.900000e+01,1.000000e+01,1.800000e+02,-1.000000e+01,0.000000e+00
2.000000e+01,1.514296e+02,9.434229e+01,-1.146546e+01,1.509949e+02
2.100000e+01,1.514296e+02,-9.434229e+01,-1.146546e+01,-1.509949e+02
2.200000e+01,2.293710e+01,1.504337e+02,-1.995036e+01,1.131785e+01
2.300000e+01,2.293710e+01,-1.504337e+02,-1.995036e+01,-1.131785e+01
2.400000e+01,2.530741e+01,1.800000e+02,-2.530741e+01,0.000000e+00
2.500000e+01,1.024050e+02,1.048336e+02,-2.621696e+01,9.899220e+01
