f,g,ph
1.000000e+00,1.192377e+00,1.108045e+02
1.018224e+00,2.123121e+00,1.115560e+02
1.036779e+00,3.144731e+00,1.125339e+02
1.055673e+00,4.277532e+00,1.138293e+02
1.074911e+00,5.548815e+00,1.155859e+02
1.094500e+00,6.995709e+00,1.180431e+02
1.114445e+00,8.668467e+00,1.216244e+02
1.134755e+00,1.063025e+01,1.271357e+02
1.155434e+00,1.293095e+01,1.362171e+02
1.176490e+00,1.544305e+01,1.521610e+02
1.197930e+00,1.725736e+01,1.788482e+02
1.219760e+00,1.675632e+01,-1.501290e+02
1.241989e+00,1.456979e+01,-1.284019e+02
1.264622e+00,1.223839e+01,-1.160769e+02
1.287668e+00,1.022068e+01,-1.089421e+02
1.311134e+00,8.525938e+00,-1.045363e+02
1.335027e+00,7.090985e+00,-1.016668e+02
1.359356e+00,5.857536e+00,-9.973187e+01
1.384129e+00,4.781379e+00,-9.840462e+01
1.409352e+00,3.830026e+00,-9.749509e+01
1.435036e+00,2.979465e+00,-9.688624e+01
1.461187e+00,2.211653e+00,-9.650240e+01
1.487815e+00,1.512777e+00,-9.629272e+01
1.514929e+00,8.720635e-01,-9.622178e+01
1.542536e+00,2.809709e-01,-9.626430e+01
1.570646e+00,-2.673828e-01,-9.640172e+01
1.599269e+00,-7.786195e-01,-9.662017e+01
1.628414e+00,-1.257390e+00,-9.690910e+01
1.658089e+00,-1.707588e+00,-9.726034e+01
1.688305e+00,-2.132505e+00,-9.766749e+01
1.719072e+00,-2.534953e+00,-9.812547e+01
1.750400e+00,-2.917354e+00,-9.863020e+01
1.782298e+00,-3.281811e+00,-9.917838e+01
1.814778e+00,-3.630165e+00,-9.976729e+01
1.847850e+00,-3.964038e+00,-1.003947e+02
1.881524e+00,-4.284869e+00,-1.010587e+02
1.915812e+00,-4.593942e+00,-1.017578e+02
1.950725e+00,-4.892409e+00,-1.024907e+02
1.986274e+00,-5.181312e+00,-1.032561e+02
2.022471e+00,-5.461593e+00,-1.040531e+02
2.059328e+00,-5.734113e+00,-1.048808e+02
2.096856e+00,-5.999659e+00,-1.057385e+02
2.135068e+00,-6.258955e+00,-1.066255e+02
2.173977e+00,-6.512670e+00,-1.075410e+02
2.213594e+00,-6.761423e+00,-1.084846e+02
2.253934e+00,-7.005792e+00,-1.094557e+02
2.295009e+00,-7.246312e+00,-1.104538e+02
2.336832e+00,-7.483488e+00,-1.114783e+02
2.379417e+00,-7.717792e+00,-1.125288e+02
2.422779e+00,-7.949667e+00,-1.136047e+02
2.466930e+00,-8.179533e+00,-1.147056e+02
2.511886e+00,-8.407785e+00,-1.158311e+02
2.557662e+00,-8.634798e+00,-1.169805e+02
2.604272e+00,-8.860926e+00,-1.181534e+02
2.651731e+00,-9.086508e+00,-1.193492e+02
2.700055e+00,-9.311862e+00,-1.205674e+02
2.749259e+00,-9.537293e+00,-1.218075e+02
2.799360e+00,-9.763091e+00,-1.230688e+02
2.850375e+00,-9.989532e+00,-1.243508e+02
2.902319e+00,-1.021688e+01,-1.256528e+02
2.955209e+00,-1.044537e+01,-1.269742e+02
3.009064e+00,-1.067526e+01,-1.283143e+02
3.063899e+00,-1.090677e+01,-1.296724e+02
3.119735e+00,-1.114010e+01,-1.310479e+02
3.176587e+00,-1.137546e+01,-1.324400e+02
3.234476e+00,-1.161305e+01,-1.338479e+02
3.293420e+00,-1.185303e+01,-1.352708e+02
3.353437e+00,-1.209559e+01,-1.367081e+02
3.414549e+00,-1.234089e+01,-1.381589e+02
3.476774e+00,-1.258906e+01,-1.396223e+02
3.540133e+00,-1.284026e+01,-1.410976e+02
3.604647e+00,-1.309460e+01,-1.425839e+02
3.670336e+00,-1.335222e+01,-1.440803e+02
3.737223e+00,-1.361322e+01,-1.455860e+02
3.805329e+00,-1.387771e+01,-1.471002e+02
3.874675e+00,-1.414577e+01,-1.486219e+02
3.945285e+00,-1.441749e+01,-1.501504e+02
4.017183e+00,-1.469295e+01,-1.516846e+02
4.090390e+00,-1.497221e+01,-1.532239e+02
4.164931e+00,-1.525532e+01,-1.547673e+02
4.240831e+00,-1.554235e+01,-1.563139e+02
4.318114e+00,-1.583334e+01,-1.578630e+02
4.396806e+00,-1.612831e+01,-1.594136e+02
4.476931e+00,-1.642730e+01,-1.609651e+02
4.558516e+00,-1.673032e+01,-1.625165e+02
4.641589e+00,-1.703741e+01,-1.640671e+02
4.726175e+00,-1.734855e+01,-1.656162e+02
4.812303e+00,-1.766377e+01,-1.671629e+02
4.900000e+00,-1.798304e+01,-1.687065e+02
4.989295e+00,-1.830638e+01,-1.702464e+02
5.080218e+00,-1.863375e+01,-1.717817e+02
5.172798e+00,-1.896516e+01,-1.733119e+02
5.267064e+00,-1.930057e+01,-1.748363e+02
5.363049e+00,-1.963996e+01,-1.763543e+02
5.460783e+00,-1.998330e+01,-1.778653e+02
5.560298e+00,-2.033056e+01,-1.793686e+02
5.661626e+00,-2.068170e+01,1.791363e+02
5.764801e+00,-2.103669e+01,1.776499e+02
5.869856e+00,-2.139548e+01,1.761727e+02
5.976826e+00,-2.175803e+01,1.747052e+02
6.085745e+00,-2.212429e+01,1.732479e+02
6.196649e+00,-2.249422e+01,1.718013e+02
6.309573e+00,-2.286777e+01,1.703658e+02
6.424556e+00,-2.324489e+01,1.689417e+02
6.541634e+00,-2.362552e+01,1.675295e+02
6.660846e+00,-2.400962e+01,1.661295e+02
6.782231e+00,-2.439712e+01,1.647421e+02
6.905827e+00,-2.478798e+01,1.633676e+02
7.031676e+00,-2.518214e+01,1.620063e+02
7.159818e+00,-2.557954e+01,1.606585e+02
7.290295e+00,-2.598013e+01,1.593245e+02
7.423150e+00,-2.638385e+01,1.580044e+02
7.558426e+00,-2.679064e+01,1.566987e+02
7.696167e+00,-2.720046e+01,1.554074e+02
7.836419e+00,-2.761323e+01,1.541309e+02
7.979226e+00,-2.802892e+01,1.528692e+02
8.124636e+00,-2.844745e+01,1.516226e+02
8.272696e+00,-2.886878e+01,1.503913e+02
8.423454e+00,-2.929285e+01,1.491753e+02
8.576959e+00,-2.971961e+01,1.479749e+02
8.733262e+00,-3.014900e+01,1.467901e+02
8.892413e+00,-3.058098e+01,1.456211e+02
9.054464e+00,-3.101549e+01,1.444680e+02
9.219468e+00,-3.145248e+01,1.433309e+02
9.387480e+00,-3.189191e+01,1.422098e+02
9.558553e+00,-3.233373e+01,1.411048e+02
9.732744e+00,-3.277789e+01,1.400160e+02
9.910109e+00,-3.322436e+01,1.389435e+02
1.009071e+01,-3.367310e+01,1.378872e+02
1.027459e+01,-3.412407e+01,1.368472e+02
1.046183e+01,-3.457724e+01,1.358235e+02
1.065249e+01,-3.503259e+01,1.348161e+02
1.084661e+01,-3.549010e+01,1.338251e+02
1.104428e+01,-3.594976e+01,1.328503e+02
1.124554e+01,-3.641156e+01,1.318918e+02
1.145048e+01,-3.687552e+01,1.309496e+02
1.165914e+01,-3.734166e+01,1.300235e+02
1.187162e+01,-3.781003e+01,1.291135e+02
1.208796e+01,-3.828069e+01,1.282196e+02
1.230824e+01,-3.875375e+01,1.273415e+02
1.253254e+01,-3.922934e+01,1.264793e+02
1.276093e+01,-3.970769e+01,1.256327e+02
1.299348e+01,-4.018907e+01,1.248016e+02
1.323027e+01,-4.067389e+01,1.239858e+02
1.347137e+01,-4.116274e+01,1.231849e+02
1.371687e+01,-4.165648e+01,1.223986e+02
1.396684e+01,-4.215639e+01,1.216265e+02
1.422136e+01,-4.266449e+01,1.208677e+02
