f1,g1,gdb1,ph1,f2,g2,gdb2,ph2
3.698630e+00,2.282121e-01,-1.283323e+01,1.769903e+02,3.698630e+00,1.227956e+00,1.783655e+00,1.794409e+02
3.718200e+00,2.253529e-01,-1.294274e+01,1.765840e+02,3.718200e+00,1.225026e+00,1.762907e+00,1.793720e+02
3.737769e+00,2.225379e-01,-1.305192e+01,1.761813e+02,3.737769e+00,1.222134e+00,1.742374e+00,1.793052e+02
3.757339e+00,2.197664e-01,-1.316077e+01,1.757821e+02,3.757339e+00,1.219278e+00,1.722057e+00,1.792404e+02
3.776908e+00,2.170376e-01,-1.326930e+01,1.753864e+02,3.776908e+00,1.216460e+00,1.701954e+00,1.791777e+02
3.796477e+00,2.143508e-01,-1.337750e+01,1.749941e+02,3.796477e+00,1.213677e+00,1.682065e+00,1.791170e+02
3.816047e+00,2.117052e-01,-1.348537e+01,1.746052e+02,3.816047e+00,1.210931e+00,1.662388e+00,1.790582e+02
3.835616e+00,2.091001e-01,-1.359292e+01,1.742196e+02,3.835616e+00,1.208220e+00,1.642923e+00,1.790013e+02
3.855186e+00,2.065348e-01,-1.370013e+01,1.738373e+02,3.855186e+00,1.205545e+00,1.623670e+00,1.789462e+02
3.874755e+00,2.040087e-01,-1.380703e+01,1.734583e+02,3.874755e+00,1.202905e+00,1.604626e+00,1.788929e+02
3.894325e+00,2.015209e-01,-1.391360e+01,1.730825e+02,3.894325e+00,1.200299e+00,1.585792e+00,1.788414e+02
3.913894e+00,1.990710e-01,-1.401984e+01,1.727099e+02,3.913894e+00,1.197728e+00,1.567165e+00,1.787915e+02
3.933464e+00,1.966581e-01,-1.412576e+01,1.723405e+02,3.933464e+00,1.195191e+00,1.548745e+00,1.787433e+02
3.953033e+00,1.942817e-01,-1.423136e+01,1.719741e+02,3.953033e+00,1.192687e+00,1.530531e+00,1.786968e+02
3.972603e+00,1.919411e-01,-1.433664e+01,1.716108e+02,3.972603e+00,1.190217e+00,1.512522e+00,1.786518e+02
3.992172e+00,1.896358e-01,-1.444160e+01,1.712506e+02,3.992172e+00,1.187779e+00,1.494715e+00,1.786084e+02
4.011742e+00,1.873650e-01,-1.454623e+01,1.708933e+02,4.011742e+00,1.185374e+00,1.477110e+00,1.785665e+02
4.031311e+00,1.851282e-01,-1.465055e+01,1.705390e+02,4.031311e+00,1.183002e+00,1.459706e+00,1.785260e+02
4.050881e+00,1.829248e-01,-1.475455e+01,1.701877e+02,4.050881e+00,1.180661e+00,1.442501e+00,1.784870e+02
4.070450e+00,1.807543e-01,-1.485823e+01,1.698392e+02,4.070450e+00,1.178351e+00,1.425493e+00,1.784493e+02
4.090020e+00,1.786160e-01,-1.496159e+01,1.694936e+02,4.090020e+00,1.176073e+00,1.408682e+00,1.784131e+02
4.109589e+00,1.765095e-01,-1.506464e+01,1.691509e+02,4.109589e+00,1.173825e+00,1.392066e+00,1.783781e+02
4.129159e+00,1.744341e-01,-1.516737e+01,1.688109e+02,4.129159e+00,1.171608e+00,1.375643e+00,1.783445e+02
4.148728e+00,1.723893e-01,-1.526979e+01,1.684737e+02,4.148728e+00,1.169420e+00,1.359412e+00,1.783121e+02
4.168297e+00,1.703747e-01,-1.537190e+01,1.681392e+02,4.168297e+00,1.167263e+00,1.343371e+00,1.782809e+02
4.187867e+00,1.683896e-01,-1.547369e+01,1.678075e+02,4.187867e+00,1.165134e+00,1.327519e+00,1.782509e+02
4.207436e+00,1.664337e-01,-1.557518e+01,1.674784e+02,4.207436e+00,1.163035e+00,1.311854e+00,1.782221e+02
4.227006e+00,1.645063e-01,-1.567635e+01,1.671519e+02,4.227006e+00,1.160964e+00,1.296375e+00,1.781944e+02
4.246575e+00,1.626070e-01,-1.577721e+01,1.668281e+02,4.246575e+00,1.158921e+00,1.281080e+00,1.781678e+02
4.266145e+00,1.607354e-01,-1.587777e+01,1.665068e+02,4.266145e+00,1.156907e+00,1.265967e+00,1.781423e+02
4.285714e+00,1.588909e-01,-1.597802e+01,1.661881e+02,4.285714e+00,1.154920e+00,1.251035e+00,1.781178e+02
4.305284e+00,1.570731e-01,-1.607796e+01,1.658719e+02,4.305284e+00,1.152960e+00,1.236282e+00,1.780944e+02
4.324853e+00,1.552816e-01,-1.617760e+01,1.655582e+02,4.324853e+00,1.151027e+00,1.221707e+00,1.780719e+02
4.344423e+00,1.535158e-01,-1.627694e+01,1.652470e+02,4.344423e+00,1.149120e+00,1.207307e+00,1.780504e+02
4.363992e+00,1.517754e-01,-1.637597e+01,1.649382e+02,4.363992e+00,1.147239e+00,1.193082e+00,1.780299e+02
4.383562e+00,1.500600e-01,-1.647470e+01,1.646318e+02,4.383562e+00,1.145385e+00,1.179029e+00,1.780102e+02
4.403131e+00,1.483691e-01,-1.657313e+01,1.643278e+02,4.403131e+00,1.143556e+00,1.165147e+00,1.779915e+02
4.422701e+00,1.467023e-01,-1.667126e+01,1.640262e+02,4.422701e+00,1.141752e+00,1.151433e+00,1.779736e+02
4.442270e+00,1.450591e-01,-1.676910e+01,1.637269e+02,4.442270e+00,1.139973e+00,1.137888e+00,1.779566e+02
4.461840e+00,1.434393e-01,-1.686663e+01,1.634299e+02,4.461840e+00,1.138218e+00,1.124508e+00,1.779404e+02
4.481409e+00,1.418425e-01,-1.696387e+01,1.631352e+02,4.481409e+00,1.136487e+00,1.111292e+00,1.779249e+02
4.500978e+00,1.402681e-01,-1.706082e+01,1.628427e+02,4.500978e+00,1.134781e+00,1.098238e+00,1.779103e+02
4.520548e+00,1.387159e-01,-1.715747e+01,1.625525e+02,4.520548e+00,1.133097e+00,1.085346e+00,1.778964e+02
4.540117e+00,1.371856e-01,-1.725383e+01,1.622645e+02,4.540117e+00,1.131438e+00,1.072612e+00,1.778833e+02
4.559687e+00,1.356766e-01,-1.734990e+01,1.619786e+02,4.559687e+00,1.129800e+00,1.060035e+00,1.778709e+02
4.579256e+00,1.341887e-01,-1.744568e+01,1.616950e+02,4.579256e+00,1.128186e+00,1.047614e+00,1.778591e+02
4.598826e+00,1.327216e-01,-1.754117e+01,1.614134e+02,4.598826e+00,1.126594e+00,1.035347e+00,1.778481e+02
4.618395e+00,1.312749e-01,-1.763637e+01,1.611340e+02,4.618395e+00,1.125024e+00,1.023232e+00,1.778376e+02
4.637965e+00,1.298482e-01,-1.773128e+01,1.608567e+02,4.637965e+00,1.123475e+00,1.011268e+00,1.778279e+02
4.657534e+00,1.284412e-01,-1.782591e+01,1.605814e+02,4.657534e+00,1.121948e+00,9.994528e-01,1.778187e+02
4.677104e+00,1.270537e-01,-1.792026e+01,1.603082e+02,4.677104e+00,1.120442e+00,9.877847e-01,1.778102e+02
4.696673e+00,1.256852e-01,-1.801432e+01,1.600370e+02,4.696673e+00,1.118956e+00,9.762623e-01,1.778022e+02
4.716243e+00,1.243355e-01,-1.810810e+01,1.597678e+02,4.716243e+00,1.117491e+00,9.648839e-01,1.777949e+02
4.735812e+00,1.230043e-01,-1.820160e+01,1.595006e+02,4.735812e+00,1.116047e+00,9.536478e-01,1.777880e+02
4.755382e+00,1.216912e-01,-1.829482e+01,1.592354e+02,4.755382e+00,1.114622e+00,9.425524e-01,1.777817e+02
4.774951e+00,1.203960e-01,-1.838776e+01,1.589721e+02,4.774951e+00,1.113217e+00,9.315960e-01,1.777760e+02
4.794521e+00,1.191185e-01,-1.848042e+01,1.587107e+02,4.794521e+00,1.111831e+00,9.207772e-01,1.777707e+02
4.814090e+00,1.178582e-01,-1.857281e+01,1.584512e+02,4.814090e+00,1.110465e+00,9.100942e-01,1.777659e+02
4.833659e+00,1.166149e-01,-1.866492e+01,1.581936e+02,4.833659e+00,1.109117e+00,8.995454e-01,1.777616e+02
4.853229e+00,1.153884e-01,-1.875676e+01,1.579379e+02,4.853229e+00,1.107788e+00,8.891294e-01,1.777578e+02
4.872798e+00,1.141784e-01,-1.884832e+01,1.576840e+02,4.872798e+00,1.106477e+00,8.788444e-01,1.777544e+02
4.892368e+00,1.129846e-01,-1.893962e+01,1.574319e+02,4.892368e+00,1.105184e+00,8.686891e-01,1.777515e+02
4.911937e+00,1.118067e-01,-1.903064e+01,1.571817e+02,4.911937e+00,1.103909e+00,8.586617e-01,1.777489e+02
4.931507e+00,1.106446e-01,-1.912140e+01,1.569332e+02,4.931507e+00,1.102651e+00,8.487608e-01,1.777468e+02
4.951076e+00,1.094979e-01,-1.921188e+01,1.566865e+02,4.951076e+00,1.101411e+00,8.389848e-01,1.777451e+02
4.970646e+00,1.083664e-01,-1.930210e+01,1.564415e+02,4.970646e+00,1.100187e+00,8.293322e-01,1.777438e+02
4.990215e+00,1.072499e-01,-1.939206e+01,1.561983e+02,4.990215e+00,1.098981e+00,8.198016e-01,1.777428e+02
5.009785e+00,1.061482e-01,-1.948175e+01,1.559567e+02,5.009785e+00,1.097791e+00,8.103914e-01,1.777422e+02
5.029354e+00,1.050609e-01,-1.957118e+01,1.557169e+02,5.029354e+00,1.096617e+00,8.011001e-01,1.777420e+02
5.048924e+00,1.039879e-01,-1.966034e+01,1.554788e+02,5.048924e+00,1.095459e+00,7.919263e-01,1.777421e+02
5.068493e+00,1.029290e-01,-1.974925e+01,1.552423e+02,5.068493e+00,1.094318e+00,7.828686e-01,1.777426e+02
5.088063e+00,1.018839e-01,-1.983789e+01,1.550074e+02,5.088063e+00,1.093192e+00,7.739254e-01,1.777433e+02
5.107632e+00,1.008524e-01,-1.992628e+01,1.547742e+02,5.107632e+00,1.092081e+00,7.650954e-01,1.777444e+02
5.127202e+00,9.983428e-02,-2.001441e+01,1.545426e+02,5.127202e+00,1.090985e+00,7.563771e-01,1.777458e+02
5.146771e+00,9.882938e-02,-2.010228e+01,1.543126e+02,5.146771e+00,1.089905e+00,7.477691e-01,1.777474e+02
5.166341e+00,9.783746e-02,-2.018990e+01,1.540842e+02,5.166341e+00,1.088839e+00,7.392701e-01,1.777494e+02
5.185910e+00,9.685834e-02,-2.027726e+01,1.538573e+02,5.185910e+00,1.087787e+00,7.308787e-01,1.777516e+02
5.205479e+00,9.589180e-02,-2.036437e+01,1.536320e+02,5.205479e+00,1.086750e+00,7.225935e-01,1.777541e+02
5.225049e+00,9.493766e-02,-2.045123e+01,1.534083e+02,5.225049e+00,1.085727e+00,7.144132e-01,1.777568e+02
5.244618e+00,9.399572e-02,-2.053784e+01,1.531860e+02,5.244618e+00,1.084718e+00,7.063363e-01,1.777598e+02
5.264188e+00,9.306580e-02,-2.062420e+01,1.529653e+02,5.264188e+00,1.083722e+00,6.983617e-01,1.777630e+02
5.283757e+00,9.214771e-02,-2.071031e+01,1.527460e+02,5.283757e+00,1.082741e+00,6.904880e-01,1.777664e+02
5.303327e+00,9.124128e-02,-2.079617e+01,1.525282e+02,5.303327e+00,1.081772e+00,6.827139e-01,1.777701e+02
5.322896e+00,9.034632e-02,-2.088179e+01,1.523119e+02,5.322896e+00,1.080816e+00,6.750381e-01,1.777740e+02
5.342466e+00,8.946266e-02,-2.096716e+01,1.520970e+02,5.342466e+00,1.079874e+00,6.674594e-01,1.777781e+02
5.362035e+00,8.859014e-02,-2.105229e+01,1.518836e+02,5.362035e+00,1.078944e+00,6.599765e-01,1.777824e+02
5.381605e+00,8.772857e-02,-2.113718e+01,1.516715e+02,5.381605e+00,1.078026e+00,6.525881e-01,1.777869e+02
5.401174e+00,8.687779e-02,-2.122182e+01,1.514609e+02,5.401174e+00,1.077121e+00,6.452931e-01,1.777916e+02
