f,g,ph
1.000000e+00,-1.581744e+01,-6.919049e+01
1.011579e+00,-1.523583e+01,-6.873394e+01
1.023293e+00,-1.461989e+01,-6.819591e+01
1.035142e+00,-1.396512e+01,-6.755792e+01
1.047129e+00,-1.326616e+01,-6.679579e+01
1.059254e+00,-1.251653e+01,-6.587737e+01
1.071519e+00,-1.170838e+01,-6.475897e+01
1.083927e+00,-1.083216e+01,-6.337999e+01
1.096478e+00,-9.876188e+00,-6.165419e+01
1.109175e+00,-8.826395e+00,-5.945542e+01
1.122018e+00,-7.666357e+00,-5.659356e+01
1.135011e+00,-6.378720e+00,-5.277326e+01
1.148154e+00,-4.950799e+00,-4.752429e+01
1.161449e+00,-3.392254e+00,-4.009627e+01
1.174898e+00,-1.784076e+00,-2.937365e+01
1.188502e+00,-3.818812e-01,-1.416773e+01
1.202264e+00,3.220431e-01,5.238845e+00
1.216186e+00,-4.782162e-02,2.525083e+01
1.230269e+00,-1.248153e+00,4.164049e+01
1.244515e+00,-2.759563e+00,5.337044e+01
1.258925e+00,-4.264222e+00,6.147031e+01
1.273503e+00,-5.648981e+00,6.713327e+01
1.288250e+00,-6.892734e+00,7.119822e+01
1.303167e+00,-8.005013e+00,7.419486e+01
1.318257e+00,-9.002824e+00,7.645460e+01
1.333521e+00,-9.903079e+00,7.818930e+01
1.348963e+00,-1.072050e+01,7.953842e+01
1.364583e+00,-1.146737e+01,8.059664e+01
1.380384e+00,-1.215377e+01,8.143003e+01
1.396368e+00,-1.278797e+01,8.208592e+01
1.412538e+00,-1.337679e+01,8.259902e+01
1.428894e+00,-1.392588e+01,8.299525e+01
1.445440e+00,-1.443995e+01,8.329437e+01
1.462177e+00,-1.492297e+01,8.351166e+01
1.479108e+00,-1.537830e+01,8.365912e+01
1.496236e+00,-1.580883e+01,8.374626e+01
1.513561e+00,-1.621703e+01,8.378077e+01
1.531087e+00,-1.660504e+01,8.376887e+01
1.548817e+00,-1.697472e+01,8.371567e+01
1.566751e+00,-1.732771e+01,8.362540e+01
1.584893e+00,-1.766545e+01,8.350157e+01
1.603245e+00,-1.798923e+01,8.334716e+01
1.621810e+00,-1.830016e+01,8.316466e+01
1.640590e+00,-1.859928e+01,8.295620e+01
1.659587e+00,-1.888750e+01,8.272359e+01
1.678804e+00,-1.916563e+01,8.246841e+01
