k1,mag1,ang1,re1,im1,k2,mag2,ang2,re2,im2
1.000000e+00,7.723280e+00,8.647933e+01,4.742758e-01,7.708704e+00,1.000000e+00,1.000000e-01,1.800000e+02,-1.000000e-01,0.000000e+00
2.000000e+00,7.723280e+00,-8.647933e+01,4.742758e-01,-7.708704e+00,2.000000e+00,1.132536e+01,9.298473e+01,-5.897095e-01,1.131000e+01
3.000000e+00,1.000000e-01,1.800000e+02,-1.000000e-01,0.000000e+00,3.000000e+00,1.132536e+01,-9.298473e+01,-5.897095e-01,-1.131000e+01
4.000000e+00,1.850502e+00,1.800000e+02,-1.850502e+00,0.000000e+00,4.000000e+00,1.606148e+00,1.800000e+02,-1.606148e+00,0.000000e+00
5.000000e+00,1.438272e+01,1.142182e+02,-5.899980e+00,1.311689e+01,5.000000e+00,1.010130e+01,1.600230e+02,-9.493500e+00,3.451035e+00
6.000000e+00,1.438272e+01,-1.142182e+02,-5.899980e+00,-1.311689e+01,6.000000e+00,1.010130e+01,-1.600230e+02,-9.493500e+00,-3.451035e+00
7.000000e+00,2.225330e+01,1.800000e+02,-2.225330e+01,0.000000e+00,7.000000e+00,3.024823e+01,1.800000e+02,-3.024823e+01,0.000000e+00
8.000000e+00,5.594657e+01,1.679370e+02,-5.471118e+01,1.169210e+01,8.000000e+00,5.615999e+01,1.734952e+02,-5.579845e+01,6.362119e+00
9.000000e+00,5.594657e+01,-1.679370e+02,-5.471118e+01,-1.169210e+01,9.000000e+00,5.615999e+01,-1.734952e+02,-5.579845e+01,-6.362119e+00
1.000000e+01,1.000000e+02,1.800000e+02,-1.000000e+02,0.000000e+00,1.000000e+01,1.000000e+02,1.800000e+02,-1.000000e+02,0.000000e+00
1.100000e+01,1.000000e+02,1.800000e+02,-1.000000e+02,0.000000e+00,1.100000e+01,1.000000e+02,1.800000e+02,-1.000000e+02,0.000000e+00
1.200000e+01,7.724251e+00,8.666374e+01,4.495198e-01,7.711160e+00,1.200000e+01,1.000222e-01,1.800000e+02,-1.000222e-01,0.000000e+00
1.300000e+01,7.724251e+00,-8.666374e+01,4.495198e-01,-7.711160e+00,1.300000e+01,1.136884e+01,9.309249e+01,-6.133262e-01,1.135229e+01
1.400000e+01,1.000066e-01,1.800000e+02,-1.000066e-01,0.000000e+00,1.400000e+01,1.136884e+01,-9.309249e+01,-6.133262e-01,-1.135229e+01
1.500000e+01,1.850363e+00,1.800000e+02,-1.850363e+00,0.000000e+00,1.500000e+01,1.603020e+00,1.800000e+02,-1.603020e+00,0.000000e+00
1.600000e+01,1.438259e+01,1.141205e+02,-5.877548e+00,1.312682e+01,1.600000e+01,1.007397e+01,1.601877e+02,-9.477678e+00,3.414465e+00
1.700000e+01,1.438259e+01,-1.141205e+02,-5.877548e+00,-1.312682e+01,1.700000e+01,1.007397e+01,-1.601877e+02,-9.477678e+00,-3.414465e+00
1.800000e+01,2.225332e+01,1.800000e+02,-2.225332e+01,0.000000e+00,1.800000e+01,3.024723e+01,1.800000e+02,-3.024723e+01,0.000000e+00
1.900000e+01,5.593306e+01,1.679329e+02,-5.469713e+01,1.169320e+01,1.900000e+01,5.612989e+01,1.734700e+02,-5.576574e+01,6.383281e+00
2.000000e+01,5.593306e+01,-1.679329e+02,-5.469713e+01,-1.169320e+01,2.000000e+01,5.612989e+01,-1.734700e+02,-5.576574e+01,-6.383281e+00
2.100000e+01,1.000128e+02,1.797385e+02,-1.000118e+02,4.563917e-01,2.100000e+01,1.000293e+02,1.796108e+02,-1.000270e+02,6.794358e-01
2.200000e+01,1.000128e+02,-1.797385e+02,-1.000118e+02,-4.563917e-01,2.200000e+01,1.000293e+02,-1.796108e+02,-1.000270e+02,-6.794358e-01
2.300000e+01,7.725151e+00,8.684858e+01,4.246896e-01,7.713469e+00,2.300000e+01,1.000444e-01,1.800000e+02,-1.000444e-01,0.000000e+00
2.400000e+01,7.725151e+00,-8.684858e+01,4.246896e-01,-7.713469e+00,2.400000e+01,1.141245e+01,9.319843e+01,-6.367479e-01,1.139467e+01
2.500000e+01,1.000133e-01,1.800000e+02,-1.000133e-01,0.000000e+00,2.500000e+01,1.141245e+01,-9.319843e+01,-6.367479e-01,-1.139467e+01
2.600000e+01,1.850224e+00,1.800000e+02,-1.850224e+00,0.000000e+00,2.600000e+01,1.599891e+00,1.800000e+02,-1.599891e+00,0.000000e+00
2.700000e+01,1.438261e+01,1.140223e+02,-5.855041e+00,1.313689e+01,2.700000e+01,1.004679e+01,1.603558e+02,-9.462047e+00,3.377518e+00
2.800000e+01,1.438261e+01,-1.140223e+02,-5.855041e+00,-1.313689e+01,2.800000e+01,1.004679e+01,-1.603558e+02,-9.462047e+00,-3.377518e+00
2.900000e+01,2.225333e+01,1.800000e+02,-2.225333e+01,0.000000e+00,2.900000e+01,3.024622e+01,1.800000e+02,-3.024622e+01,0.000000e+00
3.000000e+01,5.591957e+01,1.679288e+02,-5.468311e+01,1.169428e+01,3.000000e+01,5.609987e+01,1.734450e+02,-5.573313e+01,6.404155e+00
3.100000e+01,5.591957e+01,-1.679288e+02,-5.468311e+01,-1.169428e+01,3.100000e+01,5.609987e+01,-1.734450e+02,-5.573313e+01,-6.404155e+00
3.200000e+01,1.000256e+02,1.796305e+02,-1.000235e+02,6.450259e-01,3.200000e+01,1.000584e+02,1.794506e+02,-1.000538e+02,9.593605e-01
3.300000e+01,1.000256e+02,-1.796305e+02,-1.000235e+02,-6.450259e-01,3.300000e+01,1.000584e+02,-1.794506e+02,-1.000538e+02,-9.593605e-01
3.400000e+01,7.725977e+00,8.703386e+01,3.997863e-01,7.715626e+00,3.400000e+01,1.000667e-01,1.800000e+02,-1.000667e-01,0.000000e+00
3.500000e+01,7.725977e+00,-8.703386e+01,3.997863e-01,-7.715626e+00,3.500000e+01,1.145617e+01,9.330255e+01,-6.599732e-01,1.143715e+01
3.600000e+01,1.000199e-01,1.800000e+02,-1.000199e-01,0.000000e+00,3.600000e+01,1.145617e+01,-9.330255e+01,-6.599732e-01,-1.143715e+01
3.700000e+01,1.850084e+00,1.800000e+02,-1.850084e+00,0.000000e+00,3.700000e+01,1.596759e+00,1.800000e+02,-1.596759e+00,0.000000e+00
3.800000e+01,1.438276e+01,1.139236e+02,-5.832459e+00,1.314710e+01,3.800000e+01,1.001974e+01,1.605271e+02,-9.446607e+00,3.340189e+00
3.900000e+01,1.438276e+01,-1.139236e+02,-5.832459e+00,-1.314710e+01,3.900000e+01,1.001974e+01,-1.605271e+02,-9.446607e+00,-3.340189e+00
4.000000e+01,2.225334e+01,1.800000e+02,-2.225334e+01,0.000000e+00,4.000000e+01,3.024521e+01,1.800000e+02,-3.024521e+01,0.000000e+00
4.100000e+01,5.590609e+01,1.679247e+02,-5.466910e+01,1.169535e+01,4.100000e+01,5.606994e+01,1.734203e+02,-5.570064e+01,6.424743e+00
4.200000e+01,5.590609e+01,-1.679247e+02,-5.466910e+01,-1.169535e+01,4.200000e+01,5.606994e+01,-1.734203e+02,-5.570064e+01,-6.424743e+00
4.300000e+01,1.000384e+02,1.795478e+02,-1.000353e+02,7.894917e-01,4.300000e+01,1.000875e+02,1.793284e+02,-1.000806e+02,1.173136e+00
4.400000e+01,1.000384e+02,-1.795478e+02,-1.000353e+02,-7.894917e-01,4.400000e+01,1.000875e+02,-1.793284e+02,-1.000806e+02,-1.173136e+00
4.500000e+01,7.726727e+00,8.721958e+01,3.748110e-01,7.717631e+00,4.500000e+01,1.000890e-01,1.800000e+02,-1.000890e-01,0.000000e+00
4.600000e+01,7.726727e+00,-8.721958e+01,3.748110e-01,-7.717631e+00,4.600000e+01,1.150001e+01,9.340487e+01,-6.830004e-01,1.147971e+01
4.700000e+01,1.000266e-01,1.800000e+02,-1.000266e-01,0.000000e+00,4.700000e+01,1.150001e+01,-9.340487e+01,-6.830004e-01,-1.147971e+01
4.800000e+01,1.849945e+00,1.800000e+02,-1.849945e+00,0.000000e+00,4.800000e+01,1.593627e+00,1.800000e+02,-1.593627e+00,0.000000e+00
4.900000e+01,1.438305e+01,1.138243e+02,-5.809803e+00,1.315744e+01,4.900000e+01,9.992841e+00,1.607019e+02,-9.431360e+00,3.302473e+00
5.000000e+01,1.438305e+01,-1.138243e+02,-5.809803e+00,-1.315744e+01,5.000000e+01,9.992841e+00,-1.607019e+02,-9.431360e+00,-3.302473e+00
5.100000e+01,2.225336e+01,1.800000e+02,-2.225336e+01,0.000000e+00,5.100000e+01,3.024421e+01,1.800000e+02,-3.024421e+01,0.000000e+00
5.200000e+01,5.589263e+01,1.679207e+02,-5.465511e+01,1.169641e+01,5.200000e+01,5.604009e+01,1.733959e+02,-5.566824e+01,6.445052e+00
5.300000e+01,5.589263e+01,-1.679207e+02,-5.465511e+01,-1.169641e+01,5.300000e+01,5.604009e+01,-1.733959e+02,-5.566824e+01,-6.445052e+00
5.400000e+01,1.000512e+02,1.794783e+02,-1.000470e+02,9.110498e-01,5.400000e+01,1.001164e+02,1.792259e+02,-1.001073e+02,1.352513e+00
5.500000e+01,1.000512e+02,-1.794783e+02,-1.000470e+02,-9.110498e-01,5.500000e+01,1.001164e+02,-1.792259e+02,-1.001073e+02,-1.352513e+00
5.600000e+01,7.727400e+00,8.740574e+01,3.497650e-01,7.719480e+00,5.600000e+01,1.001113e-01,1.800000e+02,-1.001113e-01,0.000000e+00
5.700000e+01,7.727400e+00,-8.740574e+01,3.497650e-01,-7.719480e+00,5.700000e+01,1.154395e+01,9.350540e+01,-7.058284e-01,1.152235e+01
5.800000e+01,1.000332e-01,1.800000e+02,-1.000332e-01,0.000000e+00,5.800000e+01,1.154395e+01,-9.350540e+01,-7.058284e-01,-1.152235e+01
5.900000e+01,1.849805e+00,1.800000e+02,-1.849805e+00,0.000000e+00,5.900000e+01,1.590492e+00,1.800000e+02,-1.590492e+00,0.000000e+00
6.000000e+01,1.438349e+01,1.137246e+02,-5.787075e+00,1.316794e+01,6.000000e+01,9.966089e+00,1.608800e+02,-9.416307e+00,3.264366e+00
6.100000e+01,1.438349e+01,-1.137246e+02,-5.787075e+00,-1.316794e+01,6.100000e+01,9.966089e+00,-1.608800e+02,-9.416307e+00,-3.264366e+00
6.200000e+01,2.225337e+01,1.800000e+02,-2.225337e+01,0.000000e+00,6.200000e+01,3.024320e+01,1.800000e+02,-3.024320e+01,0.000000e+00
6.300000e+01,5.587919e+01,1.679166e+02,-5.464113e+01,1.169745e+01,6.300000e+01,5.601033e+01,1.733718e+02,-5.563596e+01,6.465086e+00
6.400000e+01,5.587919e+01,-1.679166e+02,-5.464113e+01,-1.169745e+01,6.400000e+01,5.601033e+01,-1.733718e+02,-5.563596e+01,-6.465086e+00
6.500000e+01,1.000639e+02,1.794171e+02,-1.000587e+02,1.017941e+00,6.500000e+01,1.001452e+02,1.791362e+02,-1.001339e+02,1.509810e+00
6.600000e+01,1.000639e+02,-1.794171e+02,-1.000587e+02,-1.017941e+00,6.600000e+01,1.001452e+02,-1.791362e+02,-1.001339e+02,-1.509810e+00
6.700000e+01,7.727994e+00,8.759232e+01,3.246493e-01,7.721171e+00,6.700000e+01,1.001336e-01,1.800000e+02,-1.001336e-01,0.000000e+00
6.800000e+01,7.727994e+00,-8.759232e+01,3.246493e-01,-7.721171e+00,6.800000e+01,1.158800e+01,9.360416e+01,-7.284560e-01,1.156508e+01
6.900000e+01,1.000398e-01,1.800000e+02,-1.000398e-01,0.000000e+00,6.900000e+01,1.158800e+01,-9.360416e+01,-7.284560e-01,-1.156508e+01
7.000000e+01,1.849664e+00,1.800000e+02,-1.849664e+00,0.000000e+00,7.000000e+01,1.587357e+00,1.800000e+02,-1.587357e+00,0.000000e+00
7.100000e+01,1.438408e+01,1.136245e+02,-5.764276e+00,1.317857e+01,7.100000e+01,9.939489e+00,1.610617e+02,-9.401450e+00,3.225862e+00
7.200000e+01,1.438408e+01,-1.136245e+02,-5.764276e+00,-1.317857e+01,7.200000e+01,9.939489e+00,-1.610617e+02,-9.401450e+00,-3.225862e+00
7.300000e+01,2.225339e+01,1.800000e+02,-2.225339e+01,0.000000e+00,7.300000e+01,3.024219e+01,1.800000e+02,-3.024219e+01,0.000000e+00
7.400000e+01,5.586576e+01,1.679126e+02,-5.462718e+01,1.169848e+01,7.400000e+01,5.598065e+01,1.733479e+02,-5.560378e+01,6.484849e+00
7.500000e+01,5.586576e+01,-1.679126e+02,-5.462718e+01,-1.169848e+01,7.500000e+01,5.598065e+01,-1.733479e+02,-5.560378e+01,-6.484849e+00
7.600000e+01,1.000766e+02,1.793620e+02,-1.000704e+02,1.114395e+00,7.600000e+01,1.001739e+02,1.790554e+02,-1.001603e+02,1.651359e+00
