t,v1,v2
0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-02,-1.183708e-10,-1.844065e-09
6.666667e-02,2.451980e-07,-1.384089e-07
1.000000e-01,3.565616e-06,-1.257345e-06
1.333333e-01,1.847082e-05,-5.439001e-06
1.666667e-01,5.812705e-05,-1.591452e-05
2.000000e-01,1.360791e-04,-3.646418e-05
2.333333e-01,2.619675e-04,-7.067372e-05
2.666667e-01,4.391785e-04,-1.214835e-04
3.000000e-01,6.646893e-04,-1.912597e-04
3.333333e-01,9.304040e-04,-2.823172e-04
3.666667e-01,1.225062e-03,-3.976138e-04
4.000000e-01,1.536036e-03,-5.412973e-04
4.333333e-01,1.850688e-03,-7.188830e-04
4.666667e-01,2.157251e-03,-9.369963e-04
5.000000e-01,2.445347e-03,-1.202750e-03
5.333333e-01,2.706279e-03,-1.522911e-03
5.666667e-01,2.933202e-03,-1.903033e-03
6.000000e-01,3.121215e-03,-2.346690e-03
6.333333e-01,3.267384e-03,-2.854926e-03
6.666667e-01,3.370698e-03,-3.425952e-03
7.000000e-01,3.431933e-03,-4.055104e-03
7.333333e-01,3.453441e-03,-4.735037e-03
7.666667e-01,3.438882e-03,-5.456110e-03
8.000000e-01,3.392904e-03,-6.206911e-03
8.333333e-01,3.320813e-03,-6.974876e-03
8.666667e-01,3.228243e-03,-7.746948e-03
9.000000e-01,3.120849e-03,-8.510222e-03
9.333333e-01,3.004036e-03,-9.252556e-03
9.666667e-01,2.882735e-03,-9.963089e-03
1.000000e+00,2.761224e-03,-1.063266e-02
1.033333e+00,2.643004e-03,-1.125412e-02
1.066667e+00,2.530488e-03,-1.182234e-02
1.100000e+00,2.422635e-03,-1.233373e-02
1.133333e+00,2.311880e-03,-1.278561e-02
1.166667e+00,2.185223e-03,-1.317614e-02
1.200000e+00,2.028593e-03,-1.350467e-02
1.233333e+00,1.831254e-03,-1.377218e-02
1.266667e+00,1.588283e-03,-1.398136e-02
1.300000e+00,1.300859e-03,-1.413619e-02
1.333333e+00,9.750664e-04,-1.424106e-02
1.366667e+00,6.201103e-04,-1.429968e-02
1.400000e+00,2.466363e-04,-1.431431e-02
1.433333e+00,-1.345312e-04,-1.428526e-02
1.466667e+00,-5.131933e-04,-1.421098e-02
1.500000e+00,-8.802394e-04,-1.408855e-02
1.533333e+00,-1.227906e-03,-1.391441e-02
1.566667e+00,-1.549933e-03,-1.368522e-02
1.600000e+00,-1.841665e-03,-1.339868e-02
1.633333e+00,-2.100096e-03,-1.305411e-02
1.666667e+00,-2.323861e-03,-1.265290e-02
1.700000e+00,-2.513144e-03,-1.219871e-02
1.733333e+00,-2.669527e-03,-1.169737e-02
1.766667e+00,-2.795768e-03,-1.115671e-02
1.800000e+00,-2.895544e-03,-1.058616e-02
1.833333e+00,-2.973167e-03,-9.996278e-03
1.866667e+00,-3.033310e-03,-9.398241e-03
1.900000e+00,-3.080735e-03,-8.803282e-03
1.933333e+00,-3.120057e-03,-8.222172e-03
1.966667e+00,-3.155540e-03,-7.664752e-03
2.000000e+00,-3.190939e-03,-7.139543e-03
2.033333e+00,-3.229382e-03,-6.653447e-03
2.066667e+00,-3.273293e-03,-6.211563e-03
2.100000e+00,-3.324371e-03,-5.817093e-03
2.133333e+00,-3.383592e-03,-5.471365e-03
2.166667e+00,-3.451254e-03,-5.173940e-03
2.200000e+00,-3.527054e-03,-4.922795e-03
2.233333e+00,-3.610173e-03,-4.714572e-03
2.266667e+00,-3.699389e-03,-4.544860e-03
2.300000e+00,-3.793191e-03,-4.408509e-03
2.333333e+00,-3.889892e-03,-4.299937e-03
2.366667e+00,-3.987740e-03,-4.213437e-03
2.400000e+00,-4.085019e-03,-4.143444e-03
2.433333e+00,-4.180134e-03,-4.084777e-03
