k,mag,ang,re,im
1.000000e+00,1.132536e+01,9.298473e+01,-5.897095e-01,1.131000e+01
2.000000e+00,1.132536e+01,-9.298473e+01,-5.897095e-01,-1.131000e+01
3.000000e+00,7.092199e-01,1.800000e+02,-7.092199e-01,0.000000e+00
4.000000e+00,1.606148e+00,1.800000e+02,-1.606148e+00,0.000000e+00
5.000000e+00,1.010130e+01,1.600230e+02,-9.493500e+00,3.451035e+00
6.000000e+00,1.010130e+01,-1.600230e+02,-9.493500e+00,-3.451035e+00
7.000000e+00,3.024823e+01,1.800000e+02,-3.024823e+01,0.000000e+00
8.000000e+00,3.030303e+01,1.800000e+02,-3.030303e+01,0.000000e+00
9.000000e+00,5.615999e+01,1.734952e+02,-5.579845e+01,6.362119e+00
1.000000e+01,5.615999e+01,-1.734952e+02,-5.579845e+01,-6.362119e+00
1.100000e+01,1.139179e+01,9.312760e+01,-6.215337e-01,1.137482e+01
1.200000e+01,1.139179e+01,-9.312760e+01,-6.215337e-01,-1.137482e+01
1.300000e+01,7.107504e-01,1.800000e+02,-7.107504e-01,0.000000e+00
1.400000e+01,1.601357e+00,1.800000e+02,-1.601357e+00,0.000000e+00
1.500000e+01,1.002027e+01,1.595809e+02,-9.390653e+00,3.495911e+00
1.600000e+01,1.002027e+01,-1.595809e+02,-9.390653e+00,-3.495911e+00
1.700000e+01,3.035651e+01,1.791617e+02,-3.035326e+01,4.441137e-01
1.800000e+01,3.035651e+01,-1.791617e+02,-3.035326e+01,-4.441137e-01
1.900000e+01,5.615736e+01,1.734739e+02,-5.579347e+01,6.382572e+00
2.000000e+01,5.615736e+01,-1.734739e+02,-5.579347e+01,-6.382572e+00
2.100000e+01,1.145895e+01,9.326513e+01,-6.526613e-01,1.144035e+01
2.200000e+01,1.145895e+01,-9.326513e+01,-6.526613e-01,-1.144035e+01
2.300000e+01,7.122977e-01,1.800000e+02,-7.122977e-01,0.000000e+00
2.400000e+01,1.596537e+00,1.800000e+02,-1.596537e+00,0.000000e+00
2.500000e+01,9.940309e+00,1.591619e+02,-9.290106e+00,3.536051e+00
2.600000e+01,9.940309e+00,-1.591619e+02,-9.290106e+00,-3.536051e+00
2.700000e+01,3.043552e+01,1.788399e+02,-3.042928e+01,6.162060e-01
2.800000e+01,3.043552e+01,-1.788399e+02,-3.042928e+01,-6.162060e-01
2.900000e+01,5.615475e+01,1.734526e+02,-5.578851e+01,6.403028e+00
3.000000e+01,5.615475e+01,-1.734526e+02,-5.578851e+01,-6.403028e+00
3.100000e+01,1.152682e+01,9.339723e+01,-6.830569e-01,1.150657e+01
3.200000e+01,1.152682e+01,-9.339723e+01,-6.830569e-01,-1.150657e+01
3.300000e+01,7.138622e-01,1.800000e+02,-7.138622e-01,0.000000e+00
3.400000e+01,1.591688e+00,1.800000e+02,-1.591688e+00,0.000000e+00
3.500000e+01,9.861399e+00,1.587645e+02,-9.191807e+00,3.571817e+00
3.600000e+01,9.861399e+00,-1.587645e+02,-9.191807e+00,-3.571817e+00
3.700000e+01,3.051276e+01,1.786104e+02,-3.050379e+01,7.399800e-01
3.800000e+01,3.051276e+01,-1.786104e+02,-3.050379e+01,-7.399800e-01
3.900000e+01,5.615217e+01,1.734313e+02,-5.578355e+01,6.423487e+00
4.000000e+01,5.615217e+01,-1.734313e+02,-5.578355e+01,-6.423487e+00
4.100000e+01,1.159537e+01,9.352379e+01,-7.126866e-01,1.157344e+01
4.200000e+01,1.159537e+01,-9.352379e+01,-7.126866e-01,-1.157344e+01
4.300000e+01,7.154442e-01,1.800000e+02,-7.154442e-01,0.000000e+00
4.400000e+01,1.586809e+00,1.800000e+02,-1.586809e+00,0.000000e+00
4.500000e+01,9.783525e+00,1.583876e+02,-9.095709e+00,3.603532e+00
4.600000e+01,9.783525e+00,-1.583876e+02,-9.095709e+00,-3.603532e+00
4.700000e+01,3.058832e+01,1.784308e+02,-3.057684e+01,8.376403e-01
4.800000e+01,3.058832e+01,-1.784308e+02,-3.057684e+01,-8.376403e-01
4.900000e+01,5.614960e+01,1.734100e+02,-5.577861e+01,6.443949e+00
5.000000e+01,5.614960e+01,-1.734100e+02,-5.577861e+01,-6.443949e+00
5.100000e+01,7.170442e-01,1.800000e+02,-7.170442e-01,0.000000e+00
5.200000e+01,1.166454e+01,9.364476e+01,-7.415178e-01,1.164095e+01
5.300000e+01,1.166454e+01,-9.364476e+01,-7.415178e-01,-1.164095e+01
5.400000e+01,1.581901e+00,1.800000e+02,-1.581901e+00,0.000000e+00
5.500000e+01,9.706677e+00,1.580299e+02,-9.001772e+00,3.631484e+00
5.600000e+01,9.706677e+00,-1.580299e+02,-9.001772e+00,-3.631484e+00
5.700000e+01,3.066228e+01,1.782844e+02,-3.064853e+01,9.179731e-01
5.800000e+01,3.066228e+01,-1.782844e+02,-3.064853e+01,-9.179731e-01
5.900000e+01,5.614706e+01,1.733887e+02,-5.577368e+01,6.464415e+00
6.000000e+01,5.614706e+01,-1.733887e+02,-5.577368e+01,-6.464415e+00
6.100000e+01,7.186626e-01,1.800000e+02,-7.186626e-01,0.000000e+00
6.200000e+01,1.173432e+01,9.376007e+01,-7.695198e-01,1.170906e+01
6.300000e+01,1.173432e+01,-9.376007e+01,-7.695198e-01,-1.170906e+01
6.400000e+01,1.576962e+00,1.800000e+02,-1.576962e+00,0.000000e+00
6.500000e+01,9.630847e+00,1.576907e+02,-8.909958e+00,3.655935e+00
6.600000e+01,9.630847e+00,-1.576907e+02,-8.909958e+00,-3.655935e+00
6.700000e+01,3.073473e+01,1.781624e+02,-3.071892e+01,9.855763e-01
6.800000e+01,3.073473e+01,-1.781624e+02,-3.071892e+01,-9.855763e-01
