t,s1,s2,s3,s4
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
8.333333e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
4.166667e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
5.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
5.833333e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
6.666667e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.500000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
8.333333e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
9.166667e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.083333e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.166667e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.250000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.333333e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.416667e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.500000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.583333e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.750000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.833333e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.916667e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.083333e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.166667e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
