f,m1,p1,m2,p2,m3,p3
1.000000e-02,2.602172e+01,8.807495e-01,2.602497e+01,1.780232e+00,2.603789e+01,3.576097e+00
1.046183e-02,2.602182e+01,9.214182e-01,2.602539e+01,1.862390e+00,2.603952e+01,3.740787e+00
1.094500e-02,2.602194e+01,9.639641e-01,2.602584e+01,1.948335e+00,2.604131e+01,3.913016e+00
1.145048e-02,2.602206e+01,1.008474e+00,2.602634e+01,2.038239e+00,2.604326e+01,4.093122e+00
1.197930e-02,2.602220e+01,1.055037e+00,2.602688e+01,2.132284e+00,2.604540e+01,4.281458e+00
1.253254e-02,2.602235e+01,1.103750e+00,2.602747e+01,2.230660e+00,2.604773e+01,4.478391e+00
1.311134e-02,2.602252e+01,1.154711e+00,2.602812e+01,2.333564e+00,2.605029e+01,4.684304e+00
1.371687e-02,2.602270e+01,1.208023e+00,2.602883e+01,2.441205e+00,2.605308e+01,4.899594e+00
1.435036e-02,2.602290e+01,1.263794e+00,2.602960e+01,2.553797e+00,2.605614e+01,5.124677e+00
1.501311e-02,2.602312e+01,1.322139e+00,2.603046e+01,2.671568e+00,2.605948e+01,5.359982e+00
1.570646e-02,2.602335e+01,1.383175e+00,2.603139e+01,2.794752e+00,2.606314e+01,5.605957e+00
1.643184e-02,2.602361e+01,1.447027e+00,2.603240e+01,2.923597e+00,2.606714e+01,5.863066e+00
1.719072e-02,2.602390e+01,1.513823e+00,2.603352e+01,3.058360e+00,2.607151e+01,6.131792e+00
1.798465e-02,2.602421e+01,1.583699e+00,2.603474e+01,3.199309e+00,2.607629e+01,6.412634e+00
1.881524e-02,2.602455e+01,1.656797e+00,2.603607e+01,3.346725e+00,2.608152e+01,6.706110e+00
1.968419e-02,2.602493e+01,1.733265e+00,2.603753e+01,3.500900e+00,2.608724e+01,7.012756e+00
2.059328e-02,2.602533e+01,1.813258e+00,2.603912e+01,3.662139e+00,2.609348e+01,7.333124e+00
2.154435e-02,2.602578e+01,1.896936e+00,2.604087e+01,3.830761e+00,2.610031e+01,7.667787e+00
2.253934e-02,2.602627e+01,1.984470e+00,2.604278e+01,4.007096e+00,2.610777e+01,8.017333e+00
2.358028e-02,2.602681e+01,2.076036e+00,2.604487e+01,4.191491e+00,2.611591e+01,8.382370e+00
2.466930e-02,2.602739e+01,2.171819e+00,2.604716e+01,4.384306e+00,2.612482e+01,8.763521e+00
2.580862e-02,2.602803e+01,2.272011e+00,2.604966e+01,4.585916e+00,2.613454e+01,9.161425e+00
2.700055e-02,2.602873e+01,2.376814e+00,2.605240e+01,4.796711e+00,2.614516e+01,9.576737e+00
2.824752e-02,2.602950e+01,2.486440e+00,2.605539e+01,5.017097e+00,2.615675e+01,1.001013e+01
2.955209e-02,2.603034e+01,2.601107e+00,2.605867e+01,5.247496e+00,2.616940e+01,1.046228e+01
3.091691e-02,2.603126e+01,2.721047e+00,2.606225e+01,5.488349e+00,2.618321e+01,1.093387e+01
3.234476e-02,2.603227e+01,2.846498e+00,2.606616e+01,5.740109e+00,2.619827e+01,1.142563e+01
3.383855e-02,2.603337e+01,2.977712e+00,2.607045e+01,6.003251e+00,2.621470e+01,1.193824e+01
3.540133e-02,2.603458e+01,3.114950e+00,2.607513e+01,6.278264e+00,2.623261e+01,1.247242e+01
3.703629e-02,2.603589e+01,3.258486e+00,2.608025e+01,6.565657e+00,2.625213e+01,1.302888e+01
3.874675e-02,2.603734e+01,3.408603e+00,2.608584e+01,6.865957e+00,2.627340e+01,1.360833e+01
4.053621e-02,2.603891e+01,3.565600e+00,2.609196e+01,7.179706e+00,2.629656e+01,1.421146e+01
4.240831e-02,2.604064e+01,3.729786e+00,2.609865e+01,7.507467e+00,2.632177e+01,1.483897e+01
4.436687e-02,2.604253e+01,3.901484e+00,2.610595e+01,7.849818e+00,2.634921e+01,1.549151e+01
4.641589e-02,2.604460e+01,4.081032e+00,2.611394e+01,8.207357e+00,2.637904e+01,1.616973e+01
4.855953e-02,2.604686e+01,4.268780e+00,2.612266e+01,8.580698e+00,2.641146e+01,1.687423e+01
5.080218e-02,2.604933e+01,4.465094e+00,2.613218e+01,8.970469e+00,2.644668e+01,1.760558e+01
5.314840e-02,2.605204e+01,4.670355e+00,2.614259e+01,9.377316e+00,2.648491e+01,1.836431e+01
5.560298e-02,2.605500e+01,4.884957e+00,2.615395e+01,9.801899e+00,2.652638e+01,1.915087e+01
5.817091e-02,2.605824e+01,5.109313e+00,2.616635e+01,1.024489e+01,2.657132e+01,1.996566e+01
6.085745e-02,2.606178e+01,5.343852e+00,2.617988e+01,1.070697e+01,2.662000e+01,2.080899e+01
6.366805e-02,2.606565e+01,5.589016e+00,2.619465e+01,1.118884e+01,2.667268e+01,2.168110e+01
6.660846e-02,2.606989e+01,5.845268e+00,2.621076e+01,1.169119e+01,2.672963e+01,2.258211e+01
6.968467e-02,2.607452e+01,6.113087e+00,2.622832e+01,1.221473e+01,2.679114e+01,2.351204e+01
7.290295e-02,2.607958e+01,6.392967e+00,2.624747e+01,1.276016e+01,2.685750e+01,2.447079e+01
7.626986e-02,2.608512e+01,6.685423e+00,2.626833e+01,1.332819e+01,2.692902e+01,2.545813e+01
7.979226e-02,2.609117e+01,6.990986e+00,2.629106e+01,1.391951e+01,2.700600e+01,2.647366e+01
8.347734e-02,2.609779e+01,7.310203e+00,2.631580e+01,1.453480e+01,2.708876e+01,2.751686e+01
8.733262e-02,2.610502e+01,7.643641e+00,2.634273e+01,1.517473e+01,2.717762e+01,2.858702e+01
9.136594e-02,2.611292e+01,7.991882e+00,2.637202e+01,1.583995e+01,2.727288e+01,2.968329e+01
9.558553e-02,2.612155e+01,8.355527e+00,2.640386e+01,1.653105e+01,2.737488e+01,3.080460e+01
1.000000e-01,2.613098e+01,8.735191e+00,2.643846e+01,1.724863e+01,2.748391e+01,3.194974e+01
1.046183e-01,2.614127e+01,9.131505e+00,2.647604e+01,1.799320e+01,2.760027e+01,3.311729e+01
1.094500e-01,2.615252e+01,9.545114e+00,2.651680e+01,1.876524e+01,2.772425e+01,3.430567e+01
1.145048e-01,2.616480e+01,9.976677e+00,2.656101e+01,1.956516e+01,2.785613e+01,3.551312e+01
1.197930e-01,2.617820e+01,1.042686e+01,2.660891e+01,2.039330e+01,2.799617e+01,3.673769e+01
1.253254e-01,2.619283e+01,1.089635e+01,2.666076e+01,2.124990e+01,2.814459e+01,3.797729e+01
1.311134e-01,2.620878e+01,1.138583e+01,2.671685e+01,2.213512e+01,2.830161e+01,3.922969e+01
1.371687e-01,2.622618e+01,1.189599e+01,2.677745e+01,2.304901e+01,2.846741e+01,4.049253e+01
1.435036e-01,2.624516e+01,1.242752e+01,2.684288e+01,2.399149e+01,2.864215e+01,4.176332e+01
1.501311e-01,2.626584e+01,1.298112e+01,2.691343e+01,2.496236e+01,2.882596e+01,4.303952e+01
1.570646e-01,2.628837e+01,1.355746e+01,2.698941e+01,2.596128e+01,2.901892e+01,4.431850e+01
1.643184e-01,2.631291e+01,1.415723e+01,2.707116e+01,2.698776e+01,2.922110e+01,4.559761e+01
1.719072e-01,2.633962e+01,1.478108e+01,2.715899e+01,2.804114e+01,2.943253e+01,4.687419e+01
1.798465e-01,2.636869e+01,1.542964e+01,2.725324e+01,2.912059e+01,2.965320e+01,4.814558e+01
1.881524e-01,2.640030e+01,1.610352e+01,2.735422e+01,3.022511e+01,2.988308e+01,4.940917e+01
1.968419e-01,2.643466e+01,1.680330e+01,2.746225e+01,3.135352e+01,3.012209e+01,5.066244e+01
2.059328e-01,2.647198e+01,1.752950e+01,2.757767e+01,3.250446e+01,3.037016e+01,5.190294e+01
2.154435e-01,2.651250e+01,1.828259e+01,2.770076e+01,3.367638e+01,3.062715e+01,5.312833e+01
2.253934e-01,2.655645e+01,1.906299e+01,2.783183e+01,3.486755e+01,3.089294e+01,5.433641e+01
2.358028e-01,2.660410e+01,1.987104e+01,2.797115e+01,3.607608e+01,3.116735e+01,5.552512e+01
2.466930e-01,2.665572e+01,2.070700e+01,2.811899e+01,3.729990e+01,3.145023e+01,5.669257e+01
2.580862e-01,2.671158e+01,2.157103e+01,2.827559e+01,3.853680e+01,3.174138e+01,5.783702e+01
2.700055e-01,2.677198e+01,2.246319e+01,2.844116e+01,3.978442e+01,3.204061e+01,5.895692e+01
2.824752e-01,2.683723e+01,2.338344e+01,2.861589e+01,4.104031e+01,3.234774e+01,6.005088e+01
2.955209e-01,2.690764e+01,2.433158e+01,2.879995e+01,4.230189e+01,3.266257e+01,6.111771e+01
3.091691e-01,2.698354e+01,2.530729e+01,2.899347e+01,4.356653e+01,3.298492e+01,6.215635e+01
3.234476e-01,2.706526e+01,2.631011e+01,2.919655e+01,4.483155e+01,3.331461e+01,6.316596e+01
3.383855e-01,2.715315e+01,2.733939e+01,2.940927e+01,4.609424e+01,3.365148e+01,6.414582e+01
3.540133e-01,2.724755e+01,2.839434e+01,2.963168e+01,4.735191e+01,3.399540e+01,6.509538e+01
3.703629e-01,2.734881e+01,2.947399e+01,2.986380e+01,4.860188e+01,3.434623e+01,6.601422e+01
3.874675e-01,2.745727e+01,3.057716e+01,3.010561e+01,4.984153e+01,3.470388e+01,6.690205e+01
4.053621e-01,2.757327e+01,3.170253e+01,3.035708e+01,5.106833e+01,3.506829e+01,6.775872e+01
4.240831e-01,2.769716e+01,3.284855e+01,3.061817e+01,5.227985e+01,3.543941e+01,6.858415e+01
4.436687e-01,2.782925e+01,3.401352e+01,3.088880e+01,5.347376e+01,3.581725e+01,6.937837e+01
4.641589e-01,2.796988e+01,3.519554e+01,3.116889e+01,5.464789e+01,3.620186e+01,7.014148e+01
4.855953e-01,2.811935e+01,3.639255e+01,3.145836e+01,5.580020e+01,3.659331e+01,7.087364e+01
5.080218e-01,2.827793e+01,3.760232e+01,3.175711e+01,5.692881e+01,3.699173e+01,7.157508e+01
5.314840e-01,2.844591e+01,3.882248e+01,3.206504e+01,5.803201e+01,3.739733e+01,7.224603e+01
5.560298e-01,2.862353e+01,4.005052e+01,3.238207e+01,5.910824e+01,3.781035e+01,7.288679e+01
5.817091e-01,2.881101e+01,4.128383e+01,3.270813e+01,6.015612e+01,3.823109e+01,7.349762e+01
6.085745e-01,2.900856e+01,4.251972e+01,3.304317e+01,6.117442e+01,3.865996e+01,7.407880e+01
6.366805e-01,2.921636e+01,4.375542e+01,3.338715e+01,6.216207e+01,3.909742e+01,7.463058e+01
6.660846e-01,2.943457e+01,4.498812e+01,3.374006e+01,6.311813e+01,3.954402e+01,7.515319e+01
6.968467e-01,2.966333e+01,4.621500e+01,3.410195e+01,6.404182e+01,4.000045e+01,7.564677e+01
7.290295e-01,2.990274e+01,4.743324e+01,3.447289e+01,6.493245e+01,4.046749e+01,7.611140e+01
7.626986e-01,3.015291e+01,4.864008e+01,3.485300e+01,6.578945e+01,4.094606e+01,7.654707e+01
7.979226e-01,3.041393e+01,4.983279e+01,3.524247e+01,6.661233e+01,4.143725e+01,7.695362e+01
8.347734e-01,3.068587e+01,5.100872e+01,3.564154e+01,6.740067e+01,4.194234e+01,7.733075e+01
8.733262e-01,3.096880e+01,5.216531e+01,3.605054e+01,6.815409e+01,4.246281e+01,7.767792e+01
9.136594e-01,3.126279e+01,5.330011e+01,3.646986e+01,6.887223e+01,4.300042e+01,7.799435e+01
9.558553e-01,3.156793e+01,5.441080e+01,3.690002e+01,6.955475e+01,4.355724e+01,7.827893e+01
1.000000e+00,3.188431e+01,5.549515e+01,3.734163e+01,7.020124e+01,4.413572e+01,7.853010e+01
1.046183e+00,3.221205e+01,5.655109e+01,3.779541e+01,7.081126e+01,4.473880e+01,7.874574e+01
1.094500e+00,3.255130e+01,5.757663e+01,3.826226e+01,7.138423e+01,4.536998e+01,7.892301e+01
1.145048e+00,3.290224e+01,5.856994e+01,3.874323e+01,7.191945e+01,4.603352e+01,7.905805e+01
1.197930e+00,3.326511e+01,5.952924e+01,3.923956e+01,7.241600e+01,4.673465e+01,7.914564e+01
1.253254e+00,3.364023e+01,6.045286e+01,3.975274e+01,7.287269e+01,4.747980e+01,7.917865e+01
1.311134e+00,3.402795e+01,6.133920e+01,4.028452e+01,7.328796e+01,4.827710e+01,7.914721e+01
1.371687e+00,3.442875e+01,6.218666e+01,4.083702e+01,7.365977e+01,4.913692e+01,7.903738e+01
1.435036e+00,3.484319e+01,6.299365e+01,4.141271e+01,7.398548e+01,5.007278e+01,7.882900e+01
1.501311e+00,3.527197e+01,6.375853e+01,4.201461e+01,7.426159e+01,5.110275e+01,7.849200e+01
1.570646e+00,3.571592e+01,6.447955e+01,4.264634e+01,7.448349e+01,5.225170e+01,7.797971e+01
1.643184e+00,3.617604e+01,6.515480e+01,4.331231e+01,7.464506e+01,5.355507e+01,7.721596e+01
1.719072e+00,3.665354e+01,6.578210e+01,4.401794e+01,7.473808e+01,5.506571e+01,7.606806e+01
1.798465e+00,3.714987e+01,6.635891e+01,4.476996e+01,7.475138e+01,5.686702e+01,7.428364e+01
1.881524e+00,3.766676e+01,6.688223e+01,4.557689e+01,7.466948e+01,5.910030e+01,7.132106e+01
1.968419e+00,3.820628e+01,6.734834e+01,4.644960e+01,7.447050e+01,6.202525e+01,6.579377e+01
2.059328e+00,3.877093e+01,6.775268e+01,4.740233e+01,7.412269e+01,6.612182e+01,5.307930e+01
2.154435e+00,3.936372e+01,6.808943e+01,4.845413e+01,7.357835e+01,7.106201e+01,1.411769e+01
2.253934e+00,3.998830e+01,6.835114e+01,4.963115e+01,7.276296e+01,6.891089e+01,-4.621054e+01
2.358028e+00,4.064914e+01,6.852809e+01,5.097060e+01,7.155364e+01,6.402814e+01,-6.886704e+01
2.466930e+00,4.135173e+01,6.860739e+01,5.252734e+01,6.973396e+01,6.054612e+01,-7.724995e+01
2.580862e+00,4.210291e+01,6.857165e+01,5.438588e+01,6.688768e+01,5.798172e+01,-8.136452e+01
2.700055e+00,4.291131e+01,6.839688e+01,5.668067e+01,6.211510e+01,5.596754e+01,-8.375231e+01
2.824752e+00,4.378795e+01,6.804928e+01,5.961433e+01,5.315043e+01,5.430966e+01,-8.528623e+01
2.955209e+00,4.474714e+01,6.747974e+01,6.326053e+01,3.341936e+01,5.289848e+01,-8.633969e+01
3.091691e+00,4.580788e+01,6.661455e+01,6.550617e+01,-8.671208e+00,5.166702e+01,-8.709780e+01
3.234476e+00,4.699579e+01,6.533838e+01,6.283210e+01,-4.835758e+01,5.057159e+01,-8.766237e+01
3.383855e+00,4.834624e+01,6.346145e+01,5.923145e+01,-6.633336e+01,4.958225e+01,-8.809391e+01
3.540133e+00,4.990870e+01,6.065143e+01,5.637177e+01,-7.468817e+01,4.867759e+01,-8.843054e+01
3.703629e+00,5.175119e+01,5.628085e+01,5.412576e+01,-7.925570e+01,4.784181e+01,-8.869742e+01
