re_reec,im_reec,re_gfma,im_gfma
-2.286431e+00,6.183066e+00,-2.118263e+00,1.823070e+01
-2.393586e+00,6.319095e+00,-1.993035e+01,1.404225e+01
-4.729205e+00,1.245830e+01,-3.463177e+01,3.348054e-02
-4.727687e+00,1.264744e+01,-4.746112e+01,6.353534e+00
-3.490904e+00,1.627107e+01,-4.749708e+01,6.442797e+00
-1.974449e+00,1.826713e+01,-4.818434e+01,7.856705e+00
-3.463889e+01,3.087775e-02,-4.848970e+01,8.608329e+00
-4.746390e+01,6.353942e+00,-1.426231e+01,5.979385e+01
-4.749757e+01,6.442998e+00,-9.630189e+01,2.792977e-01
-4.822787e+01,7.904105e+00,-1.038007e+02,2.978942e-01
-4.851911e+01,8.634939e+00,-2.043027e+02,2.824946e+01
-9.634195e+01,2.644564e-01,-5.651632e-01,3.934313e-01
-1.037580e+02,2.826722e-01,-1.896304e+00,2.506561e-03
-5.577350e-01,4.189129e-01,-3.054656e+00,4.656068e-02
-3.056947e+00,1.217502e-02,-4.080058e-01,3.328463e+00
-3.997266e-01,3.339726e+00,-2.288677e+00,6.182669e+00
-2.289655e+00,6.184442e+00,-2.405509e+00,6.322448e+00
-2.402440e+00,6.330655e+00,-4.810154e+00,1.242311e+01
-4.734328e+00,1.244701e+01,-4.736641e+00,1.263268e+01
-4.728320e+00,1.264493e+01,-3.895253e+00,1.621739e+01
-3.500332e+00,1.629127e+01,-2.157441e+00,1.821884e+01
-1.978028e+00,1.828091e+01,-1.951307e+01,1.572070e+01
-3.464963e+01,2.932848e-02,-3.464265e+01,3.485919e-02
-4.746147e+01,6.344925e+00,-4.745744e+01,6.342555e+00
-4.749717e+01,6.441713e+00,-4.749661e+01,6.441281e+00
-4.822855e+01,7.895151e+00,-4.817681e+01,7.835821e+00
-4.851906e+01,8.631063e+00,-4.848546e+01,8.599460e+00
-9.635125e+01,2.579214e-01,-1.466578e+01,5.856725e+01
-1.037487e+02,2.762889e-01,-9.629911e+01,2.783762e-01
-5.556447e-01,4.198379e-01,-1.038042e+02,2.971591e-01
-3.054989e+00,2.244833e-02,-2.045810e+02,2.913007e+01
-4.017284e-01,3.345038e+00,-5.685840e-01,3.909674e-01
-2.292407e+00,6.185693e+00,-1.896035e+00,2.231563e-03
-2.412053e+00,6.342668e+00,-3.053649e+00,4.409708e-02
-4.740027e+00,1.243543e+01,-4.115081e-01,3.332771e+00
-4.728888e+00,1.264265e+01,-2.291852e+00,6.183892e+00
-3.510330e+00,1.631192e+01,-2.417467e+00,6.333458e+00
-1.982382e+00,1.829495e+01,-4.833079e+00,1.239474e+01
-3.466030e+01,2.242183e-02,-4.735291e+00,1.262880e+01
-4.745891e+01,6.335498e+00,-3.988784e+00,1.618947e+01
-4.749686e+01,6.440660e+00,-2.189689e+00,1.820285e+01
-4.822904e+01,7.886265e+00,-1.913044e+01,1.716249e+01
-4.851903e+01,8.627416e+00,-3.465319e+01,3.255812e-02
-9.636065e+01,2.500047e-01,-4.745380e+01,6.331462e+00
-1.037393e+02,2.685412e-01,-4.749623e+01,6.440088e+00
-5.558261e-01,4.156065e-01,-4.817079e+01,7.817455e+00
-3.053585e+00,2.541123e-02,-4.848233e+01,8.592246e+00
-4.037633e-01,3.350677e+00,-1.503454e+01,5.744176e+01
-2.294825e+00,6.186695e+00,-9.629583e+01,2.778463e-01
-2.422419e+00,6.355283e+00,-1.038083e+02,2.967871e-01
-4.746378e+00,1.242355e+01,-2.048388e+02,2.992175e+01
-4.729337e+00,1.264055e+01,-5.721785e-01,3.883138e-01
-3.521115e+00,1.633295e+01,-1.895795e+00,1.957880e-03
-1.987348e+00,1.830925e+01,-3.052652e+00,4.168541e-02
-4.745630e+01,6.325732e+00,-4.148668e-01,3.337000e+00
-4.749655e+01,6.439738e+00,-2.294553e+00,6.184992e+00
-4.822953e+01,7.877552e+00,-2.430094e+00,6.344662e+00
-4.851887e+01,8.623902e+00,-4.854018e+00,1.236386e+01
-9.637010e+01,2.420814e-01,-4.733875e+00,1.262604e+01
-1.037298e+02,2.608550e-01,-4.072363e+00,1.615189e+01
-5.548336e-01,4.145462e-01,-2.215464e+00,1.818484e+01
-3.052540e+00,2.664808e-02,-1.878128e+01,1.843033e+01
-4.056657e-01,3.355851e+00,-3.466356e+01,2.600362e-02
-2.296968e+00,6.187646e+00,-4.745015e+01,6.320271e+00
-2.433469e+00,6.368364e+00,-4.749592e+01,6.439128e+00
