xc,yc,zc

1.000000e+01,1.600000e+01,4.896394e-04
1.000000e+01,1.500000e+01,4.434058e-04
1.000000e+01,1.400000e+01,5.333751e-04
1.000000e+01,1.300000e+01,7.742722e-04
1.000000e+01,1.200000e+01,7.854876e-04
1.000000e+01,1.100000e+01,7.719653e-04
1.000000e+01,1.000000e+01,7.356862e-04
1.000000e+01,9.000000e+00,3.263121e-03
1.000000e+01,8.000000e+00,3.312456e-03
1.000000e+01,7.000000e+00,3.360498e-03
1.000000e+01,6.000000e+00,3.369468e-03
1.000000e+01,5.000000e+00,3.372938e-03
1.000000e+01,4.000000e+00,3.355035e-03
1.000000e+01,3.000000e+00,3.372263e-03
1.000000e+01,2.000000e+00,3.378380e-03
1.000000e+01,1.000000e+00,3.312501e-03

9.966667e+00,1.600000e+01,4.780999e-04
9.966667e+00,1.500000e+01,4.451219e-04
9.966667e+00,1.400000e+01,5.240664e-04
9.966667e+00,1.300000e+01,7.726913e-04
9.966667e+00,1.200000e+01,7.960346e-04
9.966667e+00,1.100000e+01,7.649441e-04
9.966667e+00,1.000000e+01,6.946064e-04
9.966667e+00,9.000000e+00,3.254569e-03
9.966667e+00,8.000000e+00,3.310489e-03
9.966667e+00,7.000000e+00,3.353089e-03
9.966667e+00,6.000000e+00,3.362153e-03
9.966667e+00,5.000000e+00,3.365901e-03
9.966667e+00,4.000000e+00,3.348035e-03
9.966667e+00,3.000000e+00,3.367952e-03
9.966667e+00,2.000000e+00,3.374452e-03
9.966667e+00,1.000000e+00,3.308715e-03

9.933333e+00,1.600000e+01,4.674447e-04
9.933333e+00,1.500000e+01,4.482476e-04
9.933333e+00,1.400000e+01,5.151536e-04
9.933333e+00,1.300000e+01,7.708931e-04
9.933333e+00,1.200000e+01,8.053411e-04
9.933333e+00,1.100000e+01,7.595057e-04
9.933333e+00,1.000000e+01,6.615900e-04
9.933333e+00,9.000000e+00,3.245047e-03
9.933333e+00,8.000000e+00,3.305308e-03
9.933333e+00,7.000000e+00,3.342483e-03
9.933333e+00,6.000000e+00,3.351645e-03
9.933333e+00,5.000000e+00,3.355567e-03
9.933333e+00,4.000000e+00,3.337890e-03
9.933333e+00,3.000000e+00,3.360606e-03
9.933333e+00,2.000000e+00,3.367486e-03
9.933333e+00,1.000000e+00,3.302028e-03

9.900000e+00,1.600000e+01,4.577553e-04
9.900000e+00,1.500000e+01,4.525487e-04
9.900000e+00,1.400000e+01,5.067345e-04
9.900000e+00,1.300000e+01,7.688642e-04
9.900000e+00,1.200000e+01,8.126205e-04
9.900000e+00,1.100000e+01,7.555800e-04
9.900000e+00,1.000000e+01,6.389778e-04
9.900000e+00,9.000000e+00,3.234516e-03
9.900000e+00,8.000000e+00,3.296509e-03
9.900000e+00,7.000000e+00,3.328624e-03
9.900000e+00,6.000000e+00,3.337908e-03
9.900000e+00,5.000000e+00,3.341878e-03
9.900000e+00,4.000000e+00,3.324513e-03
9.900000e+00,3.000000e+00,3.350077e-03
