k,v1,v2,v3,v4,v5
1.000000e+00,9.999624e-01,8.253334e-01,2.404147e-01,4.191082e-01,2.212672e-02
2.000000e+00,9.999506e-01,8.780075e-01,2.604524e-01,5.156238e-01,4.246583e-02
3.000000e+00,9.999524e-01,8.954175e-01,2.824191e-01,5.907781e-01,4.841845e-02
4.000000e+00,9.999495e-01,9.581118e-01,3.593475e-01,8.696972e-01,7.616954e-02
5.000000e+00,9.999544e-01,1.000000e+00,3.868710e-01,9.786080e-01,9.282654e-02
6.000000e+00,9.999539e-01,9.818266e-01,3.714676e-01,9.227272e-01,8.433133e-02
7.000000e+00,9.999522e-01,9.652750e-01,3.662565e-01,8.947856e-01,7.786322e-02
8.000000e+00,9.999422e-01,8.397895e-01,2.747303e-01,5.282701e-01,2.481133e-02
9.000000e+00,9.999549e-01,9.631108e-01,4.059046e-01,1.000217e+00,5.887284e-02
1.000000e+01,9.999792e-01,6.062989e-01,5.216972e-02,-1.210677e-01,-5.257752e-02
1.100000e+01,1.000000e+00,6.016793e-01,-1.354299e-02,-2.253697e-01,-2.081298e-02
1.200000e+01,9.999831e-01,7.562397e-01,-5.226582e-02,-5.581630e-01,4.239787e-02
1.300000e+01,9.999662e-01,8.099290e-01,-6.985324e-02,-7.142980e-01,8.004769e-02
1.400000e+01,9.999416e-01,-3.848357e-01,1.026530e+00,-4.619283e-02,-6.466619e-01
1.500000e+01,9.999388e-01,-4.819008e-01,2.545820e-01,1.802045e-02,1.000000e+00
1.600000e+01,9.999478e-01,-3.260471e-01,-8.906599e-01,7.541882e-02,-2.854160e-01
