xc,yc,zc

4.633333e+00,1.600000e+01,5.287034e-04
4.633333e+00,1.500000e+01,6.348140e-04
4.633333e+00,1.400000e+01,4.305875e-04
4.633333e+00,1.300000e+01,5.687027e-04
4.633333e+00,1.200000e+01,6.710428e-04
4.633333e+00,1.100000e+01,5.458435e-04
4.633333e+00,1.000000e+01,8.159552e-04
4.633333e+00,9.000000e+00,1.506808e-03
4.633333e+00,8.000000e+00,1.496472e-03
4.633333e+00,7.000000e+00,1.618742e-03
4.633333e+00,6.000000e+00,1.628963e-03
4.633333e+00,5.000000e+00,1.646121e-03
4.633333e+00,4.000000e+00,1.623047e-03
4.633333e+00,3.000000e+00,1.632502e-03
4.633333e+00,2.000000e+00,1.626051e-03
4.633333e+00,1.000000e+00,1.442196e-03

4.600000e+00,1.600000e+01,5.255677e-04
4.600000e+00,1.500000e+01,6.418545e-04
4.600000e+00,1.400000e+01,4.288132e-04
4.600000e+00,1.300000e+01,5.693981e-04
4.600000e+00,1.200000e+01,7.409891e-04
4.600000e+00,1.100000e+01,5.848079e-04
4.600000e+00,1.000000e+01,5.919990e-04
4.600000e+00,9.000000e+00,1.531099e-03
4.600000e+00,8.000000e+00,1.499929e-03
4.600000e+00,7.000000e+00,1.595679e-03
4.600000e+00,6.000000e+00,1.608766e-03
4.600000e+00,5.000000e+00,1.620723e-03
4.600000e+00,4.000000e+00,1.601265e-03
4.600000e+00,3.000000e+00,1.590776e-03
4.600000e+00,2.000000e+00,1.582473e-03
4.600000e+00,1.000000e+00,1.428707e-03

4.566667e+00,1.600000e+01,5.233268e-04
4.566667e+00,1.500000e+01,6.459063e-04
4.566667e+00,1.400000e+01,4.298179e-04
4.566667e+00,1.300000e+01,5.715658e-04
4.566667e+00,1.200000e+01,8.041591e-04
4.566667e+00,1.100000e+01,6.297644e-04
4.566667e+00,1.000000e+01,3.652179e-04
4.566667e+00,9.000000e+00,1.554801e-03
4.566667e+00,8.000000e+00,1.504142e-03
4.566667e+00,7.000000e+00,1.569683e-03
4.566667e+00,6.000000e+00,1.585025e-03
4.566667e+00,5.000000e+00,1.591235e-03
4.566667e+00,4.000000e+00,1.575859e-03
4.566667e+00,3.000000e+00,1.545860e-03
4.566667e+00,2.000000e+00,1.536285e-03
4.566667e+00,1.000000e+00,1.423028e-03

