xc,yc,zc

9.433333e+00,1.600000e+01,4.632116e-04
9.433333e+00,1.500000e+01,5.179133e-04
9.433333e+00,1.400000e+01,5.023404e-04
9.433333e+00,1.300000e+01,7.331185e-04
9.433333e+00,1.200000e+01,6.737595e-04
9.433333e+00,1.100000e+01,7.711713e-04
9.433333e+00,1.000000e+01,9.345227e-04
9.433333e+00,9.000000e+00,2.803498e-03
9.433333e+00,8.000000e+00,2.747532e-03
9.433333e+00,7.000000e+00,2.786182e-03
9.433333e+00,6.000000e+00,2.800615e-03
9.433333e+00,5.000000e+00,2.795880e-03
9.433333e+00,4.000000e+00,2.779862e-03
9.433333e+00,3.000000e+00,2.809570e-03
9.433333e+00,2.000000e+00,2.813286e-03
9.433333e+00,1.000000e+00,2.740579e-03

9.400000e+00,1.600000e+01,4.746255e-04
9.400000e+00,1.500000e+01,5.186583e-04
9.400000e+00,1.400000e+01,5.123563e-04
9.400000e+00,1.300000e+01,7.308671e-04
9.400000e+00,1.200000e+01,6.689674e-04
9.400000e+00,1.100000e+01,7.667298e-04
9.400000e+00,1.000000e+01,9.042203e-04
9.400000e+00,9.000000e+00,2.736388e-03
9.400000e+00,8.000000e+00,2.684647e-03
9.400000e+00,7.000000e+00,2.722169e-03
9.400000e+00,6.000000e+00,2.736631e-03
9.400000e+00,5.000000e+00,2.731763e-03
9.400000e+00,4.000000e+00,2.715530e-03
9.400000e+00,3.000000e+00,2.741772e-03
9.400000e+00,2.000000e+00,2.745099e-03
9.400000e+00,1.000000e+00,2.675859e-03

9.366667e+00,1.600000e+01,4.872486e-04
9.366667e+00,1.500000e+01,5.191049e-04
9.366667e+00,1.400000e+01,5.234799e-04
9.366667e+00,1.300000e+01,7.285303e-04
9.366667e+00,1.200000e+01,6.679644e-04
9.366667e+00,1.100000e+01,7.594649e-04
9.366667e+00,1.000000e+01,8.620723e-04
9.366667e+00,9.000000e+00,2.663335e-03
9.366667e+00,8.000000e+00,2.619415e-03
9.366667e+00,7.000000e+00,2.654662e-03
9.366667e+00,6.000000e+00,2.669012e-03
9.366667e+00,5.000000e+00,2.664207e-03
9.366667e+00,4.000000e+00,2.647870e-03
9.366667e+00,3.000000e+00,2.670446e-03
9.366667e+00,2.000000e+00,2.673482e-03
9.366667e+00,1.000000e+00,2.608593e-03

9.333333e+00,1.600000e+01,5.009412e-04
9.333333e+00,1.500000e+01,5.194442e-04
9.333333e+00,1.400000e+01,5.355283e-04
9.333333e+00,1.300000e+01,7.260428e-04
9.333333e+00,1.200000e+01,6.706254e-04
9.333333e+00,1.100000e+01,7.493949e-04
9.333333e+00,1.000000e+01,8.108146e-04
9.333333e+00,9.000000e+00,2.584641e-03
9.333333e+00,8.000000e+00,2.551736e-03
9.333333e+00,7.000000e+00,2.583686e-03
9.333333e+00,6.000000e+00,2.597778e-03
9.333333e+00,5.000000e+00,2.593221e-03
9.333333e+00,4.000000e+00,2.576927e-03
9.333333e+00,3.000000e+00,2.595792e-03
9.333333e+00,2.000000e+00,2.598645e-03
9.333333e+00,1.000000e+00,2.538815e-03

9.300000e+00,1.600000e+01,5.155609e-04
9.300000e+00,1.500000e+01,5.198851e-04
9.300000e+00,1.400000e+01,5.483087e-04
9.300000e+00,1.300000e+01,7.233406e-04
9.300000e+00,1.200000e+01,6.766125e-04
9.300000e+00,1.100000e+01,7.368205e-04
9.300000e+00,1.000000e+01,7.537849e-04
9.300000e+00,9.000000e+00,2.500695e-03
9.300000e+00,8.000000e+00,2.481417e-03
9.300000e+00,7.000000e+00,2.509258e-03
9.300000e+00,6.000000e+00,2.522946e-03
9.300000e+00,5.000000e+00,2.518798e-03
9.300000e+00,4.000000e+00,2.502728e-03
