xc,yc,zc

9.166667e-01,1.600000e+01,4.122860e-04
9.166667e-01,1.500000e+01,5.882045e-04
9.166667e-01,1.400000e+01,2.529724e-04
9.166667e-01,1.300000e+01,2.846858e-04
9.166667e-01,1.200000e+01,7.635829e-04
9.166667e-01,1.100000e+01,-7.239319e-04
9.166667e-01,1.000000e+01,3.613461e-03
9.166667e-01,9.000000e+00,1.375171e-03
9.166667e-01,8.000000e+00,1.503693e-03
9.166667e-01,7.000000e+00,1.758278e-03
9.166667e-01,6.000000e+00,1.537736e-03
9.166667e-01,5.000000e+00,1.494081e-03
9.166667e-01,4.000000e+00,1.661734e-03
9.166667e-01,3.000000e+00,1.637151e-03
9.166667e-01,2.000000e+00,1.654079e-03
9.166667e-01,1.000000e+00,1.786699e-03

9.000000e-01,1.600000e+01,4.046459e-04
9.000000e-01,1.500000e+01,5.977671e-04
9.000000e-01,1.400000e+01,2.406170e-04
9.000000e-01,1.300000e+01,2.926132e-04
9.000000e-01,1.200000e+01,6.940468e-04
9.000000e-01,1.100000e+01,-5.940911e-04
9.000000e-01,1.000000e+01,3.589261e-03
9.000000e-01,9.000000e+00,1.339276e-03
9.000000e-01,8.000000e+00,1.567768e-03
9.000000e-01,7.000000e+00,1.821041e-03
9.000000e-01,6.000000e+00,1.599186e-03
9.000000e-01,5.000000e+00,1.562739e-03
9.000000e-01,4.000000e+00,1.730506e-03
9.000000e-01,3.000000e+00,1.685735e-03
9.000000e-01,2.000000e+00,1.700981e-03
9.000000e-01,1.000000e+00,1.729568e-03

8.833333e-01,1.600000e+01,3.973745e-04
8.833333e-01,1.500000e+01,6.061152e-04
8.833333e-01,1.400000e+01,2.296008e-04
8.833333e-01,1.300000e+01,3.022989e-04
8.833333e-01,1.200000e+01,6.195208e-04
8.833333e-01,1.100000e+01,-4.084202e-04
8.833333e-01,1.000000e+01,3.500367e-03
8.833333e-01,9.000000e+00,1.305731e-03
8.833333e-01,8.000000e+00,1.633707e-03
8.833333e-01,7.000000e+00,1.879012e-03
8.833333e-01,6.000000e+00,1.662461e-03
8.833333e-01,5.000000e+00,1.633949e-03
8.833333e-01,4.000000e+00,1.796361e-03
8.833333e-01,3.000000e+00,1.733831e-03
8.833333e-01,2.000000e+00,1.747089e-03
8.833333e-01,1.000000e+00,1.668073e-03

8.666667e-01,1.600000e+01,3.905042e-04
8.666667e-01,1.500000e+01,6.131995e-04
8.666667e-01,1.400000e+01,2.199563e-04
8.666667e-01,1.300000e+01,3.136615e-04
8.666667e-01,1.200000e+01,5.413668e-04
8.666667e-01,1.100000e+01,-1.748380e-04
8.666667e-01,1.000000e+01,3.349852e-03
8.666667e-01,9.000000e+00,1.275042e-03
8.666667e-01,8.000000e+00,1.699882e-03
8.666667e-01,7.000000e+00,1.931852e-03
8.666667e-01,6.000000e+00,1.727170e-03
8.666667e-01,5.000000e+00,1.707272e-03
8.666667e-01,4.000000e+00,1.858699e-03
8.666667e-01,3.000000e+00,1.781183e-03
8.666667e-01,2.000000e+00,1.792188e-03
8.666667e-01,1.000000e+00,1.604411e-03

8.500000e-01,1.600000e+01,3.840800e-04
8.500000e-01,1.500000e+01,6.189477e-04
8.500000e-01,1.400000e+01,2.117476e-04
8.500000e-01,1.300000e+01,3.266776e-04
8.500000e-01,1.200000e+01,4.608878e-04
8.500000e-01,1.100000e+01,9.855068e-05
8.500000e-01,1.000000e+01,3.140300e-03
8.500000e-01,9.000000e+00,1.247732e-03
8.500000e-01,8.000000e+00,1.764691e-03
8.500000e-01,7.000000e+00,1.979200e-03
8.500000e-01,6.000000e+00,1.792922e-03
8.500000e-01,5.000000e+00,1.782287e-03
8.500000e-01,4.000000e+00,1.916924e-03
8.500000e-01,3.000000e+00,1.827530e-03
8.500000e-01,2.000000e+00,1.836052e-03
8.500000e-01,1.000000e+00,1.540657e-03

8.333333e-01,1.600000e+01,3.781655e-04
8.333333e-01,1.500000e+01,6.232538e-04
8.333333e-01,1.400000e+01,2.050782e-04
8.333333e-01,1.300000e+01,3.413733e-04
8.333333e-01,1.200000e+01,3.794913e-04
8.333333e-01,1.100000e+01,4.025466e-04
8.333333e-01,1.000000e+01,2.874141e-03
8.333333e-01,9.000000e+00,1.224413e-03
8.333333e-01,8.000000e+00,1.826373e-03
8.333333e-01,7.000000e+00,2.020626e-03
8.333333e-01,6.000000e+00,1.859270e-03
8.333333e-01,5.000000e+00,1.858521e-03
8.333333e-01,4.000000e+00,1.970370e-03
8.333333e-01,3.000000e+00,1.872558e-03
8.333333e-01,2.000000e+00,1.878402e-03
8.333333e-01,1.000000e+00,1.479021e-03

8.166667e-01,1.600000e+01,3.727952e-04
8.166667e-01,1.500000e+01,6.261081e-04
8.166667e-01,1.400000e+01,1.999525e-04
8.166667e-01,1.300000e+01,3.576713e-04
8.166667e-01,1.200000e+01,2.987012e-04
8.166667e-01,1.100000e+01,7.247114e-04
8.166667e-01,1.000000e+01,2.558489e-03
