k,v1,v2,v3,v4,v5
1.000000e+00,9.999907e-01,8.284744e-01,2.565260e-01,4.548378e-01,2.044264e-02
2.000000e+00,9.999955e-01,8.813035e-01,2.632069e-01,5.192446e-01,4.319519e-02
3.000000e+00,9.999961e-01,8.977843e-01,2.796451e-01,5.893097e-01,4.750184e-02
4.000000e+00,9.999995e-01,9.705213e-01,3.500937e-01,9.074575e-01,7.216875e-02
5.000000e+00,1.000000e+00,1.000000e+00,3.697651e-01,1.000000e+00,8.376148e-02
6.000000e+00,1.000000e+00,9.808574e-01,3.578696e-01,9.420268e-01,7.486605e-02
7.000000e+00,1.000000e+00,9.761242e-01,3.547144e-01,9.273529e-01,7.310401e-02
8.000000e+00,9.999947e-01,8.476751e-01,2.760351e-01,5.387249e-01,2.245719e-02
9.000000e+00,1.000000e+00,9.646343e-01,3.626127e-01,9.422872e-01,5.511123e-02
1.000000e+01,9.999853e-01,5.901066e-01,8.279731e-02,-1.266553e-01,-5.033956e-02
1.100000e+01,9.999853e-01,5.775850e-01,1.934936e-02,-2.383905e-01,-1.802352e-02
1.200000e+01,9.999843e-01,7.186942e-01,-4.390662e-03,-6.100749e-01,5.385383e-02
1.300000e+01,9.999786e-01,7.603170e-01,-1.667692e-02,-7.761814e-01,9.276941e-02
1.400000e+01,9.999645e-01,-2.736777e-01,1.000000e+00,-2.978150e-02,-6.416320e-01
1.500000e+01,9.999614e-01,-3.888833e-01,2.590196e-01,1.220087e-02,1.000000e+00
1.600000e+01,9.999676e-01,-3.088691e-01,-8.469263e-01,5.199680e-02,-2.754073e-01
