xc,yc,zc
3.133333e+00,1.200000e+01,2.015002e-04
3.133333e+00,1.100000e+01,2.249825e-04
3.133333e+00,1.000000e+01,1.372142e-03
3.133333e+00,9.000000e+00,4.416998e-04
3.133333e+00,8.000000e+00,7.291270e-05
3.133333e+00,7.000000e+00,3.644149e-05
3.133333e+00,6.000000e+00,7.101565e-05
3.133333e+00,5.000000e+00,4.726777e-05
3.133333e+00,4.000000e+00,5.022072e-05
3.133333e+00,3.000000e+00,1.374876e-04
3.133333e+00,2.000000e+00,1.449536e-04
3.133333e+00,1.000000e+00,8.147096e-05

3.100000e+00,1.600000e+01,7.201055e-04
3.100000e+00,1.500000e+01,8.233328e-04
3.100000e+00,1.400000e+01,6.289746e-04
3.100000e+00,1.300000e+01,6.873700e-04
3.100000e+00,1.200000e+01,2.849954e-04
3.100000e+00,1.100000e+01,1.402456e-04
3.100000e+00,1.000000e+01,1.092086e-03
3.100000e+00,9.000000e+00,3.684214e-04
3.100000e+00,8.000000e+00,-1.213927e-05
3.100000e+00,7.000000e+00,2.139270e-05
3.100000e+00,6.000000e+00,5.199762e-05
3.100000e+00,5.000000e+00,3.795684e-05
3.100000e+00,4.000000e+00,2.904982e-05
3.100000e+00,3.000000e+00,1.446511e-04
3.100000e+00,2.000000e+00,1.505949e-04
3.100000e+00,1.000000e+00,5.847234e-05

3.066667e+00,1.600000e+01,7.355118e-04
3.066667e+00,1.500000e+01,8.060355e-04
3.066667e+00,1.400000e+01,6.473121e-04
3.066667e+00,1.300000e+01,6.775418e-04
3.066667e+00,1.200000e+01,3.885764e-04
3.066667e+00,1.100000e+01,1.289486e-04
3.066667e+00,1.000000e+01,7.602753e-04
3.066667e+00,9.000000e+00,2.832376e-04
3.066667e+00,8.000000e+00,-8.553553e-05
3.066667e+00,7.000000e+00,1.219451e-05
3.066667e+00,6.000000e+00,3.496954e-05
3.066667e+00,5.000000e+00,3.116907e-05
3.066667e+00,4.000000e+00,1.302321e-05
3.066667e+00,3.000000e+00,1.501780e-04
3.066667e+00,2.000000e+00,1.544343e-04
3.066667e+00,1.000000e+00,4.017136e-05

3.033333e+00,1.600000e+01,7.505879e-04
3.033333e+00,1.500000e+01,7.861488e-04
3.033333e+00,1.400000e+01,6.668899e-04
3.033333e+00,1.300000e+01,6.629061e-04
3.033333e+00,1.200000e+01,5.057969e-04
3.033333e+00,1.100000e+01,1.904832e-04
3.033333e+00,1.000000e+01,4.013801e-04
3.033333e+00,9.000000e+00,1.881634e-04
3.033333e+00,8.000000e+00,-1.426019e-04
3.033333e+00,7.000000e+00,7.843682e-06
