t,c1,c2
0.000000e+00,9.862150e-01,9.866353e-01
3.333333e-02,9.862057e-01,9.866325e-01
6.666667e-02,9.861786e-01,9.866245e-01
1.000000e-01,9.861346e-01,9.866115e-01
1.333333e-01,9.860749e-01,9.865939e-01
1.666667e-01,9.860023e-01,9.865723e-01
2.000000e-01,9.859196e-01,9.865476e-01
2.333333e-01,9.858303e-01,9.865209e-01
2.666667e-01,9.857386e-01,9.864934e-01
3.000000e-01,9.856487e-01,9.864664e-01
3.333333e-01,9.855650e-01,9.864411e-01
3.666667e-01,9.854910e-01,9.864187e-01
4.000000e-01,9.854296e-01,9.864002e-01
4.333333e-01,9.853832e-01,9.863863e-01
4.666667e-01,9.853520e-01,9.863771e-01
5.000000e-01,9.853356e-01,9.863727e-01
5.333333e-01,9.853328e-01,9.863728e-01
5.666667e-01,9.853408e-01,9.863766e-01
6.000000e-01,9.853569e-01,9.863834e-01
6.333333e-01,9.853778e-01,9.863924e-01
6.666667e-01,9.854004e-01,9.864024e-01
7.000000e-01,9.854219e-01,9.864127e-01
7.333333e-01,9.854399e-01,9.864225e-01
7.666667e-01,9.854527e-01,9.864311e-01
8.000000e-01,9.854589e-01,9.864380e-01
8.333333e-01,9.854576e-01,9.864425e-01
8.666667e-01,9.854485e-01,9.864444e-01
9.000000e-01,9.854319e-01,9.864434e-01
9.333333e-01,9.854082e-01,9.864394e-01
9.666667e-01,9.853786e-01,9.864325e-01
1.000000e+00,9.853450e-01,9.864230e-01
1.033333e+00,9.853096e-01,9.864114e-01
1.066667e+00,9.852754e-01,9.863986e-01
1.100000e+00,9.852456e-01,9.863855e-01
1.133333e+00,9.852239e-01,9.863734e-01
1.166667e+00,9.852134e-01,9.863633e-01
1.200000e+00,9.852169e-01,9.863564e-01
1.233333e+00,9.852369e-01,9.863539e-01
1.266667e+00,9.852740e-01,9.863563e-01
1.300000e+00,9.853280e-01,9.863641e-01
1.333333e+00,9.853978e-01,9.863774e-01
