t,c1,c2,c3,c4
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-02,1.645589e-09,3.515168e-10,2.541158e-05,-2.536695e-05
6.666667e-02,1.843027e-08,9.895898e-09,4.949515e-05,-4.912638e-05
1.000000e-01,7.439106e-08,5.098398e-08,7.116009e-05,-6.991708e-05
1.333333e-01,2.017163e-07,1.570852e-07,8.937712e-05,-8.642603e-05
1.666667e-01,4.290095e-07,3.614023e-07,1.036184e-04,-9.794825e-05
2.000000e-01,7.887801e-07,7.029727e-07,1.133912e-04,-1.038180e-04
2.333333e-01,1.314884e-06,1.224590e-06,1.183920e-04,-1.036039e-04
2.666667e-01,2.028311e-06,1.956409e-06,1.188223e-04,-9.752251e-05
3.000000e-01,2.949258e-06,2.928059e-06,1.149676e-04,-8.590951e-05
3.333333e-01,4.099042e-06,4.170928e-06,1.072121e-04,-6.924027e-05
3.666667e-01,5.478679e-06,5.691787e-06,9.633993e-05,-4.852616e-05
4.000000e-01,7.088859e-06,7.495544e-06,8.312638e-05,-2.478737e-05
4.333333e-01,8.930249e-06,9.585475e-06,6.840458e-05,8.580385e-07
4.666667e-01,1.098363e-05,1.193792e-05,5.312896e-05,2.711772e-05
5.000000e-01,1.323168e-05,1.452894e-05,3.817059e-05,5.279115e-05
5.333333e-01,1.565754e-05,1.733199e-05,2.439974e-05,7.665664e-05
5.666667e-01,1.823084e-05,2.030140e-05,1.251701e-05,9.772090e-05
6.000000e-01,2.092535e-05,2.339416e-05,3.109130e-06,1.151311e-04
6.333333e-01,2.371627e-05,2.656558e-05,-3.290576e-06,1.280884e-04
6.666667e-01,2.657355e-05,2.976553e-05,-6.500981e-06,1.362912e-04
7.000000e-01,2.947191e-05,3.294858e-05,-6.436779e-06,1.395606e-04
7.333333e-01,3.238775e-05,3.606912e-05,-3.093619e-06,1.378141e-04
7.666667e-01,3.529882e-05,3.908977e-05,3.170811e-06,1.315028e-04
8.000000e-01,3.818652e-05,4.197811e-05,1.195719e-05,1.211306e-04
8.333333e-01,4.103328e-05,4.470293e-05,2.279321e-05,1.072948e-04
8.666667e-01,4.382666e-05,4.725046e-05,3.499560e-05,9.093697e-05
9.000000e-01,4.655597e-05,4.961060e-05,4.790544e-05,7.296585e-05
9.333333e-01,4.921047e-05,5.177553e-05,6.082997e-05,5.433993e-05
9.666667e-01,5.178607e-05,5.375702e-05,7.309688e-05,3.605029e-05
1.000000e+00,5.427852e-05,5.556822e-05,8.410723e-05,1.899030e-05
1.033333e+00,5.668249e-05,5.722456e-05,9.327899e-05,4.042599e-06
1.066667e+00,5.899914e-05,5.875583e-05,1.002514e-04,-8.169356e-06
1.100000e+00,6.122798e-05,6.019015e-05,1.047484e-04,-1.713737e-05
1.133333e+00,6.336645e-05,6.155634e-05,1.065491e-04,-2.241358e-05
1.166667e+00,6.541754e-05,6.288735e-05,1.057365e-04,-2.396041e-05
1.200000e+00,6.738163e-05,6.421165e-05,1.024509e-04,-2.182240e-05
1.233333e+00,6.925625e-05,6.555571e-05,9.689790e-05,-1.612204e-05
1.266667e+00,7.104392e-05,6.694005e-05,8.952721e-05,-7.354340e-06
1.300000e+00,7.274426e-05,6.837945e-05,8.079666e-05,3.968747e-06
1.333333e+00,7.435404e-05,6.988447e-05,7.121227e-05,1.727634e-05
1.366667e+00,7.587538e-05,7.145487e-05,6.136251e-05,3.181373e-05
1.400000e+00,7.730803e-05,7.308580e-05,5.179850e-05,4.687545e-05
1.433333e+00,7.864962e-05,7.476756e-05,4.308614e-05,6.174054e-05
1.466667e+00,7.990408e-05,7.648224e-05,3.568951e-05,7.574559e-05
1.500000e+00,8.107375e-05,7.820988e-05,3.001242e-05,8.831529e-05
1.533333e+00,8.215995e-05,7.992704e-05,2.643915e-05,9.890539e-05
1.566667e+00,8.317047e-05,8.160971e-05,2.512411e-05,1.072140e-04
1.600000e+00,8.411201e-05,8.323462e-05,2.616748e-05,1.130259e-04
1.633333e+00,8.499112e-05,8.477729e-05,2.962823e-05,1.161861e-04
1.666667e+00,8.581936e-05,8.622133e-05,3.531150e-05,1.168384e-04
1.700000e+00,8.660729e-05,8.755266e-05,4.299768e-05,1.151764e-04
1.733333e+00,8.736569e-05,8.875845e-05,5.242454e-05,1.114555e-04
1.766667e+00,8.810760e-05,8.983921e-05,6.315738e-05,1.061488e-04
1.800000e+00,8.884503e-05,9.079797e-05,7.477533e-05,9.972609e-05
1.833333e+00,8.959037e-05,9.164079e-05,8.683268e-05,9.269504e-05
1.866667e+00,9.035510e-05,9.238658e-05,9.885478e-05,8.561218e-05
1.900000e+00,9.114986e-05,9.305574e-05,1.104112e-04,7.898650e-05
1.933333e+00,9.198588e-05,9.367225e-05,1.210737e-04,7.332659e-05
1.966667e+00,9.287075e-05,9.426664e-05,1.305246e-04,6.901731e-05
2.000000e+00,9.381181e-05,9.486923e-05,1.384997e-04,6.637681e-05
2.033333e+00,9.481711e-05,9.551305e-05,1.447594e-04,6.568856e-05
2.066667e+00,9.588949e-05,9.622794e-05,1.492529e-04,6.701121e-05
2.100000e+00,9.703215e-05,9.704190e-05,1.519678e-04,7.034819e-05
2.133333e+00,9.824921e-05,9.798388e-05,1.529243e-04,7.565153e-05
2.166667e+00,9.953913e-05,9.907045e-05,1.523234e-04,8.265641e-05
2.200000e+00,1.009014e-04,1.003158e-04,1.503743e-04,9.107646e-05
2.233333e+00,1.023366e-04,1.017331e-04,1.473106e-04,1.005796e-04
2.266667e+00,1.038401e-04,1.033186e-04,1.434673e-04,1.107206e-04
2.300000e+00,1.054091e-04,1.050672e-04,1.391566e-04,1.210712e-04
2.333333e+00,1.070417e-04,1.069714e-04,1.346964e-04,1.311805e-04
2.366667e+00,1.087320e-04,1.090089e-04,1.303983e-04,1.406306e-04
2.400000e+00,1.104759e-04,1.111576e-04,1.265320e-04,1.490465e-04
2.433333e+00,1.122705e-04,1.133932e-04,1.233525e-04,1.560591e-04
2.466667e+00,1.141094e-04,1.156839e-04,1.210212e-04,1.614547e-04
2.500000e+00,1.159879e-04,1.179997e-04,1.196569e-04,1.650659e-04
2.533333e+00,1.179019e-04,1.203095e-04,1.193498e-04,1.667532e-04
2.566667e+00,1.198447e-04,1.225839e-04,1.200643e-04,1.665809e-04
2.600000e+00,1.218104e-04,1.247964e-04,1.217375e-04,1.646419e-04
2.633333e+00,1.237931e-04,1.269206e-04,1.242763e-04,1.610633e-04
2.666667e+00,1.257849e-04,1.289395e-04,1.274915e-04,1.561383e-04
2.700000e+00,1.277781e-04,1.308389e-04,1.311904e-04,1.501586e-04
2.733333e+00,1.297639e-04,1.326054e-04,1.351609e-04,1.434410e-04
2.766667e+00,1.317333e-04,1.342389e-04,1.391663e-04,1.363668e-04
2.800000e+00,1.336767e-04,1.357406e-04,1.429877e-04,1.292892e-04
2.833333e+00,1.355828e-04,1.371126e-04,1.464052e-04,1.225666e-04
2.866667e+00,1.374423e-04,1.383688e-04,1.492505e-04,1.165061e-04
2.900000e+00,1.392449e-04,1.395227e-04,1.513839e-04,1.113731e-04
2.933333e+00,1.409786e-04,1.405878e-04,1.526816e-04,1.074189e-04
2.966667e+00,1.426358e-04,1.415843e-04,1.531175e-04,1.047613e-04
3.000000e+00,1.442080e-04,1.425300e-04,1.526910e-04,1.034821e-04
3.033333e+00,1.456846e-04,1.434413e-04,1.514263e-04,1.036377e-04
3.066667e+00,1.470624e-04,1.443353e-04,1.494425e-04,1.051334e-04
3.100000e+00,1.483367e-04,1.452256e-04,1.468705e-04,1.078583e-04
3.133333e+00,1.495014e-04,1.461230e-04,1.438641e-04,1.116783e-04
3.166667e+00,1.505588e-04,1.470349e-04,1.406258e-04,1.163532e-04
3.200000e+00,1.515099e-04,1.479648e-04,1.373529e-04,1.216520e-04
3.233333e+00,1.523546e-04,1.489137e-04,1.342557e-04,1.273333e-04
3.266667e+00,1.531011e-04,1.498777e-04,1.315264e-04,1.331310e-04
3.300000e+00,1.537562e-04,1.508509e-04,1.293402e-04,1.388077e-04
3.333333e+00,1.543258e-04,1.518246e-04,1.278721e-04,1.441322e-04
3.366667e+00,1.548227e-04,1.527887e-04,1.272219e-04,1.489273e-04
3.400000e+00,1.552578e-04,1.537322e-04,1.274701e-04,1.530505e-04
3.433333e+00,1.556416e-04,1.546429e-04,1.286864e-04,1.563791e-04
3.466667e+00,1.559884e-04,1.555114e-04,1.308412e-04,1.588867e-04
3.500000e+00,1.563107e-04,1.563290e-04,1.338927e-04,1.605734e-04
3.533333e+00,1.566207e-04,1.570870e-04,1.377844e-04,1.614634e-04
3.566667e+00,1.569311e-04,1.577833e-04,1.423764e-04,1.616702e-04
3.600000e+00,1.572527e-04,1.584170e-04,1.475300e-04,1.613164e-04
3.633333e+00,1.575967e-04,1.589887e-04,1.530944e-04,1.605425e-04
3.666667e+00,1.579713e-04,1.595062e-04,1.588825e-04,1.595315e-04
3.700000e+00,1.583842e-04,1.599781e-04,1.647204e-04,1.584567e-04
3.733333e+00,1.588429e-04,1.604156e-04,1.704303e-04,1.574966e-04
3.766667e+00,1.593508e-04,1.608340e-04,1.758540e-04,1.568104e-04
3.800000e+00,1.599113e-04,1.612492e-04,1.808525e-04,1.565361e-04
3.833333e+00,1.605281e-04,1.616790e-04,1.852912e-04,1.568025e-04
3.866667e+00,1.612005e-04,1.621406e-04,1.890974e-04,1.576729e-04
3.900000e+00,1.619284e-04,1.626507e-04,1.922146e-04,1.591877e-04
3.933333e+00,1.627126e-04,1.632273e-04,1.945960e-04,1.613691e-04
3.966667e+00,1.635498e-04,1.638824e-04,1.962694e-04,1.641616e-04
4.000000e+00,1.644383e-04,1.646268e-04,1.972699e-04,1.674954e-04
4.033333e+00,1.653771e-04,1.654719e-04,1.976408e-04,1.712810e-04
4.066667e+00,1.663626e-04,1.664191e-04,1.974841e-04,1.753764e-04
4.100000e+00,1.673925e-04,1.674695e-04,1.968966e-04,1.796388e-04
4.133333e+00,1.684657e-04,1.686231e-04,1.959781e-04,1.839113e-04
4.166667e+00,1.695788e-04,1.698705e-04,1.948518e-04,1.880338e-04
4.200000e+00,1.707298e-04,1.712020e-04,1.936264e-04,1.918566e-04
4.233333e+00,1.719178e-04,1.726070e-04,1.924060e-04,1.952259e-04
4.266667e+00,1.731397e-04,1.740682e-04,1.912822e-04,1.980347e-04
4.300000e+00,1.743935e-04,1.755691e-04,1.903284e-04,2.001908e-04
4.333333e+00,1.756776e-04,1.770926e-04,1.896076e-04,2.016077e-04
4.366667e+00,1.769883e-04,1.786198e-04,1.891483e-04,2.022746e-04
4.400000e+00,1.783226e-04,1.801333e-04,1.889640e-04,2.021925e-04
