t,c1,c2
4.433333e+00,9.864366e-01,9.859960e-01
4.466667e+00,9.863576e-01,9.858750e-01
4.500000e+00,9.862878e-01,9.857760e-01
4.533333e+00,9.862318e-01,9.857066e-01
4.566667e+00,9.861922e-01,9.856705e-01
4.600000e+00,9.861709e-01,9.856699e-01
4.633333e+00,9.861686e-01,9.857058e-01
4.666667e+00,9.861838e-01,9.857740e-01
4.700000e+00,9.862140e-01,9.858698e-01
4.733333e+00,9.862559e-01,9.859867e-01
4.766667e+00,9.863049e-01,9.861158e-01
4.800000e+00,9.863559e-01,9.862486e-01
4.833333e+00,9.864037e-01,9.863760e-01
4.866667e+00,9.864434e-01,9.864899e-01
4.900000e+00,9.864708e-01,9.865834e-01
4.933333e+00,9.864816e-01,9.866495e-01
4.966667e+00,9.864736e-01,9.866851e-01
5.000000e+00,9.864453e-01,9.866877e-01
5.033333e+00,9.863961e-01,9.866557e-01
5.066667e+00,9.863275e-01,9.865915e-01
5.100000e+00,9.862420e-01,9.864983e-01
5.133333e+00,9.861426e-01,9.863801e-01
5.166667e+00,9.860345e-01,9.862444e-01
5.200000e+00,9.859229e-01,9.860987e-01
5.233333e+00,9.858137e-01,9.859518e-01
5.266667e+00,9.857129e-01,9.858128e-01
5.300000e+00,9.856261e-01,9.856905e-01
5.333333e+00,9.855589e-01,9.855936e-01
5.366667e+00,9.855152e-01,9.855280e-01
5.400000e+00,9.854976e-01,9.854981e-01
5.433333e+00,9.855085e-01,9.855072e-01
5.466667e+00,9.855470e-01,9.855537e-01
5.500000e+00,9.856115e-01,9.856346e-01
5.533333e+00,9.856994e-01,9.857455e-01
5.566667e+00,9.858057e-01,9.858783e-01
5.600000e+00,9.859252e-01,9.860248e-01
5.633333e+00,9.860521e-01,9.861760e-01
5.666667e+00,9.861801e-01,9.863228e-01
5.700000e+00,9.863033e-01,9.864569e-01
5.733333e+00,9.864156e-01,9.865701e-01
5.766667e+00,9.865126e-01,9.866570e-01
5.800000e+00,9.865905e-01,9.867133e-01
5.833333e+00,9.866460e-01,9.867353e-01
5.866667e+00,9.866784e-01,9.867232e-01
5.900000e+00,9.866877e-01,9.866782e-01
5.933333e+00,9.866745e-01,9.866022e-01
5.966667e+00,9.866421e-01,9.865009e-01
6.000000e+00,9.865940e-01,9.863804e-01
6.033333e+00,9.865345e-01,9.862480e-01
6.066667e+00,9.864689e-01,9.861127e-01
6.100000e+00,9.864027e-01,9.859831e-01
6.133333e+00,9.863410e-01,9.858684e-01
6.166667e+00,9.862887e-01,9.857760e-01
6.200000e+00,9.862496e-01,9.857124e-01
6.233333e+00,9.862269e-01,9.856828e-01
6.266667e+00,9.862219e-01,9.856884e-01
6.300000e+00,9.862346e-01,9.857288e-01
6.333333e+00,9.862641e-01,9.858019e-01
6.366667e+00,9.863074e-01,9.859015e-01
6.400000e+00,9.863609e-01,9.860208e-01
6.433333e+00,9.864201e-01,9.861519e-01
6.466667e+00,9.864797e-01,9.862857e-01
6.500000e+00,9.865348e-01,9.864136e-01
6.533333e+00,9.865799e-01,9.865269e-01
6.566667e+00,9.866108e-01,9.866190e-01
6.600000e+00,9.866240e-01,9.866843e-01
6.633333e+00,9.866159e-01,9.867177e-01
6.666667e+00,9.865859e-01,9.867178e-01
6.700000e+00,9.865336e-01,9.866842e-01
6.733333e+00,9.864596e-01,9.866173e-01
6.766667e+00,9.863669e-01,9.865214e-01
6.800000e+00,9.862592e-01,9.864014e-01
6.833333e+00,9.861407e-01,9.862633e-01
6.866667e+00,9.860173e-01,9.861155e-01
6.900000e+00,9.858949e-01,9.859665e-01
6.933333e+00,9.857798e-01,9.858257e-01
6.966667e+00,9.856777e-01,9.857017e-01
7.000000e+00,9.855939e-01,9.856024e-01
7.033333e+00,9.855333e-01,9.855350e-01
7.066667e+00,9.854986e-01,9.855032e-01
7.100000e+00,9.854913e-01,9.855089e-01
7.133333e+00,9.855125e-01,9.855526e-01
7.166667e+00,9.855599e-01,9.856303e-01
7.200000e+00,9.856307e-01,9.857368e-01
7.233333e+00,9.857214e-01,9.858655e-01
7.266667e+00,9.858264e-01,9.860076e-01
7.300000e+00,9.859402e-01,9.861543e-01
7.333333e+00,9.860567e-01,9.862964e-01
7.366667e+00,9.861702e-01,9.864259e-01
7.400000e+00,9.862753e-01,9.865357e-01
7.433333e+00,9.863667e-01,9.866189e-01
7.466667e+00,9.864412e-01,9.866721e-01
7.500000e+00,9.864963e-01,9.866929e-01
7.533333e+00,9.865297e-01,9.866793e-01
7.566667e+00,9.865422e-01,9.866338e-01
7.600000e+00,9.865350e-01,9.865592e-01
7.633333e+00,9.865100e-01,9.864595e-01
7.666667e+00,9.864712e-01,9.863418e-01
7.700000e+00,9.864230e-01,9.862134e-01
7.733333e+00,9.863700e-01,9.860826e-01
7.766667e+00,9.863176e-01,9.859585e-01
7.800000e+00,9.862708e-01,9.858493e-01
7.833333e+00,9.862343e-01,9.857634e-01
7.866667e+00,9.862115e-01,9.857064e-01
7.900000e+00,9.862052e-01,9.856824e-01
7.933333e+00,9.862169e-01,9.856943e-01
7.966667e+00,9.862462e-01,9.857403e-01
8.000000e+00,9.862916e-01,9.858176e-01
8.033333e+00,9.863507e-01,9.859214e-01
8.066667e+00,9.864192e-01,9.860440e-01
8.100000e+00,9.864925e-01,9.861775e-01
8.133333e+00,9.865654e-01,9.863130e-01
8.166667e+00,9.866325e-01,9.864418e-01
8.200000e+00,9.866889e-01,9.865562e-01
8.233333e+00,9.867293e-01,9.866483e-01
8.266667e+00,9.867504e-01,9.867131e-01
8.300000e+00,9.867496e-01,9.867469e-01
8.333333e+00,9.867243e-01,9.867462e-01
8.366667e+00,9.866752e-01,9.867118e-01
8.400000e+00,9.866032e-01,9.866450e-01
8.433333e+00,9.865100e-01,9.865483e-01
8.466667e+00,9.863999e-01,9.864277e-01
8.500000e+00,9.862776e-01,9.862895e-01
8.533333e+00,9.861480e-01,9.861413e-01
8.566667e+00,9.860178e-01,9.859922e-01
8.600000e+00,9.858928e-01,9.858508e-01
8.633333e+00,9.857794e-01,9.857265e-01
8.666667e+00,9.856827e-01,9.856266e-01
8.700000e+00,9.856072e-01,9.855573e-01
8.733333e+00,9.855569e-01,9.855239e-01
8.766667e+00,9.855330e-01,9.855275e-01
8.800000e+00,9.855360e-01,9.855673e-01
8.833333e+00,9.855654e-01,9.856413e-01
8.866667e+00,9.856180e-01,9.857433e-01
8.900000e+00,9.856902e-01,9.858665e-01
8.933333e+00,9.857774e-01,9.860029e-01
8.966667e+00,9.858740e-01,9.861435e-01
9.000000e+00,9.859746e-01,9.862798e-01
9.033333e+00,9.860732e-01,9.864032e-01
9.066667e+00,9.861649e-01,9.865070e-01
9.100000e+00,9.862453e-01,9.865858e-01
9.133333e+00,9.863101e-01,9.866342e-01
9.166667e+00,9.863574e-01,9.866510e-01
9.200000e+00,9.863860e-01,9.866355e-01
9.233333e+00,9.863951e-01,9.865880e-01
9.266667e+00,9.863867e-01,9.865126e-01
9.300000e+00,9.863632e-01,9.864139e-01
9.333333e+00,9.863275e-01,9.862976e-01
9.366667e+00,9.862844e-01,9.861719e-01
9.400000e+00,9.862386e-01,9.860448e-01
9.433333e+00,9.861950e-01,9.859252e-01
9.466667e+00,9.861586e-01,9.858213e-01
9.500000e+00,9.861336e-01,9.857405e-01
9.533333e+00,9.861238e-01,9.856893e-01
9.566667e+00,9.861313e-01,9.856712e-01
9.600000e+00,9.861573e-01,9.856878e-01
9.633333e+00,9.862018e-01,9.857390e-01
9.666667e+00,9.862627e-01,9.858208e-01
9.700000e+00,9.863373e-01,9.859279e-01
9.733333e+00,9.864216e-01,9.860537e-01
9.766667e+00,9.865106e-01,9.861896e-01
9.800000e+00,9.865991e-01,9.863272e-01
9.833333e+00,9.866813e-01,9.864574e-01
9.866667e+00,9.867521e-01,9.865728e-01
9.900000e+00,9.868070e-01,9.866665e-01
9.933333e+00,9.868411e-01,9.867319e-01
9.966667e+00,9.868522e-01,9.867663e-01
1.000000e+01,9.868398e-01,9.867689e-01
