t,c1,c2
0.000000e+00,9.862150e-01,9.866353e-01
1.000000e-02,9.862150e-01,9.866353e-01
2.000000e-02,9.862150e-01,9.866353e-01
3.000000e-02,9.862150e-01,9.866353e-01
4.000000e-02,9.862150e-01,9.866353e-01
5.000000e-02,9.862150e-01,9.866353e-01
6.000000e-02,9.862150e-01,9.866353e-01
7.000000e-02,9.862150e-01,9.866353e-01
8.000000e-02,9.862150e-01,9.866353e-01
9.000000e-02,9.862150e-01,9.866353e-01
1.000000e-01,3.217717e-06,6.920133e-01
1.125000e-01,3.063320e-06,6.792135e-01
1.250000e-01,2.952124e-06,6.693651e-01
1.375000e-01,2.868614e-06,6.615601e-01
1.500000e-01,7.953379e-01,7.749952e-01
1.600000e-01,8.083925e-01,7.765647e-01
1.700000e-01,8.178834e-01,7.773476e-01
1.800000e-01,8.247175e-01,7.775452e-01
1.900000e-01,8.295746e-01,7.773087e-01
2.000000e-01,8.982984e-01,9.199854e-01
2.166667e-01,9.050846e-01,9.254107e-01
2.333333e-01,9.108514e-01,9.327942e-01
2.500000e-01,9.135454e-01,9.361299e-01
2.666667e-01,9.147273e-01,9.379221e-01
2.833333e-01,9.149723e-01,9.388652e-01
3.000000e-01,9.145659e-01,9.392297e-01
3.166667e-01,9.136818e-01,9.391740e-01
3.333333e-01,9.124298e-01,9.387978e-01
3.500000e-01,9.108806e-01,9.381639e-01
3.666667e-01,9.090807e-01,9.373128e-01
3.833333e-01,9.070621e-01,9.362714e-01
4.000000e-01,9.048482e-01,9.350583e-01
4.166667e-01,9.024572e-01,9.336875e-01
4.333333e-01,8.999041e-01,9.321699e-01
4.500000e-01,8.972023e-01,9.305149e-01
4.666667e-01,8.943639e-01,9.287312e-01
4.833333e-01,8.914009e-01,9.268268e-01
5.000000e-01,8.883244e-01,9.248095e-01
5.166667e-01,8.851457e-01,9.226871e-01
5.333333e-01,8.818759e-01,9.204673e-01
5.500000e-01,8.785258e-01,9.181577e-01
5.666667e-01,8.751063e-01,9.157660e-01
5.833333e-01,8.716280e-01,9.132998e-01
6.000000e-01,8.681014e-01,9.107667e-01
6.166667e-01,8.645366e-01,9.081741e-01
6.333333e-01,8.609438e-01,9.055293e-01
6.500000e-01,8.573325e-01,9.028396e-01
6.666667e-01,8.537122e-01,9.001120e-01
6.833333e-01,8.500917e-01,8.973533e-01
7.000000e-01,8.464798e-01,8.945705e-01
7.166667e-01,8.428846e-01,8.917699e-01
7.333333e-01,8.393140e-01,8.889580e-01
7.500000e-01,8.357752e-01,8.861408e-01
7.666667e-01,8.322752e-01,8.833245e-01
7.833333e-01,8.288204e-01,8.805146e-01
8.000000e-01,8.254168e-01,8.777168e-01
8.166667e-01,8.220699e-01,8.749365e-01
8.333333e-01,8.187848e-01,8.721787e-01
8.500000e-01,8.155661e-01,8.694484e-01
8.666667e-01,8.124182e-01,8.667505e-01
8.833333e-01,8.093447e-01,8.640894e-01
9.000000e-01,8.063491e-01,8.614695e-01
9.166667e-01,8.034344e-01,8.588951e-01
9.333333e-01,8.006034e-01,8.563701e-01
9.500000e-01,7.978584e-01,8.538985e-01
9.666667e-01,7.952013e-01,8.514838e-01
9.833333e-01,7.926341e-01,8.491295e-01
1.000000e+00,7.901582e-01,8.468391e-01
1.016667e+00,7.877749e-01,8.446157e-01
1.033333e+00,7.854853e-01,8.424623e-01
1.050000e+00,7.832901e-01,8.403819e-01
1.066667e+00,7.811902e-01,8.383772e-01
1.083333e+00,7.791860e-01,8.364509e-01
1.100000e+00,7.772780e-01,8.346053e-01
1.116667e+00,7.754665e-01,8.328430e-01
1.133333e+00,7.737517e-01,8.311662e-01
1.150000e+00,7.721337e-01,8.295769e-01
1.166667e+00,7.706127e-01,8.280772e-01
1.183333e+00,7.691885e-01,8.266691e-01
1.200000e+00,7.678613e-01,8.253541e-01
1.216667e+00,7.666309e-01,8.241341e-01
1.233333e+00,7.654972e-01,8.230105e-01
1.250000e+00,7.644602e-01,8.219847e-01
1.266667e+00,7.635197e-01,8.210581e-01
1.283333e+00,7.626757e-01,8.202317e-01
1.300000e+00,7.619280e-01,8.195065e-01
1.316667e+00,7.612764e-01,8.188836e-01
1.333333e+00,7.607210e-01,8.183635e-01
1.350000e+00,7.602616e-01,8.179469e-01
1.366667e+00,7.598982e-01,8.176343e-01
1.383333e+00,7.596307e-01,8.174259e-01
1.400000e+00,7.594591e-01,8.173220e-01
1.416667e+00,7.593833e-01,8.173224e-01
1.433333e+00,7.594033e-01,8.174270e-01
1.450000e+00,7.595192e-01,8.176356e-01
1.466667e+00,7.597309e-01,8.179475e-01
1.483333e+00,7.600386e-01,8.183623e-01
1.500000e+00,7.604422e-01,8.188791e-01
1.516667e+00,7.609417e-01,8.194969e-01
1.533333e+00,7.615372e-01,8.202147e-01
1.550000e+00,7.622288e-01,8.210312e-01
1.566667e+00,7.630164e-01,8.219450e-01
1.583333e+00,7.639000e-01,8.229546e-01
1.600000e+00,7.648796e-01,8.240584e-01
1.616667e+00,7.659550e-01,8.252544e-01
1.633333e+00,7.671263e-01,8.265407e-01
