t,c1,c2
0.000000e+00,9.862150e-01,9.866353e-01
1.666667e-02,9.862124e-01,9.866345e-01
3.333333e-02,9.862043e-01,9.866321e-01
5.000000e-02,9.861905e-01,9.866279e-01
6.666667e-02,9.861700e-01,9.866217e-01
8.333333e-02,9.861441e-01,9.866141e-01
1.000000e-01,9.861134e-01,9.866052e-01
1.166667e-01,9.860782e-01,9.865955e-01
1.333333e-01,9.860403e-01,9.865856e-01
1.500000e-01,9.860004e-01,9.865758e-01
1.666667e-01,9.859597e-01,9.865666e-01
1.833333e-01,9.859192e-01,9.865584e-01
2.000000e-01,9.858797e-01,9.865513e-01
2.166667e-01,9.858422e-01,9.865456e-01
2.333333e-01,9.858070e-01,9.865412e-01
2.500000e-01,9.857745e-01,9.865380e-01
2.666667e-01,9.857454e-01,9.865360e-01
2.833333e-01,9.857195e-01,9.865349e-01
3.000000e-01,9.856968e-01,9.865344e-01
3.166667e-01,9.856778e-01,9.865344e-01
3.333333e-01,9.856621e-01,9.865346e-01
3.500000e-01,9.856495e-01,9.865348e-01
3.666667e-01,9.856405e-01,9.865349e-01
3.833333e-01,9.856346e-01,9.865348e-01
4.000000e-01,9.856317e-01,9.865344e-01
4.166667e-01,9.856321e-01,9.865338e-01
4.333333e-01,9.856355e-01,9.865331e-01
4.500000e-01,9.856418e-01,9.865324e-01
4.666667e-01,9.856512e-01,9.865317e-01
4.833333e-01,9.856634e-01,9.865311e-01
5.000000e-01,9.856781e-01,9.865309e-01
5.166667e-01,9.856955e-01,9.865311e-01
5.333333e-01,9.857150e-01,9.865317e-01
5.500000e-01,9.857365e-01,9.865327e-01
5.666667e-01,9.857599e-01,9.865343e-01
5.833333e-01,9.857845e-01,9.865364e-01
6.000000e-01,9.858100e-01,9.865389e-01
6.166667e-01,9.858363e-01,9.865418e-01
6.333333e-01,9.858627e-01,9.865450e-01
6.500000e-01,9.858890e-01,9.865483e-01
6.666667e-01,9.859148e-01,9.865519e-01
6.833333e-01,9.859398e-01,9.865554e-01
7.000000e-01,9.859637e-01,9.865589e-01
7.166667e-01,9.859861e-01,9.865624e-01
7.333333e-01,9.860070e-01,9.865657e-01
7.500000e-01,9.860262e-01,9.865689e-01
7.666667e-01,9.860433e-01,9.865719e-01
7.833333e-01,9.860585e-01,9.865748e-01
8.000000e-01,9.860717e-01,9.865776e-01
8.166667e-01,9.860827e-01,9.865802e-01
8.333333e-01,9.860915e-01,9.865827e-01
8.500000e-01,9.860984e-01,9.865851e-01
8.666667e-01,9.861029e-01,9.865873e-01
8.833333e-01,9.861056e-01,9.865896e-01
9.000000e-01,9.861063e-01,9.865917e-01
9.166667e-01,9.861050e-01,9.865938e-01
9.333333e-01,9.861020e-01,9.865958e-01
9.500000e-01,9.860975e-01,9.865977e-01
9.666667e-01,9.860914e-01,9.865995e-01
9.833333e-01,9.860840e-01,9.866012e-01
1.000000e+00,9.860755e-01,9.866028e-01
1.016667e+00,9.860661e-01,9.866043e-01
1.033333e+00,9.860560e-01,9.866057e-01
1.050000e+00,9.860455e-01,9.866070e-01
1.066667e+00,9.860348e-01,9.866082e-01
1.083333e+00,9.860242e-01,9.866094e-01
1.100000e+00,9.860139e-01,9.866106e-01
1.116667e+00,9.860043e-01,9.866118e-01
1.133333e+00,9.859955e-01,9.866130e-01
1.150000e+00,9.859878e-01,9.866142e-01
1.166667e+00,9.859814e-01,9.866155e-01
1.183333e+00,9.859764e-01,9.866169e-01
1.200000e+00,9.859729e-01,9.866184e-01
1.216667e+00,9.859712e-01,9.866200e-01
1.233333e+00,9.859711e-01,9.866217e-01
1.250000e+00,9.859727e-01,9.866234e-01
1.266667e+00,9.859761e-01,9.866252e-01
1.283333e+00,9.859811e-01,9.866270e-01
1.300000e+00,9.859876e-01,9.866288e-01
1.316667e+00,9.859955e-01,9.866305e-01
1.333333e+00,9.860045e-01,9.866322e-01
1.350000e+00,9.860145e-01,9.866337e-01
1.366667e+00,9.860254e-01,9.866351e-01
1.383333e+00,9.860368e-01,9.866363e-01
1.400000e+00,9.860485e-01,9.866373e-01
1.416667e+00,9.860603e-01,9.866381e-01
1.433333e+00,9.860719e-01,9.866386e-01
1.450000e+00,9.860832e-01,9.866388e-01
1.466667e+00,9.860939e-01,9.866388e-01
1.483333e+00,9.861038e-01,9.866385e-01
1.500000e+00,9.861128e-01,9.866380e-01
