t,c1,c2,c3,c4
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-02,2.549979e-05,1.168575e-07,-2.548668e-05,-1.009539e-07
6.666667e-02,5.017781e-05,9.117420e-07,-5.007391e-05,-7.861236e-07
1.000000e-01,7.326747e-05,3.007357e-06,-7.291562e-05,-2.584195e-06
1.333333e-01,9.400738e-05,7.000713e-06,-9.315639e-05,-5.984597e-06
1.666667e-01,1.119020e-04,1.324376e-05,-1.102142e-04,-1.124520e-05
2.000000e-01,1.265545e-04,2.197430e-05,-1.235935e-04,-1.849968e-05
2.333333e-01,1.376288e-04,3.333059e-05,-1.328326e-04,-2.775690e-05
2.666667e-01,1.451855e-04,4.710473e-05,-1.378945e-04,-3.871321e-05
3.000000e-01,1.493599e-04,6.298831e-05,-1.388004e-04,-5.094787e-05
3.333333e-01,1.503678e-04,8.054456e-05,-1.356224e-04,-6.388116e-05
3.666667e-01,1.487588e-04,9.909715e-05,-1.288239e-04,-7.675523e-05
4.000000e-01,1.450889e-04,1.179355e-04,-1.188585e-04,-8.875989e-05
4.333333e-01,1.399637e-04,1.362560e-04,-1.062006e-04,-9.896341e-05
4.666667e-01,1.341094e-04,1.532764e-04,-9.153241e-05,-1.065469e-04
5.000000e-01,1.281831e-04,1.682597e-04,-7.544911e-05,-1.107213e-04
5.333333e-01,1.228266e-04,1.804548e-04,-5.850635e-05,-1.106642e-04
5.666667e-01,1.185597e-04,1.894054e-04,-4.124384e-05,-1.059618e-04
6.000000e-01,1.157879e-04,1.947482e-04,-2.406886e-05,-9.628153e-05
6.333333e-01,1.148377e-04,1.961843e-04,-7.294025e-06,-8.134998e-05
6.666667e-01,1.157706e-04,1.938481e-04,8.922396e-06,-6.143979e-05
7.000000e-01,1.185415e-04,1.879562e-04,2.454445e-05,-3.689554e-05
7.333333e-01,1.229996e-04,1.788282e-04,3.964585e-05,-8.169822e-06
7.666667e-01,1.287575e-04,1.671442e-04,5.444103e-05,2.384409e-05
8.000000e-01,1.353785e-04,1.536067e-04,6.920700e-05,5.824570e-05
8.333333e-01,1.423467e-04,1.390024e-04,8.429260e-05,9.404414e-05
8.666667e-01,1.490875e-04,1.242309e-04,1.000481e-04,1.301139e-04
9.000000e-01,1.550541e-04,1.101387e-04,1.168077e-04,1.654045e-04
9.333333e-01,1.596895e-04,9.759349e-05,1.349018e-04,1.988438e-04
9.666667e-01,1.625981e-04,8.727816e-05,1.544967e-04,2.295836e-04
1.000000e+00,1.634696e-04,7.977176e-05,1.756836e-04,2.569003e-04
1.033333e+00,1.620595e-04,7.560175e-05,1.984700e-04,2.801253e-04
1.066667e+00,1.584170e-04,7.491083e-05,2.226254e-04,2.990492e-04
1.100000e+00,1.526851e-04,7.774007e-05,2.478296e-04,3.135723e-04
1.133333e+00,1.451182e-04,8.403618e-05,2.736344e-04,3.236859e-04
1.166667e+00,1.362260e-04,9.335693e-05,2.994375e-04,3.298468e-04
1.200000e+00,1.265719e-04,1.052154e-04,3.245814e-04,3.325441e-04
1.233333e+00,1.168228e-04,1.190431e-04,3.482914e-04,3.323305e-04
1.266667e+00,1.077044e-04,1.340710e-04,3.698603e-04,3.300182e-04
1.300000e+00,9.993104e-05,1.495703e-04,3.885827e-04,3.263499e-04
1.333333e+00,9.426560e-05,1.647949e-04,4.036952e-04,3.220538e-04
1.366667e+00,9.127177e-05,1.790732e-04,4.147534e-04,3.178281e-04
1.400000e+00,9.144794e-05,1.918433e-04,4.213578e-04,3.142265e-04
1.433333e+00,9.526718e-05,2.026073e-04,4.231227e-04,3.117021e-04
1.466667e+00,1.028174e-04,2.111516e-04,4.201317e-04,3.104721e-04
1.500000e+00,1.141089e-04,2.173886e-04,4.125134e-04,3.105985e-04
1.533333e+00,1.290720e-04,2.213476e-04,4.004569e-04,3.119978e-04
1.566667e+00,1.472399e-04,2.233709e-04,3.845862e-04,3.143405e-04
1.600000e+00,1.681061e-04,2.238808e-04,3.655273e-04,3.172006e-04
1.633333e+00,1.910788e-04,2.234099e-04,3.439677e-04,3.200309e-04
1.666667e+00,2.153451e-04,2.226378e-04,3.208227e-04,3.222210e-04
1.700000e+00,2.401210e-04,2.222400e-04,2.969485e-04,3.231608e-04
1.733333e+00,2.645832e-04,2.229377e-04,2.732246e-04,3.222031e-04
1.766667e+00,2.879636e-04,2.253340e-04,2.504740e-04,3.188977e-04
1.800000e+00,3.095841e-04,2.299511e-04,2.294182e-04,3.128777e-04
1.833333e+00,3.287949e-04,2.372668e-04,2.107495e-04,3.038432e-04
1.866667e+00,3.452365e-04,2.474306e-04,1.948741e-04,2.918639e-04
1.900000e+00,3.586545e-04,2.604823e-04,1.820986e-04,2.771209e-04
1.933333e+00,3.688719e-04,2.763492e-04,1.726683e-04,2.599340e-04
1.966667e+00,3.760777e-04,2.946011e-04,1.664670e-04,2.409601e-04
2.000000e+00,3.805250e-04,3.147314e-04,1.633304e-04,2.209301e-04
