t,c1,c2,c3,c4
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-02,2.540461e-05,-2.537538e-05,-5.313138e-09,-9.378646e-09
6.666667e-02,4.943830e-05,-4.919424e-05,-3.868763e-08,-6.835831e-08
1.000000e-01,7.097071e-05,-7.014061e-05,-1.168280e-07,-2.068673e-07
1.333333e-01,8.893276e-05,-8.694501e-05,-2.488866e-07,-4.418176e-07
1.666667e-01,1.027745e-04,-9.892425e-05,-4.300394e-07,-7.653848e-07
2.000000e-01,1.119836e-04,-1.054301e-04,-6.492505e-07,-1.159001e-06
2.333333e-01,1.162465e-04,-1.060370e-04,-8.850371e-07,-1.586439e-06
2.666667e-01,1.157768e-04,-1.009425e-04,-1.106139e-06,-1.995414e-06
3.000000e-01,1.108797e-04,-9.045544e-05,-1.274681e-06,-2.324403e-06
3.333333e-01,1.019689e-04,-7.501345e-05,-1.341897e-06,-2.497031e-06
3.666667e-01,8.987680e-05,-5.557301e-05,-1.259685e-06,-2.441446e-06
4.000000e-01,7.543187e-05,-3.309536e-05,-9.749790e-07,-2.082782e-06
4.333333e-01,5.953097e-05,-8.629744e-06,-4.239450e-07,-1.336451e-06
4.666667e-01,4.319380e-05,1.659822e-05,4.410038e-07,-1.483883e-07
5.000000e-01,2.735792e-05,4.145480e-05,1.671252e-06,1.534234e-06
5.333333e-01,1.296769e-05,6.479182e-05,3.327537e-06,3.767866e-06
5.666667e-01,7.778138e-07,8.566599e-05,5.439070e-06,6.560393e-06
6.000000e-01,-8.572407e-06,1.032726e-04,8.038570e-06,9.918416e-06
6.333333e-01,-1.449326e-05,1.168636e-04,1.116559e-05,1.384789e-05
6.666667e-01,-1.678393e-05,1.261499e-04,1.481782e-05,1.830402e-05
7.000000e-01,-1.534062e-05,1.309632e-04,1.899675e-05,2.324421e-05
7.333333e-01,-1.013966e-05,1.312318e-04,2.370727e-05,2.862392e-05
7.666667e-01,-1.561407e-06,1.273749e-04,2.891054e-05,3.436166e-05
8.000000e-01,9.973554e-06,1.198662e-04,3.457209e-05,4.038291e-05
8.333333e-01,2.397092e-05,1.092707e-04,4.065744e-05,4.661257e-05
8.666667e-01,3.969025e-05,9.646533e-05,4.709666e-05,5.296211e-05
9.000000e-01,5.641992e-05,8.229920e-05,5.382514e-05,5.935351e-05
9.333333e-01,7.341320e-05,6.767015e-05,6.077590e-05,6.571099e-05
9.666667e-01,8.992425e-05,5.349521e-05,6.786392e-05,7.196901e-05
1.000000e+00,1.052871e-04,4.060197e-05,7.501033e-05,7.807296e-05
1.033333e+00,1.188518e-04,2.980869e-05,8.213326e-05,8.397279e-05
1.066667e+00,1.301892e-04,2.168120e-05,8.915456e-05,8.964344e-05
1.100000e+00,1.389621e-04,1.667906e-05,9.600209e-05,9.506743e-05
1.133333e+00,1.448884e-04,1.520479e-05,1.026013e-04,1.002316e-04
1.166667e+00,1.480066e-04,1.727056e-05,1.089008e-04,1.051494e-04
1.200000e+00,1.484184e-04,2.281258e-05,1.148534e-04,1.098355e-04
1.233333e+00,1.462919e-04,3.169203e-05,1.204102e-04,1.143056e-04
1.266667e+00,1.420658e-04,4.341989e-05,1.255573e-04,1.185927e-04
1.300000e+00,1.361898e-04,5.749116e-05,1.302815e-04,1.227242e-04
1.333333e+00,1.291629e-04,7.334211e-05,1.345678e-04,1.267236e-04
1.366667e+00,1.215930e-04,9.024145e-05,1.384381e-04,1.306189e-04
1.400000e+00,1.140495e-04,1.075029e-04,1.419108e-04,1.344286e-04
1.433333e+00,1.071161e-04,1.244216e-04,1.450021e-04,1.381624e-04
1.466667e+00,1.012937e-04,1.403576e-04,1.477576e-04,1.418270e-04
1.500000e+00,9.701724e-05,1.547521e-04,1.502159e-04,1.454192e-04
1.533333e+00,9.470001e-05,1.670716e-04,1.524123e-04,1.489254e-04
1.566667e+00,9.453293e-05,1.770267e-04,1.543991e-04,1.523304e-04
1.600000e+00,9.664533e-05,1.844075e-04,1.562195e-04,1.556119e-04
1.633333e+00,1.011209e-04,1.890580e-04,1.579122e-04,1.587390e-04
