t,y1b3,y1b13,y2b3,y2b13
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-02,-3.712749e-04,-1.142472e-04,-2.428718e-04,-5.869549e-04
6.666667e-02,-5.800469e-04,-1.850385e-04,-4.001075e-04,-9.362272e-04
1.000000e-01,-6.944432e-04,-2.277696e-04,-5.052240e-04,-1.146884e-03
1.333333e-01,-7.554481e-04,-2.536752e-04,-5.817967e-04,-1.280860e-03
1.666667e-01,-7.861485e-04,-2.696737e-04,-6.441539e-04,-1.373807e-03
2.000000e-01,-7.991109e-04,-2.797003e-04,-7.003614e-04,-1.445340e-03
2.333333e-01,-8.010584e-04,-2.858909e-04,-7.546991e-04,-1.505919e-03
2.666667e-01,-7.955743e-04,-2.893688e-04,-8.092753e-04,-1.560959e-03
3.000000e-01,-7.845964e-04,-2.907140e-04,-8.649852e-04,-1.613149e-03
3.333333e-01,-7.692231e-04,-2.902287e-04,-9.220544e-04,-1.663724e-03
3.666667e-01,-7.501415e-04,-2.880832e-04,-9.803410e-04,-1.713157e-03
4.000000e-01,-7.278543e-04,-2.843954e-04,-1.039504e-03,-1.761526e-03
4.333333e-01,-7.027987e-04,-2.792734e-04,-1.099098e-03,-1.808716e-03
4.666667e-01,-6.754073e-04,-2.728384e-04,-1.158629e-03,-1.854534e-03
5.000000e-01,-6.461393e-04,-2.652363e-04,-1.217587e-03,-1.898768e-03
5.333333e-01,-6.154930e-04,-2.566426e-04,-1.275469e-03,-1.941221e-03
5.666667e-01,-5.840092e-04,-2.472635e-04,-1.331789e-03,-1.981735e-03
6.000000e-01,-5.522673e-04,-2.373347e-04,-1.386095e-03,-2.020196e-03
6.333333e-01,-5.208781e-04,-2.271174e-04,-1.437969e-03,-2.056539e-03
6.666667e-01,-4.904725e-04,-2.168933e-04,-1.487031e-03,-2.090746e-03
7.000000e-01,-4.616894e-04,-2.069589e-04,-1.532947e-03,-2.122840e-03
7.333333e-01,-4.351609e-04,-1.976181e-04,-1.575422e-03,-2.152879e-03
7.666667e-01,-4.114976e-04,-1.891749e-04,-1.614205e-03,-2.180945e-03
8.000000e-01,-3.912741e-04,-1.819258e-04,-1.649087e-03,-2.207137e-03
8.333333e-01,-3.750143e-04,-1.761522e-04,-1.679896e-03,-2.231559e-03
8.666667e-01,-3.631781e-04,-1.721130e-04,-1.706499e-03,-2.254309e-03
9.000000e-01,-3.561502e-04,-1.700379e-04,-1.728799e-03,-2.275474e-03
9.333333e-01,-3.542298e-04,-1.701221e-04,-1.746733e-03,-2.295121e-03
