ws4,svs4
1.591549e-03,3.845089e-02
1.859464e-03,3.311369e-02
2.172477e-03,2.920824e-02
2.538182e-03,2.654318e-02
2.965449e-03,2.483782e-02
3.464639e-03,2.379981e-02
4.047860e-03,2.319363e-02
4.729259e-03,2.285966e-02
5.525361e-03,2.270170e-02
6.455476e-03,2.266781e-02
7.542161e-03,2.273466e-02
8.811775e-03,2.289755e-02
1.029511e-02,2.316509e-02
1.202814e-02,2.355701e-02
1.405290e-02,2.410357e-02
1.641851e-02,2.484593e-02
1.918232e-02,2.583676e-02
2.241139e-02,2.714051e-02
2.618402e-02,2.883333e-02
3.059172e-02,3.100223e-02
3.574139e-02,3.374415e-02
4.175794e-02,3.716515e-02
4.878728e-02,4.138066e-02
5.699991e-02,4.651673e-02
6.659502e-02,5.271234e-02
7.780532e-02,6.012216e-02
9.090272e-02,6.891922e-02
1.062049e-01,7.929692e-02
1.240829e-01,9.146982e-02
1.449705e-01,1.056727e-01
1.693742e-01,1.221578e-01
1.978858e-01,1.411901e-01
2.311971e-01,1.630429e-01
2.701157e-01,1.879978e-01
2.730737e-01,1.898685e-01
3.055668e-01,2.101828e-01
3.155858e-01,2.163621e-01
3.526165e-01,2.388886e-01
3.654930e-01,2.466204e-01
3.923439e-01,2.626209e-01
4.169346e-01,2.772068e-01
4.392454e-01,2.905132e-01
4.593257e-01,3.027415e-01
4.772744e-01,3.141768e-01
4.959244e-01,3.272540e-01
5.169223e-01,3.460273e-01
5.394867e-01,3.848315e-01
5.590258e-01,4.758715e-01
5.758350e-01,6.509476e-01
5.902170e-01,9.538739e-01
6.024666e-01,1.494751e+00
6.128606e-01,2.444465e+00
6.216523e-01,3.263587e+00
6.305703e-01,2.636322e+00
6.414491e-01,1.723703e+00
6.547620e-01,1.186484e+00
6.711153e-01,8.814035e-01
6.912948e-01,6.983067e-01
7.163321e-01,5.859986e-01
7.476010e-01,5.230277e-01
7.869613e-01,5.022463e-01
8.404246e-01,5.172363e-01
8.906802e-01,5.564807e-01
9.345152e-01,6.224379e-01
9.724015e-01,7.336225e-01
1.004899e+00,9.223066e-01
1.006150e+00,9.325264e-01
1.032601e+00,1.235676e+00
1.056092e+00,1.743970e+00
1.072657e+00,2.394881e+00
1.075927e+00,2.574730e+00
1.092616e+00,4.010319e+00
1.106616e+00,6.800923e+00
1.118333e+00,1.328116e+01
1.128119e+00,2.303882e+01
1.137991e+00,1.450801e+01
1.150040e+00,8.178428e+00
1.161043e+00,5.895554e+00
1.164776e+00,5.410508e+00
1.182843e+00,3.971456e+00
1.205059e+00,3.122679e+00
1.232473e+00,2.582158e+00
1.266448e+00,2.222766e+00
1.308773e+00,1.980214e+00
1.361832e+00,1.819292e+00
1.428855e+00,1.719692e+00
1.514297e+00,1.669951e+00
1.624438e+00,1.665948e+00
1.768335e+00,1.716135e+00
1.797414e+00,1.732535e+00
1.936152e+00,1.840890e+00
1.959413e+00,1.863991e+00
2.041401e+00,1.955724e+00
2.138886e+00,2.084053e+00
2.188763e+00,2.161433e+00
2.281303e+00,2.363456e+00
2.411407e+00,2.833693e+00
2.529275e+00,3.329451e+00
2.635292e+00,3.671536e+00
2.745752e+00,3.782541e+00
2.879962e+00,3.590003e+00
3.044209e+00,3.156713e+00
3.246906e+00,2.666150e+00
3.499503e+00,2.236252e+00
3.817871e+00,1.896840e+00
4.224454e+00,1.639306e+00
4.443918e+00,1.545802e+00
5.191988e+00,1.347413e+00
6.065983e+00,1.229041e+00
7.087104e+00,1.154346e+00
8.280115e+00,1.105540e+00
9.673952e+00,1.072946e+00
1.130242e+01,1.050865e+00
1.320502e+01,1.035746e+00
1.542789e+01,1.025302e+00
1.802495e+01,1.018026e+00
2.105919e+01,1.012916e+00
2.460420e+01,1.009299e+00
2.874596e+01,1.006722e+00
3.358493e+01,1.004874e+00
3.923847e+01,1.003544e+00
4.584369e+01,1.002581e+00
5.356081e+01,1.001883e+00
6.257700e+01,1.001375e+00
7.311093e+01,1.001005e+00
8.541809e+01,1.000735e+00
9.979699e+01,1.000538e+00
1.165964e+02,1.000394e+00
1.362237e+02,1.000288e+00
1.591549e+02,1.000211e+00
