t,y1b3,y1b13,y2b3,y2b13
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-02,-3.799188e-04,-1.196250e-04,-2.449299e-04,-5.881572e-04
6.666667e-02,-5.767065e-04,-1.816869e-04,-3.715282e-04,-8.902008e-04
1.000000e-01,-6.430111e-04,-1.922709e-04,-3.929476e-04,-9.743297e-04
1.333333e-01,-6.270767e-04,-1.678314e-04,-3.424604e-04,-9.175637e-04
1.666667e-01,-5.742257e-04,-1.308490e-04,-2.661573e-04,-8.030628e-04
2.000000e-01,-5.215055e-04,-1.024580e-04,-2.081262e-04,-7.035864e-04
2.333333e-01,-4.921201e-04,-9.601532e-05,-1.971113e-04,-6.655079e-04
2.666667e-01,-4.934601e-04,-1.142275e-04,-2.400793e-04,-7.017228e-04
3.000000e-01,-5.195612e-04,-1.504012e-04,-3.241148e-04,-7.955842e-04
3.333333e-01,-5.567119e-04,-1.926793e-04,-4.246374e-04,-9.131036e-04
3.666667e-01,-5.899730e-04,-2.292451e-04,-5.160093e-04,-1.018076e-03
4.000000e-01,-6.084647e-04,-2.525120e-04,-5.804773e-04,-1.084707e-03
4.333333e-01,-6.080832e-04,-2.610458e-04,-6.127195e-04,-1.104143e-03
4.666667e-01,-5.913964e-04,-2.589886e-04,-6.192814e-04,-1.084024e-03
5.000000e-01,-5.654053e-04,-2.536568e-04,-6.140698e-04,-1.042641e-03
5.333333e-01,-5.383826e-04,-2.524849e-04,-6.121863e-04,-1.000747e-03
5.666667e-01,-5.170183e-04,-2.604823e-04,-6.245131e-04,-9.742284e-04
6.000000e-01,-5.047278e-04,-2.789766e-04,-6.547428e-04,-9.698993e-04
6.333333e-01,-5.014057e-04,-3.058266e-04,-6.993944e-04,-9.851804e-04
6.666667e-01,-5.043769e-04,-3.367565e-04,-7.502417e-04,-1.010975e-03
7.000000e-01,-5.099577e-04,-3.671491e-04,-7.978778e-04,-1.036124e-03
7.333333e-01,-5.149743e-04,-3.936062e-04,-8.350020e-04,-1.051631e-03
7.666667e-01,-5.177452e-04,-4.147990e-04,-8.583825e-04,-1.053287e-03
8.000000e-01,-5.183232e-04,-4.314583e-04,-8.690933e-04,-1.042143e-03
8.333333e-01,-5.180853e-04,-4.456766e-04,-8.712823e-04,-1.023125e-03
