wg22m,svg22m
1.591549e-03,8.512977e-02
1.859464e-03,8.454722e-02
2.172477e-03,8.411580e-02
2.538182e-03,8.379661e-02
2.965449e-03,8.356018e-02
3.464639e-03,8.338440e-02
4.047860e-03,8.325258e-02
4.729259e-03,8.315214e-02
5.525361e-03,8.307340e-02
6.455476e-03,8.300874e-02
7.542161e-03,8.295186e-02
8.811775e-03,8.289717e-02
1.029511e-02,8.283930e-02
1.202814e-02,8.277254e-02
1.405290e-02,8.269032e-02
1.641851e-02,8.258464e-02
1.918232e-02,8.244542e-02
2.241139e-02,8.225964e-02
2.618402e-02,8.201044e-02
3.059172e-02,8.167603e-02
3.574139e-02,8.122851e-02
4.175794e-02,8.063280e-02
4.878728e-02,7.984608e-02
5.699991e-02,7.881821e-02
6.659502e-02,7.749405e-02
7.780532e-02,7.581871e-02
9.090272e-02,7.374644e-02
1.062049e-01,7.125318e-02
1.240829e-01,6.835081e-02
1.449705e-01,6.509934e-02
1.693742e-01,6.161262e-02
1.978858e-01,5.805495e-02
2.311971e-01,5.463193e-02
2.701157e-01,5.158794e-02
3.155858e-01,4.923865e-02
3.260932e-01,4.887495e-02
3.659790e-01,4.813347e-02
4.041216e-01,4.851333e-02
4.400515e-01,5.019264e-02
4.734617e-01,5.344286e-02
5.041849e-01,5.842009e-02
5.321682e-01,6.460691e-02
5.574473e-01,7.018861e-02
5.801228e-01,7.270687e-02
6.037207e-01,7.076901e-02
6.323988e-01,6.346048e-02
6.674982e-01,5.310948e-02
7.108126e-01,4.331066e-02
7.647798e-01,3.585127e-02
8.327754e-01,3.133961e-02
9.195678e-01,2.970555e-02
1.032044e+00,2.911105e-02
1.095615e+00,2.878777e-02
1.112822e+00,2.868733e-02
1.228632e+00,2.786025e-02
1.340555e+00,2.692204e-02
1.447530e+00,2.611762e-02
1.527053e+00,2.571553e-02
1.548780e+00,2.564853e-02
1.571803e+00,2.560131e-02
1.643791e+00,2.563394e-02
1.719420e+00,2.601388e-02
1.744630e+00,2.623056e-02
1.757114e+00,2.635584e-02
1.866661e+00,2.801312e-02
1.958271e+00,3.026774e-02
2.003386e+00,3.171380e-02
2.167184e+00,3.927711e-02
2.317799e+00,5.058303e-02
2.345103e+00,5.322823e-02
2.454838e+00,6.614875e-02
2.578405e+00,8.534252e-02
2.688966e+00,1.044651e-01
2.787241e+00,1.170220e-01
2.889108e+00,1.193873e-01
3.012992e+00,1.097783e-01
3.164654e+00,9.323654e-02
3.351763e+00,7.680153e-02
3.584704e+00,6.329703e-02
3.877791e+00,5.276940e-02
4.251153e+00,4.451778e-02
4.733724e+00,3.784807e-02
5.191988e+00,3.356072e-02
6.065983e+00,2.804254e-02
7.087104e+00,2.379114e-02
8.280115e+00,2.032657e-02
9.673952e+00,1.741767e-02
1.130242e+01,1.493905e-02
1.320502e+01,1.281353e-02
1.542789e+01,1.098696e-02
1.802495e+01,9.417125e-03
2.105919e+01,8.068763e-03
2.460420e+01,6.911523e-03
2.874596e+01,5.919005e-03
3.358493e+01,5.068230e-03
3.923847e+01,4.339255e-03
4.584369e+01,3.714831e-03
5.356081e+01,3.180078e-03
6.257700e+01,2.722189e-03
7.311093e+01,2.330160e-03
8.541809e+01,1.994544e-03
9.979699e+01,1.707240e-03
1.165964e+02,1.461304e-03
1.362237e+02,1.250786e-03
1.591549e+02,1.070589e-03
