wg22f,svg22f
1.591549e-03,2.453075e+01
1.859464e-03,2.212612e+01
2.172477e-03,1.971533e+01
2.538182e-03,1.739776e+01
2.965449e-03,1.523704e+01
3.464639e-03,1.326748e+01
4.047860e-03,1.150177e+01
4.729259e-03,9.938087e+00
5.525361e-03,8.565778e+00
6.455476e-03,7.369401e+00
7.542161e-03,6.331486e+00
8.811775e-03,5.434272e+00
1.029511e-02,4.660726e+00
1.202814e-02,3.995087e+00
1.405290e-02,3.423111e+00
1.641851e-02,2.932124e+00
1.918232e-02,2.510974e+00
2.241139e-02,2.149922e+00
2.618402e-02,1.840510e+00
3.059172e-02,1.575420e+00
3.574139e-02,1.348343e+00
4.175794e-02,1.153843e+00
4.878728e-02,9.872516e-01
5.699991e-02,8.445560e-01
6.659502e-02,7.223145e-01
7.780532e-02,6.175739e-01
9.090272e-02,5.278021e-01
1.062049e-01,4.508275e-01
1.240829e-01,3.847881e-01
1.449705e-01,3.280874e-01
1.693742e-01,2.793573e-01
1.978858e-01,2.374267e-01
2.311971e-01,2.012975e-01
2.701157e-01,1.701302e-01
3.155858e-01,1.432540e-01
3.526165e-01,1.264701e-01
3.923290e-01,1.122646e-01
4.287896e-01,1.025238e-01
4.617227e-01,9.830765e-02
4.910682e-01,1.045516e-01
5.169223e-01,1.234810e-01
5.394867e-01,1.535592e-01
5.590258e-01,1.977183e-01
5.758350e-01,2.642999e-01
5.902170e-01,3.709355e-01
6.024666e-01,5.547798e-01
6.128606e-01,8.677435e-01
6.216523e-01,1.112610e+00
6.305703e-01,8.608376e-01
6.414491e-01,5.327388e-01
6.547620e-01,3.418588e-01
6.711153e-01,2.321677e-01
6.912948e-01,1.639126e-01
7.163321e-01,1.183641e-01
7.476010e-01,8.631214e-02
7.869613e-01,6.289561e-02
8.404246e-01,4.471172e-02
8.906802e-01,3.532506e-02
9.345152e-01,3.127647e-02
9.724015e-01,2.997134e-02
1.004899e+00,3.044964e-02
1.014177e+00,3.093978e-02
1.032601e+00,3.257519e-02
1.056092e+00,3.664373e-02
1.075927e+00,4.354220e-02
1.092616e+00,5.547844e-02
1.106616e+00,7.839918e-02
1.118301e+00,1.297561e-01
1.118333e+00,1.299868e-01
1.128119e+00,1.949322e-01
1.137991e+00,1.049727e-01
1.150040e+00,4.813529e-02
1.160993e+00,2.830184e-02
1.161043e+00,2.824057e-02
1.164776e+00,2.407509e-02
1.182843e+00,1.240424e-02
1.189328e+00,1.052653e-02
1.204148e+00,9.547233e-03
1.219154e+00,1.051337e-02
1.237462e+00,1.207277e-02
1.259863e+00,1.395444e-02
1.287363e+00,1.614923e-02
1.321259e+00,1.871995e-02
1.361832e+00,2.164272e-02
1.428855e+00,2.623251e-02
1.514297e+00,3.193328e-02
1.624438e+00,3.946183e-02
1.768335e+00,5.026225e-02
1.797414e+00,5.264290e-02
1.936152e+00,6.524342e-02
1.959413e+00,6.759294e-02
2.041401e+00,7.655090e-02
2.138886e+00,8.894208e-02
2.188763e+00,9.626796e-02
2.281303e+00,1.122684e-01
2.411407e+00,1.411240e-01
2.529275e+00,1.717470e-01
2.635292e+00,1.963396e-01
2.745752e+00,2.108761e-01
2.879962e+00,2.112080e-01
3.044209e+00,1.985911e-01
3.246906e+00,1.816964e-01
3.499503e+00,1.669229e-01
3.817871e+00,1.562324e-01
4.224454e+00,1.493367e-01
4.443918e+00,1.472240e-01
5.191988e+00,1.435865e-01
6.065983e+00,1.417161e-01
7.087104e+00,1.399110e-01
8.280115e+00,1.373568e-01
9.673952e+00,1.336473e-01
1.130242e+01,1.286083e-01
1.320502e+01,1.222337e-01
1.542789e+01,1.146575e-01
1.802495e+01,1.061293e-01
2.105919e+01,9.697811e-02
2.460420e+01,8.756316e-02
2.874596e+01,7.822498e-02
3.358493e+01,6.924703e-02
3.923847e+01,6.083595e-02
4.584369e+01,5.311966e-02
5.356081e+01,4.615786e-02
6.257700e+01,3.995793e-02
7.311093e+01,3.449142e-02
8.541809e+01,2.970803e-02
9.979699e+01,2.554626e-02
1.165964e+02,2.194075e-02
1.362237e+02,1.882708e-02
1.591549e+02,1.614448e-02
