wg22f,svg22f
1.591549e-03,2.719207e+00
1.859464e-03,2.344769e+00
2.172477e-03,2.020171e+00
2.538182e-03,1.740095e+00
2.965449e-03,1.499373e+00
3.464639e-03,1.293193e+00
4.047860e-03,1.117188e+00
4.729259e-03,9.674685e-01
5.525361e-03,8.406102e-01
6.455476e-03,7.336173e-01
7.542161e-03,6.438759e-01
8.811775e-03,5.690994e-01
1.029511e-02,5.072736e-01
1.202814e-02,4.566035e-01
1.405290e-02,4.154690e-01
1.641851e-02,3.823915e-01
1.918232e-02,3.560139e-01
2.241139e-02,3.350935e-01
2.618402e-02,3.185022e-01
3.059172e-02,3.052278e-01
3.574139e-02,2.943717e-01
4.175794e-02,2.851394e-01
4.878728e-02,2.768270e-01
5.699991e-02,2.688051e-01
6.659502e-02,2.605095e-01
7.780532e-02,2.514406e-01
9.090272e-02,2.411793e-01
1.062049e-01,2.294177e-01
1.240829e-01,2.159993e-01
1.449705e-01,2.009532e-01
1.693742e-01,1.845054e-01
1.978858e-01,1.670535e-01
2.311971e-01,1.491087e-01
2.701157e-01,1.312329e-01
3.155858e-01,1.140267e-01
3.260932e-01,1.105584e-01
3.659790e-01,9.905986e-02
4.041216e-01,9.087497e-02
4.400515e-01,8.744367e-02
4.734617e-01,9.174407e-02
5.041849e-01,1.034426e-01
5.321682e-01,1.180813e-01
5.574473e-01,1.301600e-01
5.801228e-01,1.344595e-01
6.037207e-01,1.284363e-01
6.323988e-01,1.103793e-01
6.674982e-01,8.554046e-02
7.108126e-01,6.143875e-02
7.533673e-01,4.491925e-02
8.061545e-01,3.079678e-02
8.532383e-01,2.190532e-02
8.948148e-01,1.629834e-02
9.312199e-01,1.304112e-02
9.628722e-01,1.088746e-02
9.902298e-01,9.344226e-03
1.013758e+00,8.270512e-03
1.033909e+00,7.598586e-03
1.054461e+00,7.248028e-03
1.079515e+00,7.444491e-03
1.090609e+00,7.763505e-03
1.110187e+00,8.591273e-03
1.147923e+00,1.068013e-02
1.194625e+00,1.351720e-02
1.252837e+00,1.704531e-02
1.326009e+00,2.132726e-02
1.418921e+00,2.651458e-02
1.527053e+00,3.229605e-02
1.538325e+00,3.288933e-02
1.556271e+00,3.383229e-02
1.593168e+00,3.576921e-02
1.693049e+00,4.108007e-02
1.693997e+00,4.113152e-02
1.716757e+00,4.237561e-02
1.719420e+00,4.252240e-02
1.856127e+00,5.056991e-02
1.900465e+00,5.347975e-02
1.969027e+00,5.838071e-02
2.003386e+00,6.104938e-02
2.112863e+00,7.067790e-02
2.167184e+00,7.618447e-02
2.317799e+00,9.472964e-02
2.345103e+00,9.877625e-02
2.454838e+00,1.184419e-01
2.578405e+00,1.499452e-01
2.688966e+00,1.856070e-01
2.787241e+00,2.135846e-01
2.889108e+00,2.263334e-01
3.012992e+00,2.195227e-01
3.164654e+00,1.998339e-01
3.351763e+00,1.792586e-01
3.584704e+00,1.633346e-01
3.877791e+00,1.526267e-01
4.251153e+00,1.461038e-01
4.733724e+00,1.425268e-01
5.191988e+00,1.410872e-01
6.065983e+00,1.398574e-01
7.087104e+00,1.386174e-01
8.280115e+00,1.365040e-01
9.673952e+00,1.331131e-01
1.130242e+01,1.282897e-01
1.320502e+01,1.220520e-01
1.542789e+01,1.145579e-01
1.802495e+01,1.060767e-01
2.105919e+01,9.695105e-02
2.460420e+01,8.754959e-02
2.874596e+01,7.821831e-02
3.358493e+01,6.924381e-02
3.923847e+01,6.083440e-02
4.584369e+01,5.311893e-02
5.356081e+01,4.615752e-02
6.257700e+01,3.995777e-02
7.311093e+01,3.449135e-02
8.541809e+01,2.970800e-02
9.979699e+01,2.554624e-02
1.165964e+02,2.194074e-02
1.362237e+02,1.882708e-02
1.591549e+02,1.614447e-02
