wg22m,svg22m
1.591549e-03,3.354112e-02
1.859464e-03,3.367332e-02
2.172477e-03,3.385070e-02
2.538182e-03,3.408714e-02
2.965449e-03,3.439967e-02
3.464639e-03,3.480833e-02
4.047860e-03,3.533530e-02
4.729259e-03,3.600301e-02
5.525361e-03,3.683092e-02
6.455476e-03,3.783126e-02
7.542161e-03,3.900460e-02
8.811775e-03,4.033712e-02
1.029511e-02,4.180165e-02
1.202814e-02,4.336362e-02
1.405290e-02,4.499093e-02
1.641851e-02,4.666445e-02
1.918232e-02,4.838535e-02
2.241139e-02,5.017616e-02
2.618402e-02,5.207514e-02
3.059172e-02,5.412461e-02
3.574139e-02,5.635529e-02
4.175794e-02,5.876864e-02
4.878728e-02,6.132061e-02
5.699991e-02,6.391080e-02
6.659502e-02,6.638150e-02
7.780532e-02,6.852853e-02
9.090272e-02,7.012282e-02
1.062049e-01,7.093841e-02
1.240829e-01,7.078386e-02
1.449705e-01,6.953781e-02
1.693742e-01,6.719074e-02
1.978858e-01,6.388649e-02
2.311971e-01,5.994200e-02
2.701157e-01,5.582407e-02
3.155858e-01,5.210002e-02
3.397152e-01,5.066229e-02
3.808946e-01,4.913213e-02
4.202123e-01,4.889944e-02
4.571937e-01,5.009887e-02
4.915325e-01,5.296593e-02
5.230667e-01,5.764396e-02
5.517515e-01,6.361885e-02
5.776324e-01,6.905686e-02
6.008205e-01,7.144374e-02
6.249393e-01,6.935021e-02
6.542533e-01,6.192793e-02
6.901324e-01,5.163929e-02
7.344077e-01,4.206672e-02
7.895674e-01,3.493430e-02
8.590545e-01,3.086169e-02
9.477300e-01,2.953967e-02
1.062611e+00,2.910190e-02
1.090293e+00,2.900006e-02
1.164486e+00,2.865029e-02
1.197114e+00,2.845660e-02
1.299413e+00,2.772448e-02
1.397339e+00,2.697863e-02
1.490257e+00,2.641939e-02
1.589353e+00,2.616875e-02
1.709129e+00,2.653512e-02
1.855183e+00,2.814653e-02
1.914542e+00,2.919134e-02
2.103298e+00,3.412986e-02
2.281586e+00,4.137766e-02
2.350302e+00,4.494357e-02
2.448011e+00,5.079245e-02
2.601787e+00,6.159011e-02
2.742626e+00,7.195207e-02
2.870634e+00,7.955689e-02
3.004616e+00,8.336990e-02
3.167261e+00,8.176324e-02
3.366218e+00,7.458597e-02
3.611760e+00,6.471762e-02
3.917913e+00,5.493846e-02
4.304183e+00,4.641290e-02
4.798250e+00,3.924409e-02
5.191988e+00,3.522346e-02
6.065983e+00,2.908938e-02
7.087104e+00,2.444387e-02
8.280115e+00,2.072726e-02
9.673952e+00,1.765817e-02
1.130242e+01,1.507956e-02
1.320502e+01,1.289326e-02
1.542789e+01,1.103089e-02
1.802495e+01,9.440651e-03
2.105919e+01,8.081032e-03
2.460420e+01,6.917771e-03
2.874596e+01,5.922121e-03
3.358493e+01,5.069756e-03
3.923847e+01,4.339992e-03
4.584369e+01,3.715183e-03
5.356081e+01,3.180244e-03
6.257700e+01,2.722267e-03
7.311093e+01,2.330196e-03
8.541809e+01,1.994561e-03
9.979699e+01,1.707248e-03
1.165964e+02,1.461308e-03
1.362237e+02,1.250788e-03
1.591549e+02,1.070589e-03
