wlm,svlmx,svlmn,cnlm
1.802495e+01,9.254510e-03,3.826724e-03,2.418390e+00
2.105919e+01,7.931693e-03,3.283553e-03,2.415583e+00
2.460420e+01,6.795134e-03,2.815532e-03,2.413445e+00
2.874596e+01,5.819809e-03,2.413022e-03,2.411834e+00
3.358493e+01,4.983528e-03,2.067314e-03,2.410629e+00
3.923847e+01,4.266858e-03,1.770677e-03,2.409732e+00
4.584369e+01,3.652917e-03,1.516320e-03,2.409067e+00
5.356081e+01,3.127113e-03,1.298324e-03,2.408576e+00
6.257700e+01,2.676871e-03,1.111559e-03,2.408214e+00
7.311093e+01,2.291380e-03,9.515906e-04,2.407948e+00
8.541809e+01,1.961357e-03,8.146011e-04,2.407752e+00
9.979699e+01,1.678838e-03,6.973055e-04,2.407608e+00
1.165964e+02,1.436997e-03,5.968827e-04,2.407502e+00
1.362237e+02,1.229982e-03,5.109118e-04,2.407425e+00
1.591549e+02,1.052783e-03,4.373169e-04,2.407368e+00
